spot,x,y,luminosity,error,T,v
2,55.35,1067.47,129.233,8.60289,17,5
2,55.35,1067.47,139.861,8.29423,19,5
2,55.35,1067.47,158.354,8.44544,21,5
2,55.35,1067.47,186.012,8.49924,23,5
3,56.17,571.81,2795.23,24.8604,17,5
3,56.17,571.81,2794.73,24.0494,19,5
3,56.17,571.81,3072.02,22.4713,21,5
3,56.17,571.81,2922.21,26.2512,23,5
4,66.12,812.88,452.754,9.14276,17,5
4,66.12,812.88,533.899,9.04497,19,5
4,66.12,812.88,604.633,9.18681,21,5
4,66.12,812.88,695.662,9.00995,23,5
5,75.47,99.95,115.109,8.88366,17,5
5,75.47,99.95,130.372,8.65866,19,5
5,75.47,99.95,123.548,8.75628,21,5
5,75.47,99.95,132.771,8.48121,23,5
6,90.12,357.76,27.5968,10.1812,17,5
6,90.12,357.76,24.5251,10.4562,19,5
6,90.12,357.76,42.6324,10.1363,21,5
6,90.12,357.76,48.9019,9.45204,23,5
7,111.71,324.37,16.5881,8.6043,17,5
7,111.71,324.37,33.5697,8.79399,19,5
7,111.71,324.37,26.8098,8.44754,21,5
7,111.71,324.37,14.9984,8.55658,23,5
8,135.26,260.38,91.6875,8.70105,17,5
8,135.26,260.38,106.069,9.01991,19,5
8,135.26,260.38,110.828,8.73396,21,5
8,135.26,260.38,134.119,8.80617,23,5
9,150.24,915.56,197.671,8.59991,17,5
9,150.24,915.56,224.203,8.78973,19,5
9,150.24,915.56,269.162,8.81814,21,5
9,150.24,915.56,307.228,8.69931,23,5
10,173.58,947.29,400.886,8.77673,17,5
10,173.58,947.29,476.688,9.08483,19,5
10,173.58,947.29,536.157,9.15985,21,5
10,173.58,947.29,627.403,8.92545,23,5
11,177.81,174.95,2921.73,12.0566,17,5
11,177.81,174.95,3257.09,10.9811,19,5
11,177.81,174.95,3602.54,11.2711,21,5
11,177.81,174.95,3893.93,10.72,23,5
12,190.74,523.08,186.104,8.89995,17,5
12,190.74,523.08,196.912,8.96117,19,5
12,190.74,523.08,230.606,9.09967,21,5
12,190.74,523.08,269.805,8.99904,23,5
13,194.5,59.67,121.74,11.667,17,5
13,194.5,59.67,139.32,9.83024,19,5
13,194.5,59.67,155.502,11.1289,21,5
13,194.5,59.67,187.996,10.864,23,5
14,213.52,922.04,17.5786,8.58515,17,5
14,213.52,922.04,20.1092,8.30846,19,5
14,213.52,922.04,21.509,8.57003,21,5
14,213.52,922.04,24.4496,8.48452,23,5
15,227.71,88.04,19.372,9.64934,17,5
15,227.71,88.04,23.9333,9.25922,19,5
15,227.71,88.04,24.164,8.86563,21,5
15,227.71,88.04,40.2139,8.92667,23,5
16,230.45,760.0,25.1284,8.35273,17,5
16,230.45,760.0,18.3346,8.60583,19,5
16,230.45,760.0,29.2341,8.43925,21,5
16,230.45,760.0,24.0038,8.27141,23,5
17,232.74,246.52,384.125,9.80829,17,5
17,232.74,246.52,350.388,8.99463,19,5
17,232.74,246.52,408.082,8.83178,21,5
17,232.74,246.52,445.478,8.848,23,5
18,249.88,353.9,273.759,8.35989,17,5
18,249.88,353.9,365.459,8.49129,19,5
18,249.88,353.9,367.77,8.20003,21,5
18,249.88,353.9,400.604,8.48202,23,5
19,258.93,498.54,14.9065,8.4233,17,5
19,258.93,498.54,17.296,8.54762,19,5
19,258.93,498.54,22.3435,8.45191,21,5
19,258.93,498.54,20.0273,8.39275,23,5
22,332.23,289.88,37.6368,8.32495,17,5
22,332.23,289.88,39.4809,8.06629,19,5
22,332.23,289.88,62.23,8.25806,21,5
22,332.23,289.88,64.0244,8.30581,23,5
23,345.24,43.07,13.1283,8.79906,17,5
23,345.24,43.07,23.3379,8.83641,19,5
23,345.24,43.07,33.4041,8.63125,21,5
23,345.24,43.07,36.2313,8.76513,23,5
24,355.56,848.9,42.1029,8.14033,17,5
24,355.56,848.9,56.6524,8.11888,19,5
24,355.56,848.9,76.2412,8.04819,21,5
24,355.56,848.9,72.0711,8.03299,23,5
26,409.25,760.44,45.4749,8.64056,17,5
26,409.25,760.44,55.9911,8.42502,19,5
26,409.25,760.44,66.3245,8.65269,21,5
26,409.25,760.44,69.96,8.43127,23,5
27,414.36,551.17,7.48456,8.34166,17,5
27,414.36,551.17,6.56987,8.38627,19,5
27,414.36,551.17,18.6957,8.21743,21,5
27,414.36,551.17,24.6185,8.32353,23,5
28,415.05,950.33,175.262,8.95623,17,5
28,415.05,950.33,210.294,8.97757,19,5
28,415.05,950.33,236.871,8.80123,21,5
28,415.05,950.33,253.012,9.13042,23,5
29,420.09,74.54,119.127,8.39323,17,5
29,420.09,74.54,116.223,8.23792,19,5
29,420.09,74.54,138.772,8.43887,21,5
29,420.09,74.54,161.294,8.38073,23,5
30,426.29,488.61,399.005,9.46643,17,5
30,426.29,488.61,469.429,9.41041,19,5
30,426.29,488.61,532.728,9.61946,21,5
30,426.29,488.61,624.391,9.30158,23,5
31,453.84,769.18,28.3208,8.56837,17,5
31,453.84,769.18,45.812,8.61035,19,5
31,453.84,769.18,54.1468,8.77106,21,5
31,453.84,769.18,45.1839,8.66305,23,5
32,465.19,986.3,4.3963,8.45495,17,5
32,465.19,986.3,18.1379,8.18478,19,5
32,465.19,986.3,29.7989,8.36944,21,5
32,465.19,986.3,32.9401,8.2478,23,5
33,485.15,99.59,924.024,8.35692,17,5
33,485.15,99.59,1084.39,8.22988,19,5
33,485.15,99.59,1247.91,8.2691,21,5
33,485.15,99.59,1509.43,8.53572,23,5
35,502.34,999.95,70.8366,11.3773,17,5
35,502.34,999.95,84.8251,9.6943,19,5
35,502.34,999.95,108.441,9.48976,21,5
35,502.34,999.95,111.386,10.3258,23,5
36,504.89,140.55,48.2302,8.42745,17,5
36,504.89,140.55,75.6329,8.33811,19,5
36,504.89,140.55,69.3659,8.31318,21,5
36,504.89,140.55,87.0284,8.34155,23,5
38,513.32,883.9,298.759,10.0097,17,5
38,513.32,883.9,360.405,10.7196,19,5
38,513.32,883.9,393.841,9.9944,21,5
38,513.32,883.9,430.21,10.4553,23,5
39,567.8,123.62,23.2582,9.75686,17,5
39,567.8,123.62,31.0453,10.2379,19,5
39,567.8,123.62,32.7948,9.70961,21,5
39,567.8,123.62,39.1934,9.08682,23,5
40,592.76,528.73,5.69805,8.12942,17,5
40,592.76,528.73,19.9902,8.14184,19,5
40,592.76,528.73,22.6938,8.08935,21,5
40,592.76,528.73,23.1892,7.92363,23,5
41,606.29,337.11,18.1117,8.8776,17,5
41,606.29,337.11,11.916,8.85986,19,5
41,606.29,337.11,25.0229,8.99566,21,5
41,606.29,337.11,43.8452,8.59245,23,5
42,609.1,1033.77,46.0372,14.7338,17,5
42,609.1,1033.77,57.6347,13.8025,19,5
42,609.1,1033.77,63.1748,14.4538,21,5
42,609.1,1033.77,74.2271,14.2368,23,5
44,634.88,917.25,85.8085,8.33618,17,5
44,634.88,917.25,113.729,8.05403,19,5
44,634.88,917.25,133.557,8.07434,21,5
44,634.88,917.25,133.162,8.0475,23,5
45,646.13,440.85,39.2886,8.07141,17,5
45,646.13,440.85,40.738,8.01222,19,5
45,646.13,440.85,54.581,8.11153,21,5
45,646.13,440.85,56.6419,7.947,23,5
46,646.97,574.6,609.474,7.9437,17,5
46,646.97,574.6,681.736,7.98858,19,5
46,646.97,574.6,776.317,8.09232,21,5
46,646.97,574.6,906.925,7.97527,23,5
47,658.47,689.05,47.1119,8.53796,17,5
47,658.47,689.05,49.8799,8.50472,19,5
47,658.47,689.05,67.6405,8.57764,21,5
47,658.47,689.05,80.5176,8.74505,23,5
48,667.68,905.81,15.491,8.20225,17,5
48,667.68,905.81,21.2158,8.12141,19,5
48,667.68,905.81,28.6864,8.16858,21,5
48,667.68,905.81,27.6642,8.05243,23,5
51,748.11,37.26,3632.53,11.7002,17,5
51,748.11,37.26,3978.56,10.8069,19,5
51,748.11,37.26,4387.68,10.9734,21,5
51,748.11,37.26,4788.39,11.2937,23,5
53,787.49,249.9,46.4834,7.80197,17,5
53,787.49,249.9,39.3896,7.73222,19,5
53,787.49,249.9,41.3561,7.84863,21,5
53,787.49,249.9,66.9492,7.91244,23,5
54,802.04,192.75,177.534,9.82573,17,5
54,802.04,192.75,216.404,10.7982,19,5
54,802.04,192.75,247.484,9.68633,21,5
54,802.04,192.75,286.345,9.61986,23,5
55,805.42,587.03,120.698,8.11867,17,5
55,805.42,587.03,139.549,8.14148,19,5
55,805.42,587.03,189.684,7.97165,21,5
55,805.42,587.03,206.767,8.09992,23,5
56,812.19,314.87,81.0957,8.82809,17,5
56,812.19,314.87,76.9133,8.68971,19,5
56,812.19,314.87,98.3692,8.50105,21,5
56,812.19,314.87,114.242,8.56672,23,5
57,827.97,667.66,95.0203,8.41359,17,5
57,827.97,667.66,120.344,8.69942,19,5
57,827.97,667.66,143.989,8.15627,21,5
57,827.97,667.66,163.656,8.38157,23,5
58,829.07,825.05,29.9274,7.77359,17,5
58,829.07,825.05,39.1834,7.85566,19,5
