1264.07, 1073.45, 44.00, 3.74
57.85, 1068.45, 173.00, 7.42
1019.90, 1070.91, 93.00, 5.44
1781.09, 1058.45, 130.00, 6.43
65.60, 1053.09, 53.00, 4.11
1899.89, 1043.76, 30.00, 3.09
611.45, 1035.38, 32.00, 3.19
870.77, 1007.93, 216.00, 8.29
1445.42, 1002.50, 461.00, 12.11
505.46, 1000.84, 72.00, 4.79
1619.80, 985.17, 346.00, 10.49
1823.67, 989.54, 93.00, 5.44
1050.32, 956.79, 174.00, 7.44
417.78, 951.19, 148.00, 6.86
176.20, 947.85, 225.00, 8.46
1178.67, 928.66, 88.00, 5.29
1582.32, 923.65, 318.00, 10.06
153.04, 916.16, 205.00, 8.08
637.61, 918.13, 64.00, 4.51
1619.85, 909.39, 383.00, 11.04
1377.80, 911.01, 150.00, 6.91
1089.72, 909.52, 112.00, 5.97
670.71, 906.38, 89.00, 5.32
516.16, 884.76, 374.00, 10.91
832.90, 885.53, 344.00, 10.46
1846.87, 885.10, 243.00, 8.79
851.67, 886.00, 47.00, 3.87
1645.78, 877.60, 319.00, 10.08
1289.32, 872.68, 59.00, 4.33
1683.63, 870.32, 124.00, 6.28
1504.29, 861.40, 133.00, 6.51
358.14, 849.88, 162.00, 7.18
1769.05, 825.97, 86.00, 5.23
831.32, 825.98, 46.00, 3.83
68.90, 813.55, 260.00, 9.10
941.34, 808.37, 325.00, 10.17
1373.68, 809.30, 163.00, 7.20
990.16, 804.31, 233.00, 8.61
1586.04, 807.44, 31.00, 3.14
1052.81, 803.87, 85.00, 5.20
1723.27, 803.27, 85.00, 5.20
1269.40, 787.25, 482.00, 12.39
1223.31, 784.33, 94.00, 5.47
456.91, 770.07, 75.00, 4.89
1533.41, 762.13, 101.00, 5.67
411.95, 761.56, 48.00, 3.91
232.97, 761.01, 39.00, 3.52
2.02, 737.91, 54.00, 4.15
908.95, 732.16, 254.00, 8.99
1733.69, 719.37, 705.00, 14.98
1546.23, 707.20, 201.00, 8.00
661.51, 689.89, 108.00, 5.86
1089.65, 687.12, 106.00, 5.81
785.99, 676.37, 67.00, 4.62
830.70, 668.52, 181.00, 7.59
1228.54, 665.73, 160.00, 7.14
1585.37, 649.05, 42.00, 3.66
1370.42, 628.20, 72.00, 4.79
1337.83, 624.44, 177.00, 7.51
1254.80, 594.44, 59.00, 4.33
808.25, 588.03, 210.00, 8.18
1180.68, 592.52, 53.00, 4.11
649.92, 575.53, 403.00, 11.33
1851.73, 554.11, 219.00, 8.35
1782.90, 552.18, 152.00, 6.96
417.93, 552.38, 33.00, 3.24
57.07, 534.82, 241.00, 8.76
596.39, 529.79, 45.00, 3.78
1088.48, 522.40, 435.00, 11.77
193.60, 523.67, 183.00, 7.63
1496.87, 505.65, 374.00, 10.91
429.40, 489.45, 351.00, 10.57
1045.38, 493.74, 78.00, 4.98
1244.35, 482.94, 168.00, 7.31
1772.19, 474.97, 217.00, 8.31
649.04, 441.80, 126.00, 6.33
1148.49, 428.11, 77.00, 4.95
911.68, 407.01, 457.00, 12.06
1266.31, 411.79, 34.00, 3.29
1535.75, 403.12, 51.00, 4.03
1386.71, 370.47, 72.00, 4.79
699.83, 367.63, 32.00, 3.19
93.75, 359.08, 160.00, 7.14
252.74, 354.53, 158.00, 7.09
1820.09, 353.31, 222.00, 8.41
1424.31, 350.30, 55.00, 4.18
609.21, 338.00, 31.00, 3.14
1291.95, 318.97, 78.00, 4.98
815.40, 315.87, 78.00, 4.98
334.91, 291.31, 62.00, 4.44
1891.43, 287.28, 277.00, 9.39
1651.74, 275.23, 64.00, 4.51
138.25, 261.48, 64.00, 4.51
1888.44, 252.06, 298.00, 9.74
235.75, 247.53, 299.00, 9.76
790.68, 250.58, 104.00, 5.75
1168.10, 238.79, 540.00, 13.11
1741.99, 243.51, 157.00, 7.07
1066.74, 233.99, 30.00, 3.09
1253.34, 231.35, 44.00, 3.74
1767.82, 205.66, 454.00, 12.02
1556.53, 205.98, 242.00, 8.78
1402.61, 204.47, 161.00, 7.16
1596.60, 200.78, 87.00, 5.26
1502.79, 197.86, 95.00, 5.50
804.98, 193.60, 166.00, 7.27
180.85, 175.76, 659.00, 14.48
1573.54, 166.39, 115.00, 6.05
1239.58, 153.18, 58.00, 4.30
507.89, 141.48, 153.00, 6.98
1534.61, 135.25, 108.00, 5.86
1005.03, 122.89, 44.00, 3.74
1385.22, 115.29, 45.00, 3.78
488.25, 100.59, 408.00, 11.40
78.50, 100.41, 83.00, 5.14
1858.67, 92.81, 57.00, 4.26
1068.27, 86.93, 155.00, 7.02
230.57, 88.61, 75.00, 4.89
1045.18, 73.12, 340.00, 10.40
423.28, 75.54, 109.00, 5.89
1318.19, 72.35, 45.00, 3.78
197.44, 60.24, 114.00, 6.02
630.25, 56.69, 202.00, 8.02
751.41, 38.05, 865.00, 16.59
347.65, 43.85, 34.00, 3.29
1595.63, 42.08, 56.00, 4.22
1046.63, 33.89, 308.00, 9.90
275.93, 23.67, 113.00, 6.00
1462.91, 17.09, 61.00, 4.41
1002.95, 8.00, 225.00, 8.46
502.26, 12.61, 36.00, 3.39
1483.94, 1042.24, 267.00, 9.22
1500.81, 1039.80, 159.00, 7.11
862.78, 668.71, 216.00, 8.29
871.10, 653.37, 538.00, 13.09
57.98, 577.43, 408.00, 11.40
62.96, 555.52, 300.00, 9.77
859.22, 474.74, 127.00, 6.36
872.31, 474.69, 107.00, 5.84
