spot,x,y,luminosity,error,T,v
0,3.67,747.8,75.9808,6.5436,17,5
0,3.67,747.8,94.8525,6.56161,19,5
0,3.67,747.8,111.795,6.74017,21,5
0,3.67,747.8,119.521,6.66835,23,5
1,4.29,459.35,18.2024,7.03522,17,5
1,4.29,459.35,30.9225,7.07581,19,5
1,4.29,459.35,36.7461,6.99527,21,5
1,4.29,459.35,38.8053,7.28044,23,5
2,64.32,1077.3,109.576,7.04851,17,5
2,64.32,1077.3,130.771,6.86482,19,5
2,64.32,1077.3,152.969,7.07891,21,5
2,64.32,1077.3,186.41,6.92432,23,5
3,61.9,575.63,2880.58,17.1117,17,5
3,61.9,575.63,2929.43,18.6503,19,5
3,61.9,575.63,3074.36,18.2083,21,5
3,61.9,575.63,3524.19,16.2632,23,5
4,73.67,823.28,580.077,9.50379,17,5
4,73.67,823.28,660.115,9.24357,19,5
4,73.67,823.28,725.831,9.25875,21,5
4,73.67,823.28,864.815,9.27091,23,5
5,77.31,110.41,61.5495,8.65366,17,5
5,77.31,110.41,63.5627,8.64513,19,5
5,77.31,110.41,53.3945,8.60822,21,5
5,77.31,110.41,79.8443,8.64732,23,5
6,94.25,368.63,55.5012,9.8904,17,5
6,94.25,368.63,77.1871,9.31708,19,5
6,94.25,368.63,87.623,9.78372,21,5
6,94.25,368.63,99.3869,10.3685,23,5
7,115.02,334.79,19.7123,8.65379,17,5
7,115.02,334.79,27.6436,8.54904,19,5
7,115.02,334.79,17.8727,8.49673,21,5
7,115.02,334.79,39.646,8.58702,23,5
8,138.05,270.43,83.6089,8.35434,17,5
8,138.05,270.43,108.258,8.37272,19,5
8,138.05,270.43,123.453,8.26755,21,5
8,138.05,270.43,122.345,8.4679,23,5
9,158.47,925.1,163.962,8.41698,17,5
9,158.47,925.1,182.063,8.23351,19,5
9,158.47,925.1,227.566,8.40683,21,5
9,158.47,925.1,270.362,8.36813,23,5
10,182.0,956.76,403.896,9.0243,17,5
10,182.0,956.76,462.267,9.22626,19,5
10,182.0,956.76,524.331,9.19613,21,5
10,182.0,956.76,633.815,8.89624,23,5
11,180.18,184.48,2940.54,11.1979,17,5
11,180.18,184.48,3199.98,10.8212,19,5
11,180.18,184.48,3576.98,10.4537,21,5
11,180.18,184.48,3900.15,11.0036,23,5
12,195.87,532.48,190.357,8.20199,17,5
12,195.87,532.48,196.563,8.23505,19,5
12,195.87,532.48,231.624,8.14893,21,5
12,195.87,532.48,283.033,8.13126,23,5
13,195.8,69.03,124.637,10.3919,17,5
13,195.8,69.03,123.807,12.6288,19,5
13,195.8,69.03,172.545,10.3245,21,5
13,195.8,69.03,188.088,11.2932,23,5
14,221.77,932.12,21.4256,8.71845,17,5
14,221.77,932.12,22.8795,8.52207,19,5
14,221.77,932.12,16.5574,8.47726,21,5
14,221.77,932.12,15.3653,8.54168,23,5
15,229.22,96.9,32.0814,9.31747,17,5
15,229.22,96.9,48.9433,9.97672,19,5
15,229.22,96.9,50.2723,10.0894,21,5
15,229.22,96.9,43.8561,9.05694,23,5
16,237.15,768.97,45.7891,8.45246,17,5
16,237.15,768.97,36.8135,8.76458,19,5
16,237.15,768.97,48.618,8.52401,21,5
16,237.15,768.97,48.5348,8.69221,23,5
17,235.62,255.54,1415.18,9.17121,17,5
17,235.62,255.54,322.485,8.91805,19,5
17,235.62,255.54,366.612,8.69669,21,5
17,235.62,255.54,450.139,8.78617,23,5
18,253.62,362.9,375.383,8.29584,17,5
18,253.62,362.9,448.893,8.55803,19,5
18,253.62,362.9,472.915,8.4402,21,5
18,253.62,362.9,556.018,8.58225,23,5
19,264.23,506.7,4.53052,8.3826,17,5
19,264.23,506.7,17.1008,8.3157,19,5
