spot,x,y,luminosity,error,T,v,v_fin,phase,detected
17.0,194.85,63.16,250.957,3.65822,20.0,58.3,7.0,annealing_T=100_h=5,True
17.0,195.45,63.59,240.746,3.87219,20.0,58.3,7.0,annealing_T=75_h=25,True
17.0,199.86,62.67,219.27,3.68197,20.0,58.3,7.0,annealing_T=75_h=5,True
17.0,197.47,60.58,191.909,3.30769,20.0,58.3,7.0,before_annealing,True
18.0,215.17,926.25,21.9775,1.96735,20.0,58.3,7.0,annealing_T=100_h=5,True
18.0,222.18,926.46,24.3013,1.64892,20.0,58.3,7.0,annealing_T=75_h=25,True
18.0,221.28,926.12,20.6502,1.40943,20.0,58.3,7.0,annealing_T=75_h=5,True
18.0,216.56,923.85,19.8966,1.78595,20.0,58.3,7.0,before_annealing,True
19.0,227.69,91.3,42.792,2.04459,20.0,58.3,7.0,annealing_T=100_h=5,True
19.0,229.17,91.39,70.8422,2.0982,20.0,58.3,7.0,annealing_T=75_h=25,True
19.0,233.28,91.24,32.6247,1.6253,20.0,58.3,7.0,annealing_T=75_h=5,True
19.0,230.77,88.87,137.151,2.80059,20.0,58.3,7.0,before_annealing,True
20.0,231.0,763.67,46.5435,2.22406,20.0,58.3,7.0,annealing_T=100_h=5,True
20.0,237.19,763.56,91.2791,2.77455,20.0,58.3,7.0,annealing_T=75_h=25,True
20.0,233.43,761.06,0.0,0.0,20.0,58.3,7.0,annealing_T=75_h=5,False
20.0,233.43,761.06,62.5783,2.21856,20.0,58.3,7.0,before_annealing,True
21.0,233.19,250.35,628.993,5.46871,20.0,58.3,7.0,annealing_T=100_h=5,True
21.0,235.14,250.7,1716.32,21.2498,20.0,58.3,7.0,annealing_T=75_h=25,True
21.0,238.48,250.13,1542.56,8.61686,20.0,58.3,7.0,annealing_T=75_h=5,True
21.0,235.56,247.67,1772.78,8.94842,20.0,58.3,7.0,before_annealing,True
22.0,250.97,358.25,837.557,6.81184,20.0,58.3,7.0,annealing_T=100_h=5,True
22.0,253.94,358.21,1009.3,6.0649,20.0,58.3,7.0,annealing_T=75_h=25,True
22.0,256.59,357.74,1003.36,6.15943,20.0,58.3,7.0,annealing_T=75_h=5,True
22.0,253.35,355.4,449.4,4.66455,20.0,58.3,7.0,before_annealing,True
23.0,275.32,23.25,0.0,0.0,20.0,58.3,7.0,annealing_T=100_h=5,False
23.0,273.67,26.13,40.7928,2.22214,20.0,58.3,7.0,annealing_T=75_h=25,True
23.0,277.5,25.64,28.4531,1.98383,20.0,58.3,7.0,annealing_T=75_h=5,True
23.0,275.32,23.25,373.078,4.53043,20.0,58.3,7.0,before_annealing,True
24.0,332.69,293.38,38.6588,2.86613,20.0,58.3,7.0,annealing_T=100_h=5,True
24.0,335.15,293.01,39.2335,2.46838,20.0,58.3,7.0,annealing_T=75_h=25,True
24.0,337.82,293.26,53.3646,2.75699,20.0,58.3,7.0,annealing_T=75_h=5,True
24.0,334.47,291.05,49.0824,2.49341,20.0,58.3,7.0,before_annealing,True
25.0,348.21,44.51,0.0,0.0,20.0,58.3,7.0,annealing_T=100_h=5,False
25.0,345.92,46.35,52.2333,2.52327,20.0,58.3,7.0,annealing_T=75_h=25,True
25.0,350.57,46.11,35.4185,2.17725,20.0,58.3,7.0,annealing_T=75_h=5,True
25.0,348.21,44.51,44.0412,2.46634,20.0,58.3,7.0,before_annealing,True
26.0,355.83,852.52,97.8264,3.50276,20.0,58.3,7.0,annealing_T=100_h=5,True
26.0,362.73,851.82,144.561,3.65365,20.0,58.3,7.0,annealing_T=75_h=25,True
26.0,362.61,852.03,499.19,5.68352,20.0,58.3,7.0,annealing_T=75_h=5,True
26.0,358.05,850.0,471.834,5.2688,20.0,58.3,7.0,before_annealing,True
27.0,374.64,372.91,0.0,0.0,20.0,58.3,7.0,annealing_T=100_h=5,False
27.0,374.99,374.58,142.292,3.86043,20.0,58.3,7.0,annealing_T=75_h=25,True
27.0,377.66,374.97,82.6172,3.58385,20.0,58.3,7.0,annealing_T=75_h=5,True
27.0,374.64,372.91,44.6435,2.93861,20.0,58.3,7.0,before_annealing,True
28.0,410.05,764.73,81.0824,3.11024,20.0,58.3,7.0,annealing_T=100_h=5,True
28.0,416.19,763.41,38.7822,1.66242,20.0,58.3,7.0,annealing_T=75_h=25,True
28.0,416.22,764.42,17.6827,1.18235,20.0,58.3,7.0,annealing_T=75_h=5,True
28.0,412.24,762.07,86.6818,3.48813,20.0,58.3,7.0,before_annealing,True
29.0,417.57,552.86,0.0,0.0,20.0,58.3,7.0,annealing_T=100_h=5,False
29.0,419.47,553.6,25.1351,1.51274,20.0,58.3,7.0,annealing_T=75_h=25,True
29.0,421.23,554.2,27.6158,2.15191,20.0,58.3,7.0,annealing_T=75_h=5,True
29.0,417.57,552.86,29.9595,1.81705,20.0,58.3,7.0,before_annealing,True
30.0,415.8,954.01,367.024,4.31681,20.0,58.3,7.0,annealing_T=100_h=5,True
30.0,423.39,952.54,344.916,4.30012,20.0,58.3,7.0,annealing_T=75_h=25,True
30.0,422.7,953.14,344.855,4.04888,20.0,58.3,7.0,annealing_T=75_h=5,True
30.0,418.05,951.37,316.928,4.07545,20.0,58.3,7.0,before_annealing,True
31.0,420.84,78.9,200.583,4.02993,20.0,58.3,7.0,annealing_T=100_h=5,True
31.0,421.37,77.22,169.717,3.89477,20.0,58.3,7.0,annealing_T=75_h=25,True
31.0,426.05,77.87,227.153,4.10636,20.0,58.3,7.0,annealing_T=75_h=5,True
31.0,423.32,76.15,208.912,4.01472,20.0,58.3,7.0,before_annealing,True
32.0,426.99,492.33,921.268,6.67919,20.0,58.3,7.0,annealing_T=100_h=5,True
32.0,431.03,490.84,998.111,6.56307,20.0,58.3,7.0,annealing_T=75_h=25,True
32.0,432.9,491.48,1704.63,7.3425,20.0,58.3,7.0,annealing_T=75_h=5,True
32.0,429.4,489.62,2449.01,8.30436,20.0,58.3,7.0,before_annealing,True
