x,y,luminosity,error,T,v
574.84,853.64,369.913,6.35676,16.0,7.0
500.82,813.15,155.483,6.19459,16.0,7.0
1138.88,649.41,29.8373,5.81074,16.0,7.0
370.72,506.72,70.456,5.64952,16.0,7.0
1402.55,474.6,39.9751,7.05842,16.0,7.0
297.16,458.04,24.1083,6.41302,16.0,7.0
1328.97,313.79,17.7509,6.01433,16.0,7.0
1497.28,263.02,11.8023,5.58129,16.0,7.0
1205.53,225.4,14.454,6.2467,16.0,7.0
1078.76,182.4,101.385,5.87458,16.0,7.0
1808.82,174.94,40.6298,5.59084,16.0,7.0
683.7,69.55,49.0908,5.85662,16.0,7.0
844.9,69.81,1.30638,5.87266,16.0,7.0
