ID_hotspot_globale,x,y,integration_radius,luminosity,error,T,v
0,67.66,809.37,19,44.1643,0.91096,20.0,52.3
0,67.66,809.37,19,132.489,1.10091,20.0,53.3
0,67.66,809.37,19,271.926,1.35791,20.0,54.3
0,67.66,809.37,19,430.524,1.4416,20.0,55.3
0,67.66,809.37,19,648.362,1.56188,20.0,56.3
0,67.66,809.37,19,2508.78,28.8116,20.0,58.3
1,80.53,96.36,19,-1.11186,1.11276,20.0,52.3
1,80.53,96.36,19,7.447,1.20891,20.0,53.3
1,80.53,96.36,19,22.0707,1.49703,20.0,54.3
1,80.53,96.36,19,45.8989,1.29417,20.0,55.3
1,80.53,96.36,19,85.6913,1.49051,20.0,56.3
1,80.53,96.36,19,187.322,2.06214,20.0,58.3
2,94.67,355.08,19,2.08514,1.14324,20.0,52.3
2,94.67,355.08,19,16.0716,1.4298,20.0,53.3
2,94.67,355.08,19,60.3777,1.32361,20.0,54.3
2,94.67,355.08,19,126.523,1.38432,20.0,55.3
2,94.67,355.08,19,218.911,1.50946,20.0,56.3
2,94.67,355.08,19,417.261,2.27198,20.0,58.3
3,139.61,257.49,19,-1.95268,0.915872,20.0,52.3
3,139.61,257.49,19,16.5748,0.96698,20.0,53.3
3,139.61,257.49,19,24.8786,1.2547,20.0,54.3
3,139.61,257.49,19,44.6053,1.18403,20.0,55.3
3,139.61,257.49,19,58.5338,1.35464,20.0,56.3
3,139.61,257.49,19,121.716,1.53683,20.0,58.3
4,182.58,172.15,19,156.163,0.890836,20.0,52.3
4,182.58,172.15,19,628.145,0.877092,20.0,53.3
4,182.58,172.15,19,1515.81,1.39451,20.0,54.3
4,182.58,172.15,19,2875.91,1.97241,20.0,55.3
4,182.58,172.15,19,4856.85,3.23702,20.0,56.3
4,182.58,172.15,19,11750.4,7.91762,20.0,58.3
5,193.7,520.1,19,6.51843,0.956802,20.0,52.3
5,193.7,520.1,19,30.2507,0.984495,20.0,53.3
5,193.7,520.1,19,97.5463,1.19435,20.0,54.3
5,193.7,520.1,19,180.296,1.13477,20.0,55.3
5,193.7,520.1,19,296.644,1.45694,20.0,56.3
5,193.7,520.1,19,734.226,2.00959,20.0,58.3
6,232.05,757.51,19,4.52882,0.970626,20.0,52.3
6,232.05,757.51,19,0.731795,1.1885,20.0,53.3
6,232.05,757.51,19,19.5588,1.19539,20.0,54.3
6,232.05,757.51,19,11.3727,1.36951,20.0,55.3
6,232.05,757.51,19,29.8807,1.54824,20.0,56.3
6,232.05,757.51,19,108.468,1.79375,20.0,58.3
7,237.11,244.17,19,43.1131,0.777923,20.0,52.3
7,237.11,244.17,19,158.141,0.75441,20.0,53.3
7,237.11,244.17,19,304.66,0.965282,20.0,54.3
7,237.11,244.17,19,528.029,1.2438,20.0,55.3
7,237.11,244.17,19,799.386,1.78479,20.0,56.3
7,237.11,244.17,19,1894.98,4.15515,20.0,58.3
8,253.66,351.3,19,10.7526,0.8869,20.0,52.3
8,253.66,351.3,19,25.8877,1.10193,20.0,53.3
8,253.66,351.3,19,76.8635,1.22893,20.0,54.3
8,253.66,351.3,19,137.851,1.38546,20.0,55.3
