ID_hotspot_globale,x,y,integration_radius,luminosity,error,T,v
0,67.66,809.38,2,9.60706,0.135945,20.0,52.3
0,67.66,809.38,2,27.3724,0.125451,20.0,53.3
0,67.66,809.38,2,50.2018,0.357393,20.0,54.3
0,67.66,809.38,2,76.7192,0.343498,20.0,55.3
0,67.66,809.38,2,106.208,0.551381,20.0,56.3
0,67.66,809.38,2,359.288,15.5006,20.0,58.3
1,80.53,96.36,2,0.775588,0.231161,20.0,52.3
1,80.53,96.36,2,2.63854,0.158932,20.0,53.3
1,80.53,96.36,2,5.96068,0.234361,20.0,54.3
1,80.53,96.36,2,9.31099,0.0789815,20.0,55.3
1,80.53,96.36,2,16.436,0.178726,20.0,56.3
1,80.53,96.36,2,32.1599,0.502728,20.0,58.3
2,94.67,355.09,2,-0.339494,0.175212,20.0,52.3
2,94.67,355.09,2,2.79856,0.0950123,20.0,53.3
2,94.67,355.09,2,8.59218,0.282903,20.0,54.3
2,94.67,355.09,2,18.081,0.146771,20.0,55.3
2,94.67,355.09,2,26.9798,0.358418,20.0,56.3
2,94.67,355.09,2,47.6018,0.428402,20.0,58.3
3,139.55,257.49,2,0.986826,0.119469,20.0,52.3
3,139.55,257.49,2,2.42552,0.0563051,20.0,53.3
3,139.55,257.49,2,4.54802,0.156748,20.0,54.3
3,139.55,257.49,2,7.42568,0.0469279,20.0,55.3
3,139.55,257.49,2,8.99693,0.207575,20.0,56.3
3,139.55,257.49,2,14.0006,0.269276,20.0,58.3
4,182.57,172.15,2,41.6369,0.119309,20.0,52.3
4,182.57,172.15,2,144.899,0.197423,20.0,53.3
4,182.57,172.15,2,315.486,0.405892,20.0,54.3
4,182.57,172.15,2,551.685,0.862932,20.0,55.3
4,182.57,172.15,2,860.686,1.41924,20.0,56.3
4,182.57,172.15,2,1756.35,3.34067,20.0,58.3
5,193.71,520.1,2,2.55866,0.0239237,20.0,52.3
5,193.71,520.1,2,11.285,0.0561248,20.0,53.3
5,193.71,520.1,2,22.2535,0.105583,20.0,54.3
5,193.71,520.1,2,40.8188,0.223312,20.0,55.3
5,193.71,520.1,2,61.3088,0.314229,20.0,56.3
5,193.71,520.1,2,131.733,0.706242,20.0,58.3
6,232.0,757.5,2,0.989894,0.0597642,20.0,52.3
6,232.0,757.5,2,0.960846,0.0406594,20.0,53.3
6,232.0,757.5,2,2.77526,0.0501276,20.0,54.3
6,232.0,757.5,2,4.09372,0.0409011,20.0,55.3
6,232.0,757.5,2,7.8667,0.0560886,20.0,56.3
6,232.0,757.5,2,15.0449,0.369487,20.0,58.3
7,237.11,244.16,2,9.06089,0.025507,20.0,52.3
7,237.11,244.16,2,34.4361,0.0320828,20.0,53.3
7,237.11,244.16,2,62.988,0.24992,20.0,54.3
7,237.11,244.16,2,102.079,0.295401,20.0,55.3
7,237.11,244.16,2,140.627,0.855058,20.0,56.3
7,237.11,244.16,2,291.083,2.23546,20.0,58.3
8,253.65,351.32,2,1.8095,0.0883839,20.0,52.3
8,253.65,351.32,2,5.67245,0.0493219,20.0,53.3
8,253.65,351.32,2,12.5629,0.0852879,20.0,54.3
8,253.65,351.32,2,22.214,0.260541,20.0,55.3
8,253.65,351.32,2,32.0795,0.298145,20.0,56.3
8,253.65,351.32,2,70.4097,0.573552,20.0,58.3
9,336.28,288.32,2,1.43961,0.235746,20.0,52.3
9,336.28,288.32,2,3.15665,0.069017,20.0,53.3
