ID_hotspot_globale,x,y,integration_radius,luminosity,error,T,v
0,67.66,809.37,18,43.963,0.825574,20.0,52.3
0,67.66,809.37,18,133.668,1.02521,20.0,53.3
0,67.66,809.37,18,270.695,1.32448,20.0,54.3
0,67.66,809.37,18,431.726,1.36743,20.0,55.3
0,67.66,809.37,18,648.347,1.53366,20.0,56.3
0,67.66,809.37,18,2494.05,28.8041,20.0,58.3
1,80.53,96.36,18,-0.408027,1.05164,20.0,52.3
1,80.53,96.36,18,7.45327,1.16414,20.0,53.3
1,80.53,96.36,18,22.4763,1.44528,20.0,54.3
1,80.53,96.36,18,46.3,1.23021,20.0,55.3
1,80.53,96.36,18,85.3968,1.46421,20.0,56.3
1,80.53,96.36,18,189.39,2.02922,20.0,58.3
2,94.67,355.08,18,1.02016,1.0734,20.0,52.3
2,94.67,355.08,18,15.6328,1.3916,20.0,53.3
2,94.67,355.08,18,60.2719,1.2211,20.0,54.3
2,94.67,355.08,18,125.514,1.34723,20.0,55.3
2,94.67,355.08,18,216.037,1.473,20.0,56.3
2,94.67,355.08,18,414.351,2.20055,20.0,58.3
3,139.61,257.49,18,0.255193,0.847707,20.0,52.3
3,139.61,257.49,18,15.3596,0.907388,20.0,53.3
3,139.61,257.49,18,24.202,1.16843,20.0,54.3
3,139.61,257.49,18,45.0254,1.13983,20.0,55.3
3,139.61,257.49,18,58.2777,1.27226,20.0,56.3
3,139.61,257.49,18,118.848,1.37003,20.0,58.3
4,182.58,172.15,18,157.184,0.871169,20.0,52.3
4,182.58,172.15,18,628.27,0.851391,20.0,53.3
4,182.58,172.15,18,1511.37,1.36766,20.0,54.3
4,182.58,172.15,18,2867.2,1.96223,20.0,55.3
4,182.58,172.15,18,4837.37,3.22041,20.0,56.3
4,182.58,172.15,18,11681.2,7.90856,20.0,58.3
5,193.7,520.1,18,5.9794,0.941472,20.0,52.3
5,193.7,520.1,18,31.6074,0.93731,20.0,53.3
5,193.7,520.1,18,98.1941,1.15604,20.0,54.3
5,193.7,520.1,18,181.02,1.04215,20.0,55.3
5,193.7,520.1,18,298.17,1.41053,20.0,56.3
5,193.7,520.1,18,733.256,1.96413,20.0,58.3
6,232.05,757.51,18,4.53248,0.907871,20.0,52.3
6,232.05,757.51,18,1.46552,1.14362,20.0,53.3
6,232.05,757.51,18,19.4582,1.12395,20.0,54.3
6,232.05,757.51,18,11.8398,1.31985,20.0,55.3
6,232.05,757.51,18,32.8753,1.45478,20.0,56.3
6,232.05,757.51,18,111.47,1.72983,20.0,58.3
7,237.11,244.17,18,43.4969,0.759874,20.0,52.3
7,237.11,244.17,18,157.46,0.734564,20.0,53.3
7,237.11,244.17,18,304.562,0.913497,20.0,54.3
7,237.11,244.17,18,526.223,1.21031,20.0,55.3
7,237.11,244.17,18,795.174,1.75676,20.0,56.3
7,237.11,244.17,18,1886.61,4.13495,20.0,58.3
8,253.66,351.3,18,10.7558,0.845348,20.0,52.3
8,253.66,351.3,18,26.6109,1.08018,20.0,53.3
8,253.66,351.3,18,76.8039,1.18189,20.0,54.3
8,253.66,351.3,18,137.888,1.34016,20.0,55.3
8,253.66,351.3,18,212.221,1.46226,20.0,56.3
8,253.66,351.3,18,527.062,2.12736,20.0,58.3
9,336.26,288.35,18,3.82332,0.931431,20.0,52.3
9,336.26,288.35,18,14.0954,1.11197,20.0,53.3
9,336.26,288.35,18,18.2979,1.12902,20.0,54.3
9,336.26,288.35,18,50.5773,1.20057,20.0,55.3
9,336.26,288.35,18,61.8133,1.3874,20.0,56.3
9,336.26,288.35,18,109.216,1.5891,20.0,58.3
10,356.71,847.02,18,13.8244,0.803294,20.0,52.3
10,356.71,847.02,18,32.5296,1.01155,20.0,53.3
10,356.71,847.02,18,74.7152,1.00445,20.0,54.3
10,356.71,847.02,18,130.152,1.10768,20.0,55.3
10,356.71,847.02,18,234.734,1.24151,20.0,56.3
10,356.71,847.02,18,549.493,2.43426,20.0,58.3
11,375.07,369.64,18,6.00065,0.681478,20.0,52.3
11,375.07,369.64,18,-0.480529,0.723086,20.0,53.3
11,375.07,369.64,18,14.1688,0.771117,20.0,54.3
11,375.07,369.64,18,25.9673,0.871118,20.0,55.3
11,375.07,369.64,18,30.6611,0.939355,20.0,56.3
11,375.07,369.64,18,73.5188,1.36323,20.0,58.3
12,415.86,948.67,18,23.15,0.811638,20.0,52.3
12,415.86,948.67,18,44.831,1.03564,20.0,53.3
12,415.86,948.67,18,82.9742,1.01957,20.0,54.3
12,415.86,948.67,18,136.308,1.27338,20.0,55.3
12,415.86,948.67,18,206.209,1.38491,20.0,56.3
12,415.86,948.67,18,380.117,1.88162,20.0,58.3
13,417.73,550.01,18,2.67826,0.895603,20.0,52.3
13,417.73,550.01,18,16.4226,1.25226,20.0,53.3
13,417.73,550.01,18,11.7585,1.25422,20.0,54.3
13,417.73,550.01,18,23.2012,1.48346,20.0,55.3
13,417.73,550.01,18,22.7539,1.37639,20.0,56.3
13,417.73,550.01,18,50.1912,1.60917,20.0,58.3
14,425.51,73.08,18,-10.9006,0.945063,20.0,52.3
14,425.51,73.08,18,12.2578,1.04926,20.0,53.3
14,425.51,73.08,18,34.9128,1.10182,20.0,54.3
14,425.51,73.08,18,83.1784,1.19842,20.0,55.3
14,425.51,73.08,18,132.962,1.26188,20.0,56.3
14,425.51,73.08,18,282.673,1.70913,20.0,58.3
15,429.64,486.98,18,61.2787,0.654485,20.0,52.3
15,429.64,486.98,18,205.4,0.776459,20.0,53.3
15,429.64,486.98,18,460.275,0.961133,20.0,54.3
15,429.64,486.98,18,786.662,1.14382,20.0,55.3
15,429.64,486.98,18,1246.3,1.59404,20.0,56.3
15,429.64,486.98,18,2545.21,3.4482,20.0,58.3
16,503.3,998.64,18,16.0084,1.1522,20.0,52.3
16,503.3,998.64,18,13.6454,1.17042,20.0,53.3
16,503.3,998.64,18,43.7325,1.14773,20.0,54.3
16,503.3,998.64,18,46.8292,1.40921,20.0,55.3
16,503.3,998.64,18,55.3007,1.49516,20.0,56.3
16,503.3,998.64,18,121.18,1.80414,20.0,58.3
17,596.49,528.05,18,7.15858,0.923597,20.0,52.3
17,596.49,528.05,18,0.965247,0.928677,20.0,53.3
17,596.49,528.05,18,4.26847,1.05717,20.0,54.3
17,596.49,528.05,18,24.6317,1.24015,20.0,55.3
17,596.49,528.05,18,39.9575,1.22418,20.0,56.3
17,596.49,528.05,18,112.666,1.50367,20.0,58.3
18,610.17,336.26,18,7.81578,1.02889,20.0,52.3
18,610.17,336.26,18,4.21352,1.00862,20.0,53.3
18,610.17,336.26,18,6.20097,1.25792,20.0,54.3
18,610.17,336.26,18,26.8074,1.33001,20.0,55.3
18,610.17,336.26,18,45.4346,1.4044,20.0,56.3
18,610.17,336.26,18,47.5693,1.60441,20.0,58.3
19,649.51,440.37,18,5.06794,0.639811,20.0,52.3
19,649.51,440.37,18,40.6295,0.820359,20.0,53.3
19,649.51,440.37,18,67.7405,0.798044,20.0,54.3
19,649.51,440.37,18,115.941,0.989357,20.0,55.3
19,649.51,440.37,18,150.242,1.01289,20.0,56.3
19,649.51,440.37,18,273.387,1.41518,20.0,58.3
20,649.81,574.03,18,22.0455,0.77743,20.0,52.3
20,649.81,574.03,18,148.583,0.791501,20.0,53.3
20,649.81,574.03,18,429.738,0.982897,20.0,54.3
20,649.81,574.03,18,838.698,1.31567,20.0,55.3
20,649.81,574.03,18,1442.43,1.84028,20.0,56.3
