ID_hotspot_globale,x,y,integration_radius,luminosity,error,T,v
0,67.66,809.37,15,42.6289,0.651495,20.0,52.3
0,67.66,809.37,15,137.461,0.767271,20.0,53.3
0,67.66,809.37,15,267.073,1.04947,20.0,54.3
0,67.66,809.37,15,428.928,1.15664,20.0,55.3
0,67.66,809.37,15,640.43,1.4075,20.0,56.3
0,67.66,809.37,15,2437.16,28.7914,20.0,58.3
1,80.53,96.36,15,3.08917,0.90167,20.0,52.3
1,80.53,96.36,15,11.1221,1.00802,20.0,53.3
1,80.53,96.36,15,25.6932,1.23243,20.0,54.3
1,80.53,96.36,15,52.3524,1.04864,20.0,55.3
1,80.53,96.36,15,85.9265,1.25605,20.0,56.3
1,80.53,96.36,15,193.344,1.81419,20.0,58.3
2,94.67,355.08,15,2.07917,0.886425,20.0,52.3
2,94.67,355.08,15,16.0784,1.16136,20.0,53.3
2,94.67,355.08,15,58.4779,1.04976,20.0,54.3
2,94.67,355.08,15,123.105,1.17758,20.0,55.3
2,94.67,355.08,15,208.194,1.29333,20.0,56.3
2,94.67,355.08,15,400.717,1.85879,20.0,58.3
3,139.61,257.49,15,2.87252,0.675146,20.0,52.3
3,139.61,257.49,15,12.1587,0.75022,20.0,53.3
3,139.61,257.49,15,28.7634,0.974485,20.0,54.3
3,139.61,257.49,15,44.3162,0.921804,20.0,55.3
3,139.61,257.49,15,60.2231,0.97145,20.0,56.3
3,139.61,257.49,15,114.485,1.15898,20.0,58.3
4,182.58,172.15,15,157.554,0.738309,20.0,52.3
4,182.58,172.15,15,622.932,0.743304,20.0,53.3
4,182.58,172.15,15,1497.55,1.23689,20.0,54.3
4,182.58,172.15,15,2836.91,1.85772,20.0,55.3
4,182.58,172.15,15,4771.58,3.17329,20.0,56.3
4,182.58,172.15,15,11435.0,7.87348,20.0,58.3
5,193.7,520.1,15,5.90155,0.802013,20.0,52.3
5,193.7,520.1,15,34.7604,0.769654,20.0,53.3
5,193.7,520.1,15,94.2974,1.00208,20.0,54.3
5,193.7,520.1,15,182.113,0.899842,20.0,55.3
5,193.7,520.1,15,297.111,1.16203,20.0,56.3
5,193.7,520.1,15,728.262,1.81576,20.0,58.3
6,232.05,757.51,15,2.67514,0.715411,20.0,52.3
6,232.05,757.51,15,4.48677,0.879564,20.0,53.3
6,232.05,757.51,15,19.5829,0.780444,20.0,54.3
6,232.05,757.51,15,16.5994,0.975669,20.0,55.3
6,232.05,757.51,15,37.0014,1.11789,20.0,56.3
6,232.05,757.51,15,110.437,1.30024,20.0,58.3
7,237.11,244.17,15,42.6931,0.674457,20.0,52.3
7,237.11,244.17,15,160.394,0.584814,20.0,53.3
7,237.11,244.17,15,303.995,0.782641,20.0,54.3
7,237.11,244.17,15,521.635,1.08749,20.0,55.3
7,237.11,244.17,15,779.562,1.69569,20.0,56.3
7,237.11,244.17,15,1848.76,4.08388,20.0,58.3
8,253.66,351.3,15,8.93679,0.633363,20.0,52.3
8,253.66,351.3,15,28.3544,0.721945,20.0,53.3
8,253.66,351.3,15,77.635,0.772084,20.0,54.3
8,253.66,351.3,15,136.092,0.984029,20.0,55.3
8,253.66,351.3,15,209.589,1.04519,20.0,56.3
8,253.66,351.3,15,511.595,1.68792,20.0,58.3
9,336.26,288.35,15,6.15964,0.810401,20.0,52.3
9,336.26,288.35,15,13.2364,0.97255,20.0,53.3
9,336.26,288.35,15,21.6916,0.960615,20.0,54.3
9,336.26,288.35,15,45.4497,1.06738,20.0,55.3
9,336.26,288.35,15,57.4992,1.19602,20.0,56.3
9,336.26,288.35,15,95.4943,1.40097,20.0,58.3
10,356.71,847.02,15,12.454,0.641181,20.0,52.3
10,356.71,847.02,15,32.6007,0.768321,20.0,53.3
10,356.71,847.02,15,76.0681,0.81197,20.0,54.3
10,356.71,847.02,15,130.147,0.895176,20.0,55.3
10,356.71,847.02,15,233.065,1.03961,20.0,56.3
10,356.71,847.02,15,535.372,2.26369,20.0,58.3
11,375.07,369.64,15,6.52821,0.517168,20.0,52.3
11,375.07,369.64,15,0.716635,0.600556,20.0,53.3
11,375.07,369.64,15,10.4356,0.66477,20.0,54.3
11,375.07,369.64,15,22.4387,0.746245,20.0,55.3
11,375.07,369.64,15,30.9868,0.853305,20.0,56.3
11,375.07,369.64,15,72.955,1.15197,20.0,58.3
12,415.86,948.67,15,20.5185,0.734381,20.0,52.3
12,415.86,948.67,15,47.6001,0.909743,20.0,53.3
12,415.86,948.67,15,84.7392,0.957748,20.0,54.3
12,415.86,948.67,15,136.826,1.12542,20.0,55.3
12,415.86,948.67,15,205.148,1.24544,20.0,56.3
12,415.86,948.67,15,370.153,1.73631,20.0,58.3
13,417.73,550.01,15,3.49604,0.699977,20.0,52.3
13,417.73,550.01,15,13.4793,1.01581,20.0,53.3
13,417.73,550.01,15,11.277,1.0669,20.0,54.3
13,417.73,550.01,15,28.543,1.2467,20.0,55.3
13,417.73,550.01,15,26.3194,1.05679,20.0,56.3
13,417.73,550.01,15,51.6136,1.35244,20.0,58.3
14,425.51,73.08,15,-8.1585,0.863654,20.0,52.3
14,425.51,73.08,15,10.704,0.773698,20.0,53.3
14,425.51,73.08,15,33.4031,0.940138,20.0,54.3
14,425.51,73.08,15,77.5355,1.01953,20.0,55.3
14,425.51,73.08,15,129.017,1.00861,20.0,56.3
14,425.51,73.08,15,274.194,1.49212,20.0,58.3
15,429.64,486.98,15,62.5072,0.530123,20.0,52.3
15,429.64,486.98,15,207.208,0.64913,20.0,53.3
15,429.64,486.98,15,453.804,0.873157,20.0,54.3
15,429.64,486.98,15,781.989,1.00396,20.0,55.3
15,429.64,486.98,15,1230.33,1.46022,20.0,56.3
15,429.64,486.98,15,2498.48,3.35029,20.0,58.3
16,503.3,998.64,15,12.3751,1.014,20.0,52.3
16,503.3,998.64,15,14.2098,1.06968,20.0,53.3
16,503.3,998.64,15,38.5919,0.995709,20.0,54.3
16,503.3,998.64,15,50.2586,1.22148,20.0,55.3
16,503.3,998.64,15,65.6625,1.276,20.0,56.3
16,503.3,998.64,15,124.625,1.56404,20.0,58.3
17,596.49,528.05,15,4.36901,0.779385,20.0,52.3
17,596.49,528.05,15,0.359648,0.820035,20.0,53.3
17,596.49,528.05,15,5.55363,0.903978,20.0,54.3
17,596.49,528.05,15,26.1296,1.10255,20.0,55.3
17,596.49,528.05,15,41.0253,1.07124,20.0,56.3
