ID_hotspot_globale,x,y,integration_radius,luminosity,error,T,v
0,67.66,809.38,14,42.0819,0.638884,20.0,52.3
0,67.66,809.38,14,138.312,0.708024,20.0,53.3
0,67.66,809.38,14,265.466,1.03642,20.0,54.3
0,67.66,809.38,14,427.735,1.10389,20.0,55.3
0,67.66,809.38,14,637.443,1.39924,20.0,56.3
0,67.66,809.38,14,2414.03,28.7902,20.0,58.3
1,80.53,96.36,14,2.57797,0.852707,20.0,52.3
1,80.53,96.36,14,13.0064,0.968172,20.0,53.3
1,80.53,96.36,14,25.5895,1.20851,20.0,54.3
1,80.53,96.36,14,53.9367,0.94754,20.0,55.3
1,80.53,96.36,14,86.2543,1.16544,20.0,56.3
1,80.53,96.36,14,192.996,1.65029,20.0,58.3
2,94.67,355.09,14,3.33709,0.857044,20.0,52.3
2,94.67,355.09,14,15.234,1.13972,20.0,53.3
2,94.67,355.09,14,57.8786,1.01969,20.0,54.3
2,94.67,355.09,14,121.655,1.14373,20.0,55.3
2,94.67,355.09,14,203.567,1.22262,20.0,56.3
2,94.67,355.09,14,393.754,1.75882,20.0,58.3
3,139.55,257.49,14,3.92691,0.630809,20.0,52.3
3,139.55,257.49,14,12.2816,0.735669,20.0,53.3
3,139.55,257.49,14,28.9771,0.933318,20.0,54.3
3,139.55,257.49,14,45.1971,0.886728,20.0,55.3
3,139.55,257.49,14,61.4821,0.930349,20.0,56.3
3,139.55,257.49,14,113.7,1.13654,20.0,58.3
4,182.57,172.15,14,157.216,0.709177,20.0,52.3
4,182.57,172.15,14,621.171,0.679768,20.0,53.3
4,182.57,172.15,14,1491.79,1.17852,20.0,54.3
4,182.57,172.15,14,2823.69,1.81556,20.0,55.3
4,182.57,172.15,14,4743.65,3.12483,20.0,56.3
4,182.57,172.15,14,11333.0,7.86063,20.0,58.3
5,193.71,520.1,14,6.13725,0.767557,20.0,52.3
5,193.71,520.1,14,36.2719,0.746311,20.0,53.3
5,193.71,520.1,14,92.636,0.945982,20.0,54.3
5,193.71,520.1,14,180.669,0.83865,20.0,55.3
5,193.71,520.1,14,297.732,1.12107,20.0,56.3
5,193.71,520.1,14,726.691,1.75858,20.0,58.3
6,232.0,757.5,14,2.16121,0.646251,20.0,52.3
6,232.0,757.5,14,3.80025,0.802715,20.0,53.3
6,232.0,757.5,14,18.176,0.728677,20.0,54.3
6,232.0,757.5,14,19.1112,0.884221,20.0,55.3
6,232.0,757.5,14,37.7552,0.976856,20.0,56.3
6,232.0,757.5,14,107.025,1.21255,20.0,58.3
7,237.11,244.16,14,42.347,0.657032,20.0,52.3
7,237.11,244.16,14,159.21,0.5703,20.0,53.3
7,237.11,244.16,14,302.071,0.760696,20.0,54.3
7,237.11,244.16,14,518.425,1.06136,20.0,55.3
7,237.11,244.16,14,772.188,1.6889,20.0,56.3
7,237.11,244.16,14,1827.99,4.07507,20.0,58.3
8,253.65,351.32,14,9.64662,0.575075,20.0,52.3
8,253.65,351.32,14,28.2702,0.706727,20.0,53.3
8,253.65,351.32,14,77.8512,0.702797,20.0,54.3
8,253.65,351.32,14,135.429,0.955691,20.0,55.3
8,253.65,351.32,14,209.194,1.0246,20.0,56.3
8,253.65,351.32,14,503.546,1.65717,20.0,58.3
9,336.28,288.32,14,6.18136,0.749254,20.0,52.3
9,336.28,288.32,14,13.2256,0.858354,20.0,53.3
