ID_hotspot_globale,x,y,integration_radius,luminosity,error,T,v
0,67.66,809.37,11,42.6451,0.515041,20.0,52.3
0,67.66,809.37,11,137.442,0.503385,20.0,53.3
0,67.66,809.37,11,258.623,0.83196,20.0,54.3
0,67.66,809.37,11,419.101,0.933221,20.0,55.3
0,67.66,809.37,11,621.699,1.28616,20.0,56.3
0,67.66,809.37,11,2318.52,28.7737,20.0,58.3
1,80.53,96.36,11,4.20199,0.685151,20.0,52.3
1,80.53,96.36,11,15.7917,0.730078,20.0,53.3
1,80.53,96.36,11,27.59,1.00657,20.0,54.3
1,80.53,96.36,11,54.6831,0.656056,20.0,55.3
1,80.53,96.36,11,89.5252,0.851455,20.0,56.3
1,80.53,96.36,11,191.69,1.35155,20.0,58.3
2,94.67,355.08,11,-0.683615,0.689844,20.0,52.3
2,94.67,355.08,11,10.5778,0.902935,20.0,53.3
2,94.67,355.08,11,58.9262,0.737643,20.0,54.3
2,94.67,355.08,11,114.382,0.793403,20.0,55.3
2,94.67,355.08,11,186.436,1.03365,20.0,56.3
2,94.67,355.08,11,361.002,1.36163,20.0,58.3
3,139.61,257.49,11,4.76742,0.516287,20.0,52.3
3,139.61,257.49,11,12.658,0.62769,20.0,53.3
3,139.61,257.49,11,26.8733,0.798778,20.0,54.3
3,139.61,257.49,11,42.5782,0.67154,20.0,55.3
3,139.61,257.49,11,60.1537,0.714322,20.0,56.3
3,139.61,257.49,11,103.761,0.87586,20.0,58.3
4,182.58,172.15,11,155.049,0.448097,20.0,52.3
4,182.58,172.15,11,611.001,0.522507,20.0,53.3
4,182.58,172.15,11,1456.99,0.958541,20.0,54.3
4,182.58,172.15,11,2752.9,1.76973,20.0,55.3
4,182.58,172.15,11,4603.06,3.06762,20.0,56.3
4,182.58,172.15,11,10828.6,7.76253,20.0,58.3
5,193.7,520.1,11,6.46597,0.598883,20.0,52.3
5,193.7,520.1,11,38.8188,0.550089,20.0,53.3
5,193.7,520.1,11,91.6646,0.766309,20.0,54.3
5,193.7,520.1,11,176.727,0.6513,20.0,55.3
5,193.7,520.1,11,292.2,0.947367,20.0,56.3
5,193.7,520.1,11,693.828,1.69342,20.0,58.3
6,232.05,757.51,11,1.61388,0.468416,20.0,52.3
6,232.05,757.51,11,2.25906,0.538701,20.0,53.3
6,232.05,757.51,11,14.9098,0.549648,20.0,54.3
6,232.05,757.51,11,20.0378,0.689972,20.0,55.3
6,232.05,757.51,11,36.9581,0.521147,20.0,56.3
6,232.05,757.51,11,97.2186,0.835189,20.0,58.3
7,237.11,244.17,11,40.8584,0.524632,20.0,52.3
7,237.11,244.17,11,154.027,0.47494,20.0,53.3
7,237.11,244.17,11,297.108,0.677826,20.0,54.3
7,237.11,244.17,11,504.217,0.932105,20.0,55.3
7,237.11,244.17,11,745.923,1.61206,20.0,56.3
7,237.11,244.17,11,1746.54,4.03929,20.0,58.3
8,253.66,351.3,11,10.3635,0.445522,20.0,52.3
8,253.66,351.3,11,27.8264,0.547311,20.0,53.3
8,253.66,351.3,11,74.6823,0.540054,20.0,54.3
8,253.66,351.3,11,128.36,0.652538,20.0,55.3
8,253.66,351.3,11,203.588,0.798657,20.0,56.3
8,253.66,351.3,11,473.423,1.40149,20.0,58.3
9,336.26,288.35,11,4.03831,0.410922,20.0,52.3
9,336.26,288.35,11,14.3939,0.444723,20.0,53.3
9,336.26,288.35,11,24.0954,0.588239,20.0,54.3
9,336.26,288.35,11,39.535,0.786202,20.0,55.3
9,336.26,288.35,11,56.5829,0.770427,20.0,56.3
9,336.26,288.35,11,84.9499,0.852561,20.0,58.3
10,356.71,847.02,11,12.9255,0.414962,20.0,52.3
10,356.71,847.02,11,32.7494,0.510204,20.0,53.3
10,356.71,847.02,11,76.8558,0.622337,20.0,54.3
10,356.71,847.02,11,128.556,0.65333,20.0,55.3
10,356.71,847.02,11,220.402,0.806688,20.0,56.3
10,356.71,847.02,11,505.143,2.12354,20.0,58.3
11,375.07,369.64,11,7.2691,0.374068,20.0,52.3
11,375.07,369.64,11,3.97384,0.423452,20.0,53.3
11,375.07,369.64,11,10.6747,0.431364,20.0,54.3
11,375.07,369.64,11,22.2754,0.437802,20.0,55.3
11,375.07,369.64,11,30.2075,0.602391,20.0,56.3
11,375.07,369.64,11,71.4635,0.782204,20.0,58.3
12,415.86,948.67,11,17.4301,0.473955,20.0,52.3
12,415.86,948.67,11,47.0456,0.642598,20.0,53.3
12,415.86,948.67,11,87.6797,0.641306,20.0,54.3
12,415.86,948.67,11,141.067,0.803842,20.0,55.3
12,415.86,948.67,11,201.664,0.847462,20.0,56.3
12,415.86,948.67,11,351.278,1.18744,20.0,58.3
13,417.73,550.01,11,0.546255,0.593837,20.0,52.3
13,417.73,550.01,11,11.2778,0.780369,20.0,53.3
13,417.73,550.01,11,14.2166,0.858084,20.0,54.3
13,417.73,550.01,11,29.0411,0.977718,20.0,55.3
13,417.73,550.01,11,32.9999,0.724989,20.0,56.3
13,417.73,550.01,11,55.8499,1.09094,20.0,58.3
14,425.51,73.08,11,-4.55952,0.706872,20.0,52.3
14,425.51,73.08,11,9.46616,0.638557,20.0,53.3
14,425.51,73.08,11,33.6749,0.727746,20.0,54.3
14,425.51,73.08,11,76.078,0.827883,20.0,55.3
14,425.51,73.08,11,124.657,0.765734,20.0,56.3
14,425.51,73.08,11,250.341,1.34159,20.0,58.3
15,429.64,486.98,11,63.5999,0.406967,20.0,52.3
15,429.64,486.98,11,203.405,0.548399,20.0,53.3
15,429.64,486.98,11,442.332,0.729266,20.0,54.3
15,429.64,486.98,11,760.009,0.887818,20.0,55.3
15,429.64,486.98,11,1188.52,1.36192,20.0,56.3
15,429.64,486.98,11,2367.03,3.27206,20.0,58.3
16,503.3,998.64,11,8.02195,0.820878,20.0,52.3
16,503.3,998.64,11,13.79,0.75376,20.0,53.3
16,503.3,998.64,11,37.6536,0.773061,20.0,54.3
16,503.3,998.64,11,55.5128,0.82033,20.0,55.3
16,503.3,998.64,11,68.3731,0.949296,20.0,56.3
16,503.3,998.64,11,124.923,1.15826,20.0,58.3
17,596.49,528.05,11,0.665541,0.580171,20.0,52.3
17,596.49,528.05,11,1.45878,0.685571,20.0,53.3
17,596.49,528.05,11,6.03498,0.721794,20.0,54.3
17,596.49,528.05,11,26.7257,0.841463,20.0,55.3
17,596.49,528.05,11,41.7352,0.765611,20.0,56.3
17,596.49,528.05,11,100.89,1.01892,20.0,58.3
18,610.17,336.26,11,7.08026,0.519782,20.0,52.3
18,610.17,336.26,11,8.19111,0.627147,20.0,53.3
18,610.17,336.26,11,11.6847,0.69966,20.0,54.3
18,610.17,336.26,11,22.8478,0.711335,20.0,55.3
18,610.17,336.26,11,39.9511,0.786014,20.0,56.3
18,610.17,336.26,11,51.5042,1.01074,20.0,58.3
19,649.51,440.37,11,9.84569,0.414381,20.0,52.3
19,649.51,440.37,11,38.9273,0.55762,20.0,53.3
19,649.51,440.37,11,70.6801,0.483914,20.0,54.3
19,649.51,440.37,11,110.385,0.653323,20.0,55.3
19,649.51,440.37,11,141.107,0.656095,20.0,56.3
19,649.51,440.37,11,248.2,1.05082,20.0,58.3
20,649.81,574.03,11,24.319,0.640023,20.0,52.3
20,649.81,574.03,11,143.244,0.517682,20.0,53.3
20,649.81,574.03,11,412.904,0.690016,20.0,54.3
20,649.81,574.03,11,801.991,1.13418,20.0,55.3
20,649.81,574.03,11,1340.49,1.71681,20.0,56.3
20,649.81,574.03,11,2852.53,3.5525,20.0,58.3
21,660.74,688.47,11,3.50594,0.436808,20.0,52.3
21,660.74,688.47,11,15.5236,0.43799,20.0,53.3
21,660.74,688.47,11,36.5139,0.557272,20.0,54.3
21,660.74,688.47,11,57.9369,0.597972,20.0,55.3
21,660.74,688.47,11,97.2482,0.544426,20.0,56.3
21,660.74,688.47,11,226.046,0.902188,20.0,58.3
22,700.4,366.42,11,1.85393,0.472667,20.0,52.3
22,700.4,366.42,11,4.68752,0.555108,20.0,53.3
22,700.4,366.42,11,11.3082,0.593248,20.0,54.3
22,700.4,366.42,11,23.8581,0.716596,20.0,55.3
22,700.4,366.42,11,33.1225,0.630822,20.0,56.3
22,700.4,366.42,11,73.374,0.970225,20.0,58.3
23,808.07,587.39,11,23.0872,0.684368,20.0,52.3
23,808.07,587.39,11,85.5454,0.625331,20.0,53.3
23,808.07,587.39,11,171.359,0.741667,20.0,54.3
23,808.07,587.39,11,269.655,0.962639,20.0,55.3
23,808.07,587.39,11,393.104,1.30213,20.0,56.3
23,808.07,587.39,11,665.017,2.82539,20.0,58.3
24,816.52,315.2,11,0.545665,0.3978,20.0,52.3
24,816.52,315.2,11,13.8983,0.468575,20.0,53.3
24,816.52,315.2,11,29.2773,0.615709,20.0,54.3
24,816.52,315.2,11,41.9492,0.649956,20.0,55.3
24,816.52,315.2,11,70.3175,0.870413,20.0,56.3
24,816.52,315.2,11,141.862,0.816882,20.0,58.3
25,868.58,1007.51,11,13.4163,0.590125,20.0,52.3
25,868.58,1007.51,11,27.6583,0.604193,20.0,53.3
25,868.58,1007.51,11,53.3844,0.68315,20.0,54.3
25,868.58,1007.51,11,90.3179,0.748691,20.0,55.3
25,868.58,1007.51,11,439.794,8.54831,20.0,56.3
25,868.58,1007.51,11,2740.07,13.9302,20.0,58.3
26,1006.97,123.09,11,1.05619,0.569344,20.0,52.3
26,1006.97,123.09,11,14.4312,0.613936,20.0,53.3
26,1006.97,123.09,11,21.1019,0.8512,20.0,54.3
26,1006.97,123.09,11,35.7729,0.903074,20.0,55.3
26,1006.97,123.09,11,46.1045,0.731492,20.0,56.3
26,1006.97,123.09,11,76.1337,0.867678,20.0,58.3
27,1048.38,957.19,11,19.6943,0.645741,20.0,52.3
27,1048.38,957.19,11,59.0679,0.727275,20.0,53.3
27,1048.38,957.19,11,114.908,0.791822,20.0,54.3
27,1048.38,957.19,11,182.507,0.899841,20.0,55.3
27,1048.38,957.19,11,250.883,1.08343,20.0,56.3
27,1048.38,957.19,11,456.818,1.53614,20.0,58.3
28,1051.56,804.3,11,4.7904,0.355672,20.0,52.3
28,1051.56,804.3,11,7.10822,0.634793,20.0,53.3
28,1051.56,804.3,11,23.1809,0.560584,20.0,54.3
28,1051.56,804.3,11,45.665,0.588389,20.0,55.3
28,1051.56,804.3,11,72.2494,0.654617,20.0,56.3
28,1051.56,804.3,11,159.619,0.983376,20.0,58.3
29,1068.22,234.4,11,0.275871,0.488265,20.0,52.3
29,1068.22,234.4,11,7.24467,0.495744,20.0,53.3
29,1068.22,234.4,11,10.1519,0.325094,20.0,54.3
29,1068.22,234.4,11,25.3509,0.736449,20.0,55.3
29,1068.22,234.4,11,27.874,0.689168,20.0,56.3
29,1068.22,234.4,11,62.7657,0.849887,20.0,58.3
30,1088.03,910.16,11,13.0739,0.569142,20.0,52.3
30,1088.03,910.16,11,40.3265,0.463853,20.0,53.3
30,1088.03,910.16,11,72.8928,0.576302,20.0,54.3
30,1088.03,910.16,11,95.0265,0.787203,20.0,55.3
30,1088.03,910.16,11,138.252,0.942003,20.0,56.3
30,1088.03,910.16,11,231.488,1.09878,20.0,58.3
31,1088.97,687.67,11,7.82816,0.51127,20.0,52.3
31,1088.97,687.67,11,16.7887,0.516988,20.0,53.3
31,1088.97,687.67,11,35.9999,0.546519,20.0,54.3
31,1088.97,687.67,11,62.9474,0.460987,20.0,55.3
