ID_hotspot_globale,x,y,integration_radius,luminosity,error,T,v
0,67.66,809.38,20,44.8461,0.966923,20.0,52.3
0,67.66,809.38,20,132.368,1.13352,20.0,53.3
0,67.66,809.38,20,272.983,1.39475,20.0,54.3
0,67.66,809.38,20,430.2,1.51056,20.0,55.3
0,67.66,809.38,20,648.125,1.64167,20.0,56.3
0,67.66,809.38,20,2522.53,28.8149,20.0,58.3
1,80.53,96.36,20,-2.83155,1.17546,20.0,52.3
1,80.53,96.36,20,6.92239,1.27039,20.0,53.3
1,80.53,96.36,20,21.3623,1.56541,20.0,54.3
1,80.53,96.36,20,45.9247,1.40439,20.0,55.3
1,80.53,96.36,20,85.8073,1.55088,20.0,56.3
1,80.53,96.36,20,186.412,2.1535,20.0,58.3
2,94.67,355.09,20,2.10872,1.1933,20.0,52.3
2,94.67,355.09,20,16.7439,1.49216,20.0,53.3
2,94.67,355.09,20,59.9348,1.40255,20.0,54.3
2,94.67,355.09,20,127.305,1.43695,20.0,55.3
2,94.67,355.09,20,220.614,1.59319,20.0,56.3
2,94.67,355.09,20,420.253,2.35782,20.0,58.3
3,139.55,257.49,20,-3.15663,0.991702,20.0,52.3
3,139.55,257.49,20,16.7484,1.03501,20.0,53.3
3,139.55,257.49,20,26.7927,1.32681,20.0,54.3
3,139.55,257.49,20,44.674,1.28569,20.0,55.3
3,139.55,257.49,20,59.3702,1.42668,20.0,56.3
3,139.55,257.49,20,122.046,1.68109,20.0,58.3
4,182.57,172.15,20,155.564,0.917478,20.0,52.3
4,182.57,172.15,20,629.754,0.920476,20.0,53.3
4,182.57,172.15,20,1520.31,1.42492,20.0,54.3
4,182.57,172.15,20,2884.64,1.99595,20.0,55.3
4,182.57,172.15,20,4874.67,3.25894,20.0,56.3
4,182.57,172.15,20,11812.9,7.92934,20.0,58.3
5,193.71,520.1,20,7.74385,0.988818,20.0,52.3
5,193.71,520.1,20,28.6489,1.03877,20.0,53.3
5,193.71,520.1,20,98.6559,1.22348,20.0,54.3
5,193.71,520.1,20,179.775,1.1997,20.0,55.3
5,193.71,520.1,20,295.786,1.51753,20.0,56.3
5,193.71,520.1,20,733.157,2.05263,20.0,58.3
6,232.0,757.5,20,3.73029,1.04883,20.0,52.3
6,232.0,757.5,20,0.607759,1.23041,20.0,53.3
6,232.0,757.5,20,19.868,1.29484,20.0,54.3
6,232.0,757.5,20,9.42354,1.44484,20.0,55.3
6,232.0,757.5,20,28.1729,1.65581,20.0,56.3
6,232.0,757.5,20,105.918,1.89017,20.0,58.3
7,237.11,244.16,20,42.5025,0.806627,20.0,52.3
7,237.11,244.16,20,158.143,0.787515,20.0,53.3
7,237.11,244.16,20,304.448,1.01136,20.0,54.3
7,237.11,244.16,20,528.921,1.26334,20.0,55.3
7,237.11,244.16,20,804.151,1.82633,20.0,56.3
7,237.11,244.16,20,1903.41,4.16901,20.0,58.3
8,253.65,351.32,20,11.3782,0.94412,20.0,52.3
8,253.65,351.32,20,25.3578,1.16919,20.0,53.3
8,253.65,351.32,20,76.9197,1.2808,20.0,54.3
8,253.65,351.32,20,137.423,1.4624,20.0,55.3
8,253.65,351.32,20,212.508,1.55765,20.0,56.3
8,253.65,351.32,20,532.937,2.35238,20.0,58.3
9,336.28,288.32,20,5.8617,0.969671,20.0,52.3
9,336.28,288.32,20,14.6129,1.19075,20.0,53.3
9,336.28,288.32,20,18.137,1.21515,20.0,54.3
9,336.28,288.32,20,53.8894,1.29518,20.0,55.3
9,336.28,288.32,20,64.2269,1.4531,20.0,56.3
9,336.28,288.32,20,114.184,1.67008,20.0,58.3
10,356.71,847.02,20,12.4752,0.906871,20.0,52.3
10,356.71,847.02,20,31.8165,1.16727,20.0,53.3
10,356.71,847.02,20,75.3794,1.13424,20.0,54.3
10,356.71,847.02,20,127.189,1.23329,20.0,55.3
10,356.71,847.02,20,234.674,1.35027,20.0,56.3
10,356.71,847.02,20,557.308,2.50796,20.0,58.3
11,375.1,369.69,20,5.86666,0.783708,20.0,52.3
11,375.1,369.69,20,-4.57364,0.765343,20.0,53.3
11,375.1,369.69,20,14.4845,0.833646,20.0,54.3
11,375.1,369.69,20,25.8622,0.982471,20.0,55.3
11,375.1,369.69,20,30.1971,1.03289,20.0,56.3
11,375.1,369.69,20,75.7725,1.53939,20.0,58.3
12,415.85,948.68,20,20.6598,0.9447,20.0,52.3
12,415.85,948.68,20,45.547,1.11569,20.0,53.3
