spot,x,y,luminosity,error,T,v,phase,detection,status,integration_radius,integration_area,run_number,match_distance,geometry_source_phase,geometry_source_run,geometry_mode,deltaL1,deltaL2,deltaL,lambda,lambda_stat_error,deltaLambda,A,A_stat_error,fit_chi2,fit_ndf,fit_chi2ndf,fit_status,covmatrix_status,edm,fit_converged
0,67.72,809.41,579.882,1.70699,17.0,56.13,annealing_T=75_h=25,present,present,20.0,1256.6370614359173,20260531-095134,1.098954048174955,annealing_T=75_h=25,20260531-095134,phase_detection,1.187,8.186,8.186,0.0654328,0.000590036,0.000659441,188.939,2.29473,203.247,2,101.624,0,3,2.94425e-08,1
0,67.72,809.41,659.958,1.83464,19.0,56.24,annealing_T=75_h=25,present,present,20.0,1256.6370614359173,20260531-095134,1.098954048174955,annealing_T=75_h=25,20260531-095134,phase_detection,2.108,5.599,5.599,0.0654328,0.000590036,0.000659441,188.939,2.29473,203.247,2,101.624,0,3,2.94425e-08,1
0,67.72,809.41,725.921,1.75362,21.0,56.35,annealing_T=75_h=25,present,present,20.0,1256.6370614359173,20260531-095134,1.098954048174955,annealing_T=75_h=25,20260531-095134,phase_detection,1.457,9.217,9.217,0.0654328,0.000590036,0.000659441,188.939,2.29473,203.247,2,101.624,0,3,2.94425e-08,1
0,67.72,809.41,864.408,1.94495,23.0,56.46,annealing_T=75_h=25,present,present,20.0,1256.6370614359173,20260531-095134,1.098954048174955,annealing_T=75_h=25,20260531-095134,phase_detection,2.605,5.762,5.762,0.0654328,0.000590036,0.000659441,188.939,2.29473,203.247,2,101.624,0,3,2.94425e-08,1
1,81.76,96.43,61.6176,1.39714,17.0,56.13,annealing_T=75_h=25,present,present,20.0,1256.6370614359173,20260531-095134,1.4135416513141683,annealing_T=75_h=25,20260531-095134,phase_detection,5.9468,5.8092,5.9468,0.0377584,0.00507559,0.00360072,30.3898,3.16246,131.04,2,65.5199,0,3,6.51005e-09,1
1,81.76,96.43,63.9647,1.39809,19.0,56.24,annealing_T=75_h=25,present,present,20.0,1256.6370614359173,20260531-095134,1.4135416513141683,annealing_T=75_h=25,20260531-095134,phase_detection,2.4763,0.8556,2.4763,0.0377584,0.00507559,0.00360072,30.3898,3.16246,131.04,2,65.5199,0,3,6.51005e-09,1
1,81.76,96.43,53.3523,1.43267,21.0,56.35,annealing_T=75_h=25,present,present,20.0,1256.6370614359173,20260531-095134,1.4135416513141683,annealing_T=75_h=25,20260531-095134,phase_detection,8.304,9.1794,9.1794,0.0377584,0.00507559,0.00360072,30.3898,3.16246,131.04,2,65.5199,0,3,6.51005e-09,1
1,81.76,96.43,79.8522,1.37833,23.0,56.46,annealing_T=75_h=25,present,present,20.0,1256.6370614359173,20260531-095134,1.4135416513141683,annealing_T=75_h=25,20260531-095134,phase_detection,2.8737,2.5742,2.8737,0.0377584,0.00507559,0.00360072,30.3898,3.16246,131.04,2,65.5199,0,3,6.51005e-09,1
2,140.41,257.65,84.201,1.84188,17.0,56.13,annealing_T=75_h=25,present,present,20.0,1256.6370614359173,20260531-095134,1.6697604618627455,annealing_T=75_h=25,20260531-095134,phase_detection,6.0415,5.0814,6.0415,0.0544066,0.00346648,0.00470947,36.6448,2.6558,65.3124,2,32.6562,0,3,6.87008e-08,1
2,140.41,257.65,107.983,1.74438,19.0,56.24,annealing_T=75_h=25,present,present,20.0,1256.6370614359173,20260531-095134,1.6697604618627455,annealing_T=75_h=25,20260531-095134,phase_detection,4.588,2.52,4.588,0.0544066,0.00346648,0.00470947,36.6448,2.6558,65.3124,2,32.6562,0,3,6.87008e-08,1
2,140.41,257.65,123.723,1.74268,21.0,56.35,annealing_T=75_h=25,present,present,20.0,1256.6370614359173,20260531-095134,1.6697604618627455,annealing_T=75_h=25,20260531-095134,phase_detection,3.982,0.848,3.982,0.0544066,0.00346648,0.00470947,36.6448,2.6558,65.3124,2,32.6562,0,3,6.87008e-08,1
