spot,phase,lambda_R16,lambdaerr_R16,chi2_R16,ndf_R16,chi2ndf_R16,fit_status_R16,covmatrix_status_R16,edm_R16,converged_R16,lambda_R24,lambdaerr_R24,chi2_R24,ndf_R24,chi2ndf_R24,fit_status_R24,covmatrix_status_R24,edm_R24,converged_R24
0,annealing_T=75_h=25,0.0660922,0.000494741,322.497,2,161.248,0,3,4.37175e-07,1,0.0656386,0.000646244,130.349,2,65.1746,0,3,2.02863e-06,1
1,annealing_T=75_h=25,0.0341577,0.00362468,117.617,2,58.8086,0,3,3.54747e-07,1,0.0411918,0.00691247,138.507,2,69.2536,0,3,5.73528e-08,1
2,annealing_T=75_h=25,0.049706,0.00271906,54.479,2,27.2395,0,3,2.32601e-07,1,0.0591161,0.00394726,82.7391,2,41.3695,0,3,2.83272e-08,1
3,annealing_T=75_h=25,0.0480935,0.000198377,129.01,2,64.5052,0,3,2.64526e-08,1,0.0481264,0.000211375,172.285,2,86.1424,0,3,9.89501e-08,1
4,annealing_T=75_h=25,0.0670679,0.00143894,48.17,2,24.085,0,3,2.2457e-06,1,0.0790897,0.00192294,75.5384,2,37.7692,0,3,1.07302e-06,1
5,annealing_T=75_h=25,0.0388504,0.00501709,51.5445,2,25.7723,0,3,8.59632e-06,1,0.0126072,0.00967758,9.42004,2,4.71002,0,3,1.47656e-09,1
6,annealing_T=75_h=25,-0.395085,0.00178266,92821.5,2,46410.8,0,3,1.69817e-07,1,-0.414437,0.00226193,58060.3,2,29030.1,0,3,1.03773e-07,1
7,annealing_T=75_h=25,0.0610929,0.000693269,252.816,2,126.408,0,3,1.18737e-07,1,0.0629245,0.000939771,138.583,2,69.2914,0,3,6.09594e-06,1
8,annealing_T=75_h=25,0.101703,0.00473574,124.389,2,62.1943,0,3,4.43678e-08,1,0.0748353,0.00670085,135.907,2,67.9535,0,3,2.12755e-08,1
9,annealing_T=75_h=25,0.0224896,0.00248497,71.7959,2,35.8979,0,3,1.2639e-07,1,-0.00287028,0.00364423,7.93252,2,3.96626,0,3,8.58654e-10,1
10,annealing_T=75_h=25,0.106463,0.00259104,2.60439,2,1.3022,0,3,1.49611e-05,1,0.115198,0.00419713,28.4333,2,14.2166,0,3,1.37527e-05,1
11,annealing_T=75_h=25,0.0627532,0.00138702,27.1274,2,13.5637,0,3,3.6247e-07,1,0.0622688,0.00199485,18.9384,2,9.46919,0,3,3.63841e-08,1
