spot,x,y,phase,A,A_stat_error,lambda,lambda_stat_error,deltaLambda,chi2,ndf,chi2ndf,prob,fit_status,covmatrix_status,edm,converged
0,67.72,809.41,annealing_T=75_h=25,188.939,2.29473,0.0654328,0.000590036,0.000659441,203.247,2,101.624,7.33585e-45,0,3,2.94425e-08,1
1,81.76,96.43,annealing_T=75_h=25,30.3898,3.16246,0.0377584,0.00507559,0.00360072,131.04,2,65.5199,3.50803e-29,0,3,6.51005e-09,1
2,140.41,257.65,annealing_T=75_h=25,36.6448,2.6558,0.0544066,0.00346648,0.00470947,65.3124,2,32.6562,6.57051e-15,0,3,6.87008e-08,1
3,183.52,172.24,annealing_T=75_h=25,1299.17,5.37768,0.047889,0.000203652,0.000237441,167.141,2,83.5705,5.07934e-37,0,3,2.13465e-07,1
4,194.18,520.3,annealing_T=75_h=25,54.1347,1.85687,0.0707697,0.00164596,0.00832004,123.066,2,61.5331,1.8903e-27,0,3,1.42677e-07,1
5,232.16,757.19,annealing_T=75_h=25,27.5152,4.363,0.0252729,0.00769768,0.0135775,28.1307,2,14.0653,7.78928e-07,0,3,1.00279e-09,1
6,237.92,243.88,annealing_T=75_h=25,1.29173e+06,45152.3,-0.406339,0.00196818,0.0112541,68800.5,2,34400.3,0,0,3,3.49383e-06,1
7,254.32,351.54,annealing_T=75_h=25,134.021,2.30384,0.0614916,0.000826932,0.00143295,211.385,2,105.692,1.25426e-46,0,3,9.94196e-09,1
8,336.98,290.39,annealing_T=75_h=25,9.13076,1.15819,0.0837181,0.00608173,0.0179849,147.187,2,73.5935,1.09334e-32,0,3,9.70519e-08,1
9,356.77,847.39,annealing_T=75_h=25,90.472,5.37164,0.00200652,0.00296923,0.0204831,12.2686,2,6.13431,0.00216723,0,3,2.0025e-07,1
10,375.98,370.27,annealing_T=75_h=25,8.22076,0.568944,0.10651,0.00322952,0.00868808,14.5531,2,7.27654,0.000691574,0,3,3.21677e-08,1
11,415.65,948.95,annealing_T=75_h=25,56.3411,2.03696,0.0642297,0.0017407,0.00196089,10.3183,2,5.15917,0.00574646,0,3,9.41936e-08,1
12,417.19,550.12,annealing_T=75_h=25,1.20459,0.336665,0.158031,0.0129787,0.0214955,53.9854,2,26.9927,1.89332e-12,0,3,8.10997e-10,1
13,426.38,73.73,annealing_T=75_h=25,24.651,1.69029,0.0748622,0.00325229,0.0119829,142.876,2,71.4382,9.43558e-32,0,3,2.00653e-08,1
14,430.16,487.47,annealing_T=75_h=25,126.785,1.38411,0.0723206,0.000524368,0.000496227,44.6507,2,22.3253,2.01479e-10,0,3,4.46485e-07,1
15,502.79,999.04,annealing_T=75_h=25,22.2582,1.82279,0.0647848,0.00395545,0.00908862,11.9414,2,5.97072,0.00255239,0,3,1.87179e-07,1
16,596.32,529.42,annealing_T=75_h=25,1.19516,0.359391,0.145042,0.014003,0.0241497,44.514,2,22.257,2.15733e-10,0,3,4.50781e-06,1
17,610.21,336.65,annealing_T=75_h=25,15.8983,2.70295,0.0478634,0.00834139,0.0213741,42.9498,2,21.4749,4.71589e-10,0,3,8.43525e-06,1
18,650.17,441,annealing_T=75_h=25,14.1176,1.14609,0.085104,0.00385283,0.00323763,42.6739,2,21.3369,5.41354e-10,0,3,3.42839e-08,1
19,650.12,574.88,annealing_T=75_h=25,419.15,2.54854,0.059585,0.000296956,0.00152479,30.0275,2,15.0138,3.01719e-07,0,3,1.35552e-10,1
20,660.94,689.34,annealing_T=75_h=25,18.4697,1.71683,0.0612529,0.00452826,0.0124607,7.36829,2,3.68414,0.0251187,0,3,9.26497e-09,1
21,808.64,590.22,annealing_T=75_h=25,89.0834,2.05514,0.0666984,0.00111755,0.00133623,182.251,2,91.1253,2.65941e-40,0,3,2.01576e-08,1
22,816.78,316.32,annealing_T=75_h=25,21.3586,1.92121,0.0721331,0.00433135,0.00991109,44.3052,2,22.1526,2.39465e-10,0,3,5.35208e-07,1
23,868.23,1008.53,annealing_T=75_h=25,104.592,2.85875,0.0476323,0.00133121,0.00359638,17.0334,2,8.51669,0.0002001,0,3,1.9349e-07,1
24,1008.29,124.64,annealing_T=75_h=25,7.88792,1.14887,0.0954539,0.00694648,0.0211401,0.271761,2,0.135881,0.872947,0,3,1.17509e-06,1
25,1048.16,958.37,annealing_T=75_h=25,38.025,1.26562,0.0905899,0.00158908,0.000785704,2.28418,2,1.14209,0.319151,0,3,5.35834e-07,1
26,1051.43,805.08,annealing_T=75_h=25,29.8004,2.58502,0.0431556,0.00423566,0.00920128,3.4764,2,1.7382,0.175836,0,3,5.20989e-07,1
27,1069.01,236.33,annealing_T=75_h=25,0.766087,0.204221,0.165094,0.01235,0.0618241,38.0476,2,19.0238,5.47112e-09,0,3,4.92181e-07,1
