spot,x,y,luminosity,error,T,v,phase,detection,status,integration_radius,integration_area,run_number,match_distance,geometry_source_phase,geometry_source_run,geometry_mode,deltaL1,deltaL2,deltaL,lambda,lambda_stat_error,deltaLambda,A,A_stat_error,fit_chi2,fit_ndf,fit_chi2ndf,fit_status,covmatrix_status,edm,fit_converged
0,67.07,810.1,65.3315,1.54646,17.0,56.13,annealing_T=150_h=5,present,present,20.0,1256.6370614359173,20260909-034512,0.516236379965625,annealing_T=150_h=5,20260909-034512,phase_detection,1.6434,0.6739,1.6434,0.109487,0.00452296,0.0134085,9.50111,0.904203,22.0865,2,11.0433,0,3,2.38647e-09,1
0,67.07,810.1,72.8041,1.73768,19.0,56.24,annealing_T=150_h=5,present,present,20.0,1256.6370614359173,20260909-034512,0.516236379965625,annealing_T=150_h=5,20260909-034512,phase_detection,5.5523,2.6988,5.5523,0.109487,0.00452296,0.0134085,9.50111,0.904203,22.0865,2,11.0433,0,3,2.38647e-09,1
0,67.07,810.1,90.3368,1.61132,21.0,56.35,annealing_T=150_h=5,present,present,20.0,1256.6370614359173,20260909-034512,0.516236379965625,annealing_T=150_h=5,20260909-034512,phase_detection,1.5843,2.7939,2.7939,0.109487,0.00452296,0.0134085,9.50111,0.904203,22.0865,2,11.0433,0,3,2.38647e-09,1
0,67.07,810.1,121.227,1.72129,23.0,56.46,annealing_T=150_h=5,present,present,20.0,1256.6370614359173,20260909-034512,0.516236379965625,annealing_T=150_h=5,20260909-034512,phase_detection,1.658,0.934,1.658,0.109487,0.00452296,0.0134085,9.50111,0.904203,22.0865,2,11.0433,0,3,2.38647e-09,1
1,80.34,97.09,40.5506,1.30972,17.0,56.13,annealing_T=150_h=5,present,reappeared,20.0,1256.6370614359173,20260909-034512,0.6747592163134858,annealing_T=150_h=5,20260909-034512,phase_detection,6.2391,4.6761,6.2391,0.0961041,0.00557665,0.0200649,8.35138,0.970978,12.6482,2,6.32411,0,3,3.81666e-09,1
1,80.34,97.09,56.0569,1.42519,19.0,56.24,annealing_T=150_h=5,present,reappeared,20.0,1256.6370614359173,20260909-034512,0.6747592163134858,annealing_T=150_h=5,20260909-034512,phase_detection,1.4016,0.1182,1.4016,0.0961041,0.00557665,0.0200649,8.35138,0.970978,12.6482,2,6.32411,0,3,3.81666e-09,1
1,80.34,97.09,61.48,1.34306,21.0,56.35,annealing_T=150_h=5,present,reappeared,20.0,1256.6370614359173,20260909-034512,0.6747592163134858,annealing_T=150_h=5,20260909-034512,phase_detection,3.082,1.708,3.082,0.0961041,0.00557665,0.0200649,8.35138,0.970978,12.6482,2,6.32411,0,3,3.81666e-09,1
1,80.34,97.09,76.0338,1.51429,23.0,56.46,annealing_T=150_h=5,present,reappeared,20.0,1256.6370614359173,20260909-034512,0.6747592163134858,annealing_T=150_h=5,20260909-034512,phase_detection,1.8122,2.2773,2.2773,0.0961041,0.00557665,0.0200649,8.35138,0.970978,12.6482,2,6.32411,0,3,3.81666e-09,1
2,140.2,258.36,15.4572,1.99296,17.0,56.13,annealing_T=150_h=5,absent,absent,20.0,1256.6370614359173,20260909-034512,0.9829038610159088,annealing_T=100_h=5,20260612-001017,previous_detection,4.2819,2.5147,4.2819,-0.510139,0.100876,0.159422,99630.3,174783,64.3916,2,32.1958,0,3,2.06753e-06,1
2,140.2,258.36,11.795,1.77836,19.0,56.24,annealing_T=150_h=5,absent,absent,20.0,1256.6370614359173,20260909-034512,0.9829038610159088,annealing_T=100_h=5,20260612-001017,previous_detection,0.1177,7.39413,7.39413,-0.510139,0.100876,0.159422,99630.3,174783,64.3916,2,32.1958,0,3,2.06753e-06,1
2,140.2,258.36,-0.0147951,1.98475,21.0,56.35,annealing_T=150_h=5,absent,absent,20.0,1256.6370614359173,20260909-034512,0.9829038610159088,annealing_T=100_h=5,20260612-001017,previous_detection,8.2463849,2.2982251,8.2463849,-0.510139,0.100876,0.159422,99630.3,174783,64.3916,2,32.1958,0,3,2.06753e-06,1
