spot,phase,lambda_R16,lambdaerr_R16,chi2_R16,ndf_R16,chi2ndf_R16,fit_status_R16,covmatrix_status_R16,edm_R16,converged_R16,lambda_R24,lambdaerr_R24,chi2_R24,ndf_R24,chi2ndf_R24,fit_status_R24,covmatrix_status_R24,edm_R24,converged_R24
0,annealing_T=150_h=5,0.108519,0.0034839,15.129,2,7.56448,0,3,2.96071e-07,1,0.122896,0.00578617,28.0261,2,14.013,0,3,5.18908e-06,1
1,annealing_T=150_h=5,0.0873626,0.00437332,22.8272,2,11.4136,0,3,4.95585e-06,1,0.116169,0.00685188,37.0996,2,18.5498,0,3,8.48767e-06,1
2,annealing_T=150_h=5,-0.669561,0.203141,55.6792,2,27.8396,0,3,8.18393e-07,1,-0.607267,0.18445,58.917,2,29.4585,0,3,7.90226e-07,1
3,annealing_T=150_h=5,0.0393732,0.000193648,64.4614,2,32.2307,0,3,7.54461e-09,1,0.0401925,0.000215241,26.9261,2,13.4631,0,3,1.44124e-06,1
4,annealing_T=150_h=5,0.0784394,0.0037848,8.95068,2,4.47534,0,3,2.45126e-06,1,0.06589,0.00576463,14.2555,2,7.12775,0,3,6.30056e-06,1
5,annealing_T=150_h=5,-0.019035,0.0116273,11.9933,2,5.99664,0,3,4.96819e-07,1,-0.0134615,0.0279598,7.08789,2,3.54394,0,3,1.5118e-09,1
6,annealing_T=150_h=5,0.0400918,0.00106295,192.15,2,96.0752,0,3,6.50463e-07,1,0.0404557,0.00149632,115.074,2,57.537,0,3,4.82741e-06,1
7,annealing_T=150_h=5,0.0782123,0.0145661,171.341,2,85.6703,0,3,9.90998e-09,1,0.213607,0.0264243,97.251,2,48.6255,0,3,1.83588e-06,1
8,annealing_T=150_h=5,0.087739,0.00859944,50.1131,2,25.0565,0,3,1.14121e-08,1,0.0850022,0.0110783,46.3537,2,23.1769,0,3,1.66659e-06,1
9,annealing_T=150_h=5,-0.0409238,0.022951,7.05606,2,3.52803,0,3,1.45996e-07,1,3.73521e-05,0.0363847,65.8258,2,32.9129,0,3,3.59689e-07,1
10,annealing_T=150_h=5,0.305352,0.120092,46.1639,2,23.082,0,3,1.99784e-05,1,1.48907,0.0406434,36.1909,2,18.0955,4,1,0.106178,0
11,annealing_T=150_h=5,-0.110731,0.0215461,22.8273,2,11.4137,0,3,1.0058e-06,1,-0.171895,0.0347626,44.9505,2,22.4753,0,3,8.50971e-07,1
12,annealing_T=150_h=5,0.241128,0.0612776,6.89617,2,3.44809,0,3,2.49805e-07,1,0.232895,0.118921,15.1444,2,7.57222,0,3,2.18807e-06,1
13,annealing_T=150_h=5,-0.0173441,0.00617694,90.5199,2,45.26,0,3,5.28985e-06,1,-0.0233745,0.0086091,206.705,2,103.353,0,3,5.65073e-08,1
14,annealing_T=150_h=5,0.0983577,0.00337954,90.8303,2,45.4152,0,3,2.08813e-08,1,0.106831,0.00550033,156.718,2,78.359,0,3,1.70381e-08,1
