spot,x,y,phase,A,A_stat_error,lambda,lambda_stat_error,deltaLambda,chi2,ndf,chi2ndf,prob,fit_status,covmatrix_status,edm,converged
0,67.07,810.1,annealing_T=150_h=5,9.50111,0.904203,0.109487,0.00452296,0.0134085,22.0865,2,11.0433,1.59946e-05,0,3,2.38647e-09,1
1,80.34,97.09,annealing_T=150_h=5,8.35138,0.970978,0.0961041,0.00557665,0.0200649,12.6482,2,6.32411,0.00179256,0,3,3.81666e-09,1
2,140.2,258.36,annealing_T=150_h=5,99630.3,174783,-0.510139,0.100876,0.159422,64.3916,2,32.1958,1.0412e-14,0,3,2.06753e-06,1
3,182.4,172.52,annealing_T=150_h=5,1231.61,5.0892,0.0395764,0.000202994,0.000616084,57.5458,2,28.7729,3.19221e-13,0,3,8.41343e-08,1
4,193.35,520.73,annealing_T=150_h=5,14.9514,1.4821,0.0800801,0.00477818,0.0141901,37.3711,2,18.6856,7.673e-09,0,3,2.06896e-08,1
5,232.24,758.05,annealing_T=150_h=5,7.45299,3.33984,0.0395513,0.0217902,0.0585863,9.44516,2,4.72258,0.00889221,0,3,3.63895e-08,1
6,236.87,243.88,annealing_T=150_h=5,131.171,3.47207,0.0379536,0.00129318,0.00250214,131.053,2,65.5267,3.48427e-29,0,3,2.07591e-06,1
7,254.25,352.65,annealing_T=150_h=5,0.64441,0.297513,0.159015,0.0214614,0.0808028,57.1635,2,28.5817,3.86461e-13,0,3,1.53419e-07,1
8,335.14,288.97,annealing_T=150_h=5,7.82982,1.51533,0.0743244,0.00936183,0.0134146,58.1054,2,29.0527,2.4131e-13,0,3,1.50138e-08,1
9,357.87,846.42,annealing_T=150_h=5,51.3501,29.1873,-0.0709033,0.0295284,0.0709406,28.3667,2,14.1833,6.92243e-07,0,3,1.1915e-07,1
10,375.98,370.27,annealing_T=150_h=5,6.6047e-09,1.13955e-08,0.923189,0.0752443,0,24.8722,2,12.4361,3.97251e-06,1,2,1.27613e-06,0
11,416.33,949.61,annealing_T=150_h=5,303.816,146.589,-0.160086,0.0256471,0.0493555,57.3939,2,28.697,3.44402e-13,0,3,6.57968e-06,1
12,417.19,550.12,annealing_T=150_h=5,0.0655443,0.109648,0.225163,0.0761797,0.0159654,26.6874,2,13.3437,1.60289e-06,0,3,4.77885e-06,1
13,426.46,72.47,annealing_T=150_h=5,76.22,11.0153,-0.0197165,0.00730054,0.00365802,154.612,2,77.306,2.66941e-34,0,3,2.26868e-06,1
14,429.26,487.61,annealing_T=150_h=5,10.2577,0.97036,0.100077,0.00448214,0.00675418,132.573,2,66.2863,1.63021e-29,0,3,1.28085e-08,1
15,502.79,999.04,annealing_T=150_h=5,-0.000137109,0.000208029,0.52348,0.0666706,0,56.7358,2,28.3679,4.78616e-13,0,3,8.22161e-06,1
16,596.32,529.42,annealing_T=150_h=5,0.728252,0.677895,0.113663,0.0438141,0.325484,12.33,2,6.16498,0.00210177,0,3,8.63026e-06,1
17,610.63,337.22,annealing_T=150_h=5,0.125444,0.104839,0.213836,0.0382822,0.212554,11.0469,2,5.52345,0.00399205,0,3,3.95272e-08,1
