spot,x,y,luminosity,error,T,v,phase,detection,status,integration_radius,integration_area,run_number,match_distance,geometry_source_phase,geometry_source_run,geometry_mode,v_fin,deltaL1,deltaL2,deltaL,B,B_stat_error,deltaB,A,A_stat_error,fit_chi2,fit_ndf,fit_chi2ndf,fit_status,covmatrix_status,edm,fit_converged
3,138.56,255.95,10.9258,1.18213,20.0,52.3,annealing_T=75_h=25,present,present,20.0,1256.6370614359173,20260530-001924,1.8638937737972552,annealing_T=75_h=25,20260530-001924,phase_detection,1.0,4.112,1.2264,4.112,1.80761,0.0219759,0.104229,6.29083,0.243361,64.8103,4,16.2026,0,3,5.25067e-09,1
3,138.56,255.95,17.1738,1.15582,20.0,53.3,annealing_T=75_h=25,present,present,20.0,1256.6370614359173,20260530-001924,1.8638937737972552,annealing_T=75_h=25,20260530-001924,phase_detection,2.0,4.9026,0.5079,4.9026,1.80761,0.0219759,0.104229,6.29083,0.243361,64.8103,4,16.2026,0,3,5.25067e-09,1
3,138.56,255.95,47.9824,1.22079,20.0,54.3,annealing_T=75_h=25,present,present,20.0,1256.6370614359173,20260530-001924,1.8638937737972552,annealing_T=75_h=25,20260530-001924,phase_detection,3.0,1.1293,0.5933,1.1293,1.80761,0.0219759,0.104229,6.29083,0.243361,64.8103,4,16.2026,0,3,5.25067e-09,1
3,138.56,255.95,82.1807,1.46379,20.0,55.3,annealing_T=75_h=25,present,present,20.0,1256.6370614359173,20260530-001924,1.8638937737972552,annealing_T=75_h=25,20260530-001924,phase_detection,4.0,0.5963,1.5102,1.5102,1.80761,0.0219759,0.104229,6.29083,0.243361,64.8103,4,16.2026,0,3,5.25067e-09,1
3,138.56,255.95,109.166,1.56223,20.0,56.3,annealing_T=75_h=25,present,present,20.0,1256.6370614359173,20260530-001924,1.8638937737972552,annealing_T=75_h=25,20260530-001924,phase_detection,5.0,3.46,7.08,7.08,1.80761,0.0219759,0.104229,6.29083,0.243361,64.8103,4,16.2026,0,3,5.25067e-09,1
3,138.56,255.95,213.544,1.77878,20.0,58.3,annealing_T=75_h=25,present,present,20.0,1256.6370614359173,20260530-001924,1.8638937737972552,annealing_T=75_h=25,20260530-001924,phase_detection,7.0,8.267,1.214,8.267,1.80761,0.0219759,0.104229,6.29083,0.243361,64.8103,4,16.2026,0,3,5.25067e-09,1
4,181.84,170.46,109.623,0.962645,20.0,52.3,annealing_T=75_h=25,present,present,20.0,1256.6370614359173,20260530-001924,1.8449119220168768,annealing_T=75_h=25,20260530-001924,phase_detection,1.0,5.359,1.962,5.359,2.4442,0.00155191,0.0365345,67.9338,0.168824,9546.29,4,2386.57,0,3,7.2561e-09,1
4,181.84,170.46,434.391,1.17547,20.0,53.3,annealing_T=75_h=25,present,present,20.0,1256.6370614359173,20260530-001924,1.8449119220168768,annealing_T=75_h=25,20260530-001924,phase_detection,2.0,0.642,2.426,2.426,2.4442,0.00155191,0.0365345,67.9338,0.168824,9546.29,4,2386.57,0,3,7.2561e-09,1
4,181.84,170.46,1021.53,1.41666,20.0,54.3,annealing_T=75_h=25,present,present,20.0,1256.6370614359173,20260530-001924,1.8449119220168768,annealing_T=75_h=25,20260530-001924,phase_detection,3.0,3.79,10.26,10.26,2.4442,0.00155191,0.0365345,67.9338,0.168824,9546.29,4,2386.57,0,3,7.2561e-09,1
4,181.84,170.46,1942.9,1.74484,20.0,55.3,annealing_T=75_h=25,present,present,20.0,1256.6370614359173,20260530-001924,1.8449119220168768,annealing_T=75_h=25,20260530-001924,phase_detection,4.0,13.97,26.88,26.88,2.4442,0.00155191,0.0365345,67.9338,0.168824,9546.29,4,2386.57,0,3,7.2561e-09,1
4,181.84,170.46,3385.63,2.80176,20.0,56.3,annealing_T=75_h=25,present,present,20.0,1256.6370614359173,20260530-001924,1.8449119220168768,annealing_T=75_h=25,20260530-001924,phase_detection,5.0,37.91,50.94,50.94,2.4442,0.00155191,0.0365345,67.9338,0.168824,9546.29,4,2386.57,0,3,7.2561e-09,1
4,181.84,170.46,8183.12,6.63469,20.0,58.3,annealing_T=75_h=25,present,present,20.0,1256.6370614359173,20260530-001924,1.8449119220168768,annealing_T=75_h=25,20260530-001924,phase_detection,7.0,152.94,203.44,203.44,2.4442,0.00155191,0.0365345,67.9338,0.168824,9546.29,4,2386.57,0,3,7.2561e-09,1
5,192.74,518.47,8.51113,0.997843,20.0,52.3,annealing_T=75_h=25,present,present,20.0,1256.6370614359173,20260530-001924,1.8916923639957808,annealing_T=75_h=25,20260530-001924,phase_detection,1.0,1.01955,2.97608,2.97608,2.58417,0.0116029,0.0429981,3.67185,0.0773355,226.282,4,56.5705,0,3,4.0253e-08,1
5,192.74,518.47,29.4062,0.97166,20.0,53.3,annealing_T=75_h=25,present,present,20.0,1256.6370614359173,20260530-001924,1.8916923639957808,annealing_T=75_h=25,20260530-001924,phase_detection,2.0,3.8486,0.042,3.8486,2.58417,0.0116029,0.0429981,3.67185,0.0773355,226.282,4,56.5705,0,3,4.0253e-08,1
5,192.74,518.47,63.1938,1.14481,20.0,54.3,annealing_T=75_h=25,present,present,20.0,1256.6370614359173,20260530-001924,1.8916923639957808,annealing_T=75_h=25,20260530-001924,phase_detection,3.0,3.9901,5.0934,5.0934,2.58417,0.0116029,0.0429981,3.67185,0.0773355,226.282,4,56.5705,0,3,4.0253e-08,1
5,192.74,518.47,139.11,1.18323,20.0,55.3,annealing_T=75_h=25,present,present,20.0,1256.6370614359173,20260530-001924,1.8916923639957808,annealing_T=75_h=25,20260530-001924,phase_detection,4.0,5.087,2.102,5.087,2.58417,0.0116029,0.0429981,3.67185,0.0773355,226.282,4,56.5705,0,3,4.0253e-08,1
5,192.74,518.47,222.814,1.22882,20.0,56.3,annealing_T=75_h=25,present,present,20.0,1256.6370614359173,20260530-001924,1.8916923639957808,annealing_T=75_h=25,20260530-001924,phase_detection,5.0,0.634,3.784,3.784,2.58417,0.0116029,0.0429981,3.67185,0.0773355,226.282,4,56.5705,0,3,4.0253e-08,1
5,192.74,518.47,566.287,1.74087,20.0,58.3,annealing_T=75_h=25,present,present,20.0,1256.6370614359173,20260530-001924,1.8916923639957808,annealing_T=75_h=25,20260530-001924,phase_detection,7.0,9.304,2.111,9.304,2.58417,0.0116029,0.0429981,3.67185,0.0773355,226.282,4,56.5705,0,3,4.0253e-08,1
6,231.34,755.44,9.5049,1.16034,20.0,52.3,annealing_T=75_h=25,present,reappeared,20.0,1256.6370614359173,20260530-001924,2.188378395067852,annealing_T=75_h=25,20260530-001924,phase_detection,1.0,1.8344,3.66054,3.66054,2.55681,0.0750456,0.54475,0.767865,0.105208,82.3479,4,20.587,0,3,7.25213e-08,1
6,231.34,755.44,9.16898,1.24372,20.0,53.3,annealing_T=75_h=25,present,reappeared,20.0,1256.6370614359173,20260530-001924,2.188378395067852,annealing_T=75_h=25,20260530-001924,phase_detection,2.0,0.43503,4.75076,4.75076,2.55681,0.0750456,0.54475,0.767865,0.105208,82.3479,4,20.587,0,3,7.25213e-08,1
6,231.34,755.44,11.6167,1.33823,20.0,54.3,annealing_T=75_h=25,present,reappeared,20.0,1256.6370614359173,20260530-001924,2.188378395067852,annealing_T=75_h=25,20260530-001924,phase_detection,3.0,6.3902,1.2545,6.3902,2.55681,0.0750456,0.54475,0.767865,0.105208,82.3479,4,20.587,0,3,7.25213e-08,1
