spot,phase,B_R16,Berr_R16,chi2_R16,ndf_R16,chi2ndf_R16,fit_status_R16,covmatrix_status_R16,edm_R16,converged_R16,B_R24,Berr_R24,chi2_R24,ndf_R24,chi2ndf_R24,fit_status_R24,covmatrix_status_R24,edm_R24,converged_R24
0,annealing_T=75_h=25,1.71147,0.00566999,1049.67,4,262.416,0,3,4.04842e-11,1,1.77507,0.00807216,1210.67,4,302.667,0,3,5.73314e-09,1
1,annealing_T=75_h=25,2.68658,0.0370445,71.149,4,17.7872,0,3,5.35981e-06,1,3.20138,0.0692678,316.311,4,79.0779,0,3,1.86458e-06,1
2,annealing_T=75_h=25,2.57919,0.0264288,79.3688,4,19.8422,0,3,4.25305e-08,1,2.84171,0.0473722,133.813,4,33.4533,0,3,2.2263e-08,1
3,annealing_T=75_h=25,1.79713,0.018303,73.761,4,18.4402,0,3,2.08128e-06,1,1.91184,0.0270664,54.9054,4,13.7264,0,3,1.17264e-05,1
4,annealing_T=75_h=25,2.40767,0.00144075,11327.4,4,2831.85,0,3,4.71031e-07,1,2.47662,0.0016379,8223.25,4,2055.81,0,3,7.56532e-09,1
5,annealing_T=75_h=25,2.54117,0.00889783,296.72,4,74.18,0,3,9.58839e-06,1,2.61403,0.0139144,92.1551,4,23.0388,0,3,2.04827e-06,1
6,annealing_T=75_h=25,2.82246,0.059666,39.9906,4,9.99766,0,3,1.34492e-08,1,3.10156,0.126201,109.308,4,27.3271,0,3,1.06071e-05,1
7,annealing_T=75_h=25,1.7541,0.0114576,4569.27,4,1142.32,0,3,6.6668e-07,1,2.03559,0.0192023,4648.85,4,1162.21,0,3,2.13231e-06,1
8,annealing_T=75_h=25,2.42572,0.00491396,933.35,4,233.337,0,3,1.05904e-08,1,2.54041,0.00732658,152.46,4,38.115,0,3,6.9024e-06,1
9,annealing_T=75_h=25,1.74822,0.0276,21.7143,4,5.42856,0,3,1.85389e-06,1,2.01326,0.0402186,170.49,4,42.6225,0,3,5.2889e-11,1
10,annealing_T=75_h=25,2.05386,0.0256913,70.3046,4,17.5761,0,3,3.95273e-06,1,2.28998,0.0371635,113.487,4,28.3718,0,3,6.70762e-06,1
11,annealing_T=75_h=25,2.4844,0.0239896,133.518,4,33.3795,0,3,2.43575e-06,1,2.66281,0.0376431,22.2581,4,5.56453,0,3,2.332e-07,1
12,annealing_T=75_h=25,1.64127,0.00863655,352.401,4,88.1004,0,3,1.44137e-09,1,1.66076,0.0123316,313.233,4,78.3083,0,3,4.88361e-09,1
13,annealing_T=75_h=25,1.28743,0.0642778,95.597,4,23.8993,0,3,1.46511e-08,1,1.25214,0.091461,32.3015,4,8.07536,0,3,4.8697e-08,1
14,annealing_T=75_h=25,2.35086,0.0219256,72.5746,4,18.1436,0,3,1.44162e-08,1,2.54301,0.032283,145.716,4,36.4291,0,3,1.6209e-07,1
15,annealing_T=75_h=25,1.87641,0.00364454,347.638,4,86.9094,0,3,6.66504e-06,1,1.93236,0.00496434,392.855,4,98.2137,0,3,2.75203e-09,1
16,annealing_T=75_h=25,1.46742,0.024002,136.063,4,34.0158,0,3,1.30362e-05,1,1.3047,0.0320181,231.54,4,57.8851,0,3,6.4377e-06,1
17,annealing_T=75_h=25,3.04304,0.113116,156.284,4,39.071,0,3,2.76543e-08,1,3.76154,0.176748,62.4604,4,15.6151,0,3,1.88368e-08,1
