spot,x,y,luminosity,error,T,v,phase,detection,status,integration_radius,integration_area,run_number,match_distance,geometry_source_phase,geometry_source_run,geometry_mode,v_fin,deltaL1,deltaL2,deltaL,B,B_stat_error,deltaB,A,A_stat_error,fit_chi2,fit_ndf,fit_chi2ndf,fit_status,covmatrix_status,edm,fit_converged
2,94.67,355.08,420.275,2.35763,20.0,58.3,before_annealing,present,reference,20.0,1256.6370614359173,20260513-032137,0.0,before_annealing,20260513-032137,phase_detection,7.0,10.064,14.375,14.375,2.18897,0.0151334,0.0521267,6.08517,0.162222,194.084,4,48.5211,0,3,4.23429e-06,1
3,139.61,257.49,-3.11406,0.991692,20.0,52.3,before_annealing,present,reference,20.0,1256.6370614359173,20260513-032137,0.0,before_annealing,20260513-032137,phase_detection,1.0,0.17893,5.54761,5.54761,1.82895,0.0372091,0.0697842,3.41599,0.223888,81.285,4,20.3213,0,3,4.17648e-06,1
3,139.61,257.49,16.7578,1.03518,20.0,53.3,before_annealing,present,reference,20.0,1256.6370614359173,20260513-032137,0.0,before_annealing,20260513-032137,phase_detection,2.0,0.9986,4.2405,4.2405,1.82895,0.0372091,0.0697842,3.41599,0.223888,81.285,4,20.3213,0,3,4.17648e-06,1
3,139.61,257.49,26.645,1.32672,20.0,54.3,before_annealing,present,reference,20.0,1256.6370614359173,20260513-032137,0.0,before_annealing,20260513-032137,phase_detection,3.0,2.2495,1.2288,2.2495,1.82895,0.0372091,0.0697842,3.41599,0.223888,81.285,4,20.3213,0,3,4.17648e-06,1
3,139.61,257.49,44.6419,1.28567,20.0,55.3,before_annealing,present,reference,20.0,1256.6370614359173,20260513-032137,0.0,before_annealing,20260513-032137,phase_detection,4.0,4.5276,0.4775,4.5276,1.82895,0.0372091,0.0697842,3.41599,0.223888,81.285,4,20.3213,0,3,4.17648e-06,1
3,139.61,257.49,59.4411,1.42667,20.0,56.3,before_annealing,present,reference,20.0,1256.6370614359173,20260513-032137,0.0,before_annealing,20260513-032137,phase_detection,5.0,2.1343,0.8657,2.1343,1.82895,0.0372091,0.0697842,3.41599,0.223888,81.285,4,20.3213,0,3,4.17648e-06,1
3,139.61,257.49,122.018,1.68126,20.0,58.3,before_annealing,present,reference,20.0,1256.6370614359173,20260513-032137,0.0,before_annealing,20260513-032137,phase_detection,7.0,1.472,6.493,6.493,1.82895,0.0372091,0.0697842,3.41599,0.223888,81.285,4,20.3213,0,3,4.17648e-06,1
4,182.58,172.15,155.593,0.917548,20.0,52.3,before_annealing,present,reference,20.0,1256.6370614359173,20260513-032137,0.0,before_annealing,20260513-032137,phase_detection,1.0,2.937,2.129,2.937,2.37401,0.00107733,0.0340392,110.826,0.185024,16628.9,4,4157.22,0,3,8.33246e-08,1
4,182.58,172.15,629.719,0.920477,20.0,53.3,before_annealing,present,reference,20.0,1256.6370614359173,20260513-032137,0.0,before_annealing,20260513-032137,phase_detection,2.0,3.312,3.724,3.724,2.37401,0.00107733,0.0340392,110.826,0.185024,16628.9,4,4157.22,0,3,8.33246e-08,1
4,182.58,172.15,1520.37,1.42494,20.0,54.3,before_annealing,present,reference,20.0,1256.6370614359173,20260513-032137,0.0,before_annealing,20260513-032137,phase_detection,3.0,4.7,17.88,17.88,2.37401,0.00107733,0.0340392,110.826,0.185024,16628.9,4,4157.22,0,3,8.33246e-08,1
