x,y,luminosity,error,T,v
1264.07,1073.45,5.69558,1.1214,20,53.30
57.85,1068.45,69.2612,2.63999,20,53.30
1019.9,1070.91,19.3909,2.03154,20,53.30
1781.09,1058.45,27.5561,1.99511,20,53.30
65.6,1053.09,7.06266,1.2726,20,53.30
1899.89,1043.76,2.04252,2.51735,20,53.30
611.45,1035.38,0.0136076,1.10331,20,53.30
870.77,1007.93,25.3361,2.75368,20,53.30
1445.42,1002.5,331.273,5.58924,20,53.30
505.46,1000.84,12.4533,1.61044,20,53.30
1619.8,985.17,190.022,4.14725,20,53.30
1823.67,989.54,17.9156,2.27507,20,53.30
1050.32,956.79,57.529,3.09923,20,53.30
417.78,951.19,40.2943,2.21479,20,53.30
176.2,947.85,55.307,2.95851,20,53.30
1178.67,928.66,8.94407,1.38548,20,53.30
1582.32,923.65,103.849,3.3373,20,53.30
153.04,916.16,101.17,2.73269,20,53.30
637.61,918.13,9.64121,1.33541,20,53.30
1619.85,909.39,253.407,4.0148,20,53.30
1377.8,911.01,27.8302,2.66959,20,53.30
1089.72,909.52,34.951,2.0877,20,53.30
670.71,906.38,12.0043,1.38921,20,53.30
516.16,884.76,224.942,5.22282,20,53.30
832.9,885.53,185.135,3.6968,20,53.30
1846.87,885.1,36.7246,3.17566,20,53.30
851.67,886,2.21592,1.35581,20,53.30
1645.78,877.6,204.278,3.44163,20,53.30
1289.32,872.68,10.6073,1.26212,20,53.30
1683.63,870.32,32.7363,2.16807,20,53.30
1504.29,861.4,38.5116,1.95097,20,53.30
358.14,849.88,30.2624,2.6597,20,53.30
1769.05,825.97,15.8446,1.55323,20,53.30
831.32,825.98,4.95839,1.76281,20,53.30
68.9,813.55,136.078,3.01813,20,53.30
941.34,808.37,167.028,3.43424,20,53.30
1373.68,809.3,35.8685,2.11504,20,53.30
990.16,804.31,106.665,3.39934,20,53.30
1586.04,807.44,2.82425,0.990052,20,53.30
1052.81,803.87,9.23582,1.72666,20,53.30
1723.27,803.27,18.9231,1.63403,20,53.30
1269.4,787.25,307.167,3.60124,20,53.30
1223.31,784.33,16.9958,2.21303,20,53.30
456.91,770.07,14.3773,1.54566,20,53.30
1533.41,762.13,16.6955,1.84172,20,53.30
411.95,761.56,3.54256,1.08536,20,53.30
232.97,761.01,1.94014,1.01244,20,53.30
2.02,737.91,6.3144,1.32231,20,53.30
908.95,732.16,76.1773,3.0117,20,53.30
1733.69,719.37,791.504,5.09411,20,53.30
1546.23,707.2,12.6847,2.59717,20,53.30
661.51,689.89,12.5477,1.95546,20,53.30
1089.65,687.12,14.7363,1.71581,20,53.30
785.99,676.37,13.6852,1.50318,20,53.30
830.7,668.52,69.895,2.77901,20,53.30
1228.54,665.73,22.1092,2.31244,20,53.30
1585.37,649.05,2.92176,1.56895,20,53.30
1370.42,628.2,6.71407,1.43262,20,53.30
1337.83,624.44,0.843594,2.37455,20,53.30
1254.8,594.44,4.39185,1.84971,20,53.30
808.25,588.03,79.9539,2.87486,20,53.30
1180.68,592.52,6.16274,1.23604,20,53.30
649.92,575.53,143.332,3.83699,20,53.30
1851.73,554.11,74.3617,3.0496,20,53.30
1782.9,552.18,44.4594,1.93138,20,53.30
417.93,552.38,4.30669,0.9586,20,53.30
57.07,534.82,132.812,3.13388,20,53.30
596.39,529.79,1.46315,1.10818,20,53.30
1088.48,522.4,235.31,4.07885,20,53.30
193.6,523.67,39.3608,2.79535,20,53.30
1496.87,505.65,40.0207,3.37197,20,53.30
429.4,489.45,203.016,3.60848,20,53.30
1045.38,493.74,12.8041,1.5157,20,53.30
1244.35,482.94,53.3458,2.36695,20,53.30
1772.19,474.97,84.7075,2.9483,20,53.30
649.04,441.8,33.7272,1.89798,20,53.30
1148.49,428.11,17.6626,1.57696,20,53.30
911.68,407.01,80.338,3.58909,20,53.30
1266.31,411.79,5.85583,1.24771,20,53.30
1535.75,403.12,4.00013,1.54449,20,53.30
1386.71,370.47,3.52998,2.17337,20,53.30
699.83,367.63,1.72973,1.25667,20,53.30
93.75,359.08,11.6383,2.3931,20,53.30
252.74,354.53,25.5921,2.30089,20,53.30
1820.09,353.31,43.1705,2.8609,20,53.30
1424.31,350.3,4.71178,1.02618,20,53.30
609.21,338,4.82595,1.79976,20,53.30
1291.95,318.97,6.32108,4.99752,20,53.30
815.4,315.87,8.77314,1.80293,20,53.30
334.91,291.31,11.3754,1.5172,20,53.30
1891.43,287.28,107.869,3.91274,20,53.30
1651.74,275.23,12.4429,1.63951,20,53.30
138.25,261.48,9.4999,1.51857,20,53.30
1888.44,252.06,93.6889,3.17656,20,53.30
235.75,247.53,150.885,3.74143,20,53.30
790.68,250.58,23.951,2.14029,20,53.30
1168.1,238.79,735.823,4.34125,20,53.30
1741.99,243.51,6.45204,2.3866,20,53.30
1066.74,233.99,2.7488,0.709512,20,53.30
1253.34,231.35,5.09554,0.890748,20,53.30
1767.82,205.66,212.615,4.28239,20,53.30
1556.53,205.98,83.9875,3.25926,20,53.30
1402.61,204.47,26.2179,3.65185,20,53.30
1596.6,200.78,16.1771,2.193,20,53.30
1502.79,197.86,22.6518,1.43136,20,53.30
804.98,193.6,32.783,2.40865,20,53.30
180.85,175.76,621.535,5.04101,20,53.30
1573.54,166.39,25.3212,1.70483,20,53.30
1239.58,153.18,3.13501,1.27116,20,53.30
507.89,141.48,14.9123,2.20075,20,53.30
1534.61,135.25,28.0813,1.58714,20,53.30
1005.03,122.89,8.07463,1.21003,20,53.30
1385.22,115.29,-0.268522,1.49858,20,53.30
488.25,100.59,183.745,3.85509,20,53.30
78.5,100.41,11.3364,1.65481,20,53.30
1858.67,92.81,6.98294,1.90585,20,53.30
1068.27,86.93,13.3527,1.96466,20,53.30
230.57,88.61,6.49822,1.34802,20,53.30
1045.18,73.12,129.037,3.62132,20,53.30
423.28,75.54,7.25939,2.12116,20,53.30
1318.19,72.35,3.65283,1.73021,20,53.30
197.44,60.24,33.4799,1.78436,20,53.30
630.25,56.69,58.3136,2.58616,20,53.30
751.41,38.05,441.947,5.82155,20,53.30
347.65,43.85,3.46168,1.24445,20,53.30
1595.63,42.08,3.69333,1.4543,20,53.30
1046.63,33.89,150.663,3.30942,20,53.30
275.93,23.67,6.098,1.70956,20,53.30
1462.91,17.09,4.33995,1.27532,20,53.30
1002.95,8,78.9186,2.99754,20,53.30
502.26,12.61,4.85808,1.34539,20,53.30
1483.94,1042.24,102.661,3.13321,20,53.30
1500.81,1039.8,31.0534,2.48583,20,53.30
862.78,668.71,51.4379,2.90241,20,53.30
871.1,653.37,174.288,4.54699,20,53.30
57.98,577.43,371.284,4.25904,20,53.30
62.96,555.52,124.378,3.51848,20,53.30
859.22,474.74,29.0402,2.21206,20,53.30
872.31,474.69,19.4966,2.09967,20,53.30
