spot,l_area_const,l_area_const_err,T,v
0,313.417,17.7298,16.0,58.1
0,352.062,18.7846,18.0,58.2
0,396.738,19.9336,20.0,58.3
0,441.066,21.0039,22.0,58.4
1,121.705,11.1201,16.0,58.1
1,142.709,12.0127,18.0,58.2
1,164.697,12.8803,20.0,58.3
1,177.405,13.3357,22.0,58.4
