x,y,luminosity,error,T,v
574.74,851.93,127.294,2.93325,20.0,55.3
501.74,811.38,70.2523,3.07404,20.0,55.3
1140.95,646.74,5.30469,2.43267,20.0,55.3
369.85,505.8,33.9022,2.91517,20.0,55.3
1404.79,475.08,13.4607,2.86882,20.0,55.3
297.71,457.56,6.20728,2.8276,20.0,55.3
1329.5,312.47,6.76135,2.72754,20.0,55.3
1498.07,262,2.76004,2.63246,20.0,55.3
1077.83,181.82,21.3498,3.62708,20.0,55.3
1811.1,172.47,14.1418,2.96543,20.0,55.3
681.78,68.91,17.6556,2.92171,20.0,55.3
844.65,69.6,3.32115,3.0428,20.0,55.3
