x,y,luminosity,error,T,v
870.77,1007.93,419.079,10.6379,20,56.30
505.46,1000.84,49.9655,1.99264,20,56.30
1619.8,985.17,1282.92,5.45765,20,56.30
1823.67,989.54,69.6085,2.66676,20,56.30
1050.32,956.79,230.001,3.81238,20,56.30
417.78,951.19,179.781,2.87177,20,56.30
1178.67,928.66,58.7469,1.91612,20,56.30
1377.8,911.01,161.406,3.36084,20,56.30
1089.72,909.52,111.533,2.50847,20,56.30
516.16,884.76,1329.23,7.87121,20,56.30
1846.87,885.1,328.524,5.36917,20,56.30
1289.32,872.68,31.6365,1.6568,20,56.30
1504.29,861.4,135.226,2.61255,20,56.30
358.14,849.88,195.534,3.5499,20,56.30
68.9,813.55,601.024,4.32345,20,56.30
1373.68,809.3,167.452,2.73301,20,56.30
1586.04,807.44,13.5989,1.27103,20,56.30
1052.81,803.87,55.9583,2.0681,20,56.30
232.97,761.01,17.6504,1.25326,20,56.30
908.95,732.16,556.439,4.32937,20,56.30
1733.69,719.37,4355.4,17.8218,20,56.30
661.51,689.89,76.7761,2.67658,20,56.30
1089.65,687.12,78.9312,2.07986,20,56.30
1228.54,665.73,145.951,2.81129,20,56.30
1585.37,649.05,20.462,2.18033,20,56.30
1254.8,594.44,30.7754,1.90928,20,56.30
808.25,588.03,365.841,4.13609,20,56.30
1180.68,592.52,27.0153,1.50326,20,56.30
649.92,575.53,1346.86,5.38387,20,56.30
1851.73,554.11,336.594,3.9047,20,56.30
1782.9,552.18,173.299,2.8463,20,56.30
417.93,552.38,14.7609,1.10659,20,56.30
596.39,529.79,20.5045,1.52543,20,56.30
193.6,523.67,266.544,3.64727,20,56.30
1496.87,505.65,651.767,4.59713,20,56.30
429.4,489.45,1181.43,5.22693,20,56.30
1244.35,482.94,209.375,2.91853,20,56.30
1772.19,474.97,319.262,3.82487,20,56.30
649.04,441.8,115.29,2.54999,20,56.30
1148.49,428.11,50.257,1.8178,20,56.30
911.68,407.01,1581.1,5.25643,20,56.30
1266.31,411.79,17.0334,1.69849,20,56.30
1535.75,403.12,27.8763,1.96818,20,56.30
699.83,367.63,12.8129,1.67642,20,56.30
93.75,359.08,153.074,2.92529,20,56.30
252.74,354.53,178.568,3.00043,20,56.30
1820.09,353.31,310.762,3.44928,20,56.30
609.21,338,13.8825,1.91202,20,56.30
1291.95,318.97,46.3405,5.35054,20,56.30
815.4,315.87,51.883,2.44173,20,56.30
334.91,291.31,30.1883,1.93024,20,56.30
1651.74,275.23,37.4569,2.09799,20,56.30
138.25,261.48,35.635,1.91217,20,56.30
235.75,247.53,727.969,5.43416,20,56.30
1168.1,238.79,3151.46,6.4821,20,56.30
1066.74,233.99,13.0087,0.952323,20,56.30
1253.34,231.35,20.2423,1.22519,20,56.30
1402.61,204.47,168.494,4.26451,20,56.30
180.85,175.76,4758.59,7.76933,20,56.30
1239.58,153.18,30.615,1.84262,20,56.30
1005.03,122.89,24.0843,1.52146,20,56.30
1385.22,115.29,21.3902,2.10867,20,56.30
78.5,100.41,68.499,2.28962,20,56.30
1858.67,92.81,29.9457,2.17709,20,56.30
423.28,75.54,93.4432,2.67866,20,56.30
1318.19,72.35,20.6624,1.92682,20,56.30
