x,y,luminosity,error,T,v
870.77,1007.93,53.1778,2.98611,20,54.30
505.46,1000.84,26.002,1.64325,20,54.30
1619.8,985.17,436.532,4.48373,20,54.30
1823.67,989.54,32.6301,2.3418,20,54.30
1050.32,956.79,106.182,3.31164,20,54.30
417.78,951.19,80.1832,2.50289,20,54.30
1178.67,928.66,17.5838,1.66233,20,54.30
1377.8,911.01,61.2416,2.75065,20,54.30
1089.72,909.52,61.4218,2.08674,20,54.30
516.16,884.76,489.625,5.19982,20,54.30
1846.87,885.1,114.55,3.60302,20,54.30
1289.32,872.68,17.4483,1.51653,20,54.30
1504.29,861.4,62.9021,2.07591,20,54.30
358.14,849.88,68.7722,2.9055,20,54.30
68.9,813.55,253.099,3.46611,20,54.30
1373.68,809.3,77.8446,2.4643,20,54.30
1586.04,807.44,7.11611,1.06387,20,54.30
1052.81,803.87,20.0692,1.77938,20,54.30
232.97,761.01,5.62014,1.14681,20,54.30
908.95,732.16,193.857,3.26815,20,54.30
1733.69,719.37,1893.69,5.6851,20,54.30
661.51,689.89,26.4934,2.21183,20,54.30
1089.65,687.12,26.8835,1.77457,20,54.30
1228.54,665.73,58.2776,2.51773,20,54.30
1585.37,649.05,9.69016,1.96865,20,54.30
1254.8,594.44,11.0834,1.95776,20,54.30
808.25,588.03,161.276,3.1506,20,54.30
1180.68,592.52,8.71393,1.46467,20,54.30
649.92,575.53,414.098,4.20062,20,54.30
1851.73,554.11,135.197,3.25993,20,54.30
1782.9,552.18,84.3617,2.27649,20,54.30
417.93,552.38,7.18029,0.98469,20,54.30
596.39,529.79,3.86067,1.10255,20,54.30
193.6,523.67,88.1745,3.01892,20,54.30
1496.87,505.65,136.908,3.7852,20,54.30
429.4,489.45,440.678,4.38356,20,54.30
1244.35,482.94,101.813,2.59753,20,54.30
1772.19,474.97,154.125,3.31249,20,54.30
649.04,441.8,59.3433,2.04735,20,54.30
1148.49,428.11,29.0064,1.67185,20,54.30
911.68,407.01,308.994,3.98785,20,54.30
1266.31,411.79,10.5987,1.29014,20,54.30
1535.75,403.12,11.9031,1.80733,20,54.30
699.83,367.63,5.5613,1.37701,20,54.30
93.75,359.08,50.6043,2.52356,20,54.30
252.74,354.53,64.7902,2.47353,20,54.30
1820.09,353.31,99.6173,3.27058,20,54.30
609.21,338,6.12538,1.88218,20,54.30
1291.95,318.97,16.6961,5.61916,20,54.30
815.4,315.87,19.3932,2.10704,20,54.30
334.91,291.31,15.9895,1.80633,20,54.30
1651.74,275.23,18.2018,2.0318,20,54.30
138.25,261.48,17.9379,1.62899,20,54.30
235.75,247.53,291.834,4.29422,20,54.30
1168.1,238.79,1409.03,4.93459,20,54.30
1066.74,233.99,4.23905,0.874335,20,54.30
1253.34,231.35,8.22419,1.05395,20,54.30
1402.61,204.47,56.0881,3.42795,20,54.30
180.85,175.76,1494.9,5.67386,20,54.30
1239.58,153.18,12.5454,1.5146,20,54.30
1005.03,122.89,12.4848,1.2447,20,54.30
1385.22,115.29,2.54208,1.69021,20,54.30
78.5,100.41,26.1652,1.92066,20,54.30
1858.67,92.81,9.66758,2.10407,20,54.30
423.28,75.54,27.5649,2.37457,20,54.30
1318.19,72.35,7.68986,1.74157,20,54.30
