spot,phase,lambda_R16,lambdaerr_R16,chi2_R16,ndf_R16,chi2ndf_R16,fit_status_R16,covmatrix_status_R16,edm_R16,converged_R16,lambda_R24,lambdaerr_R24,chi2_R24,ndf_R24,chi2ndf_R24,fit_status_R24,covmatrix_status_R24,edm_R24,converged_R24
0,annealing_T=75_h=5,0.0756233,0.000789392,3213.04,2,1606.52,0,3,5.06553e-07,1,0.0778957,0.00095926,3498.08,2,1749.04,0,3,8.59534e-08,1
1,annealing_T=75_h=5,0.0506149,0.00363719,10.6996,2,5.34981,0,3,5.17564e-07,1,0.0626306,0.00605945,0.293575,2,0.146788,0,3,1.08913e-08,1
2,annealing_T=75_h=5,0.0529834,0.00364754,131.661,2,65.8303,0,3,5.54669e-06,1,0.0522776,0.0061775,277.157,2,138.578,0,3,1.46882e-08,1
3,annealing_T=75_h=5,0.0464375,0.00014852,62.3081,2,31.1541,0,3,1.06046e-08,1,0.0465535,0.000159105,41.0479,2,20.524,0,3,3.64826e-09,1
4,annealing_T=75_h=5,0.0617459,0.00102584,85.8601,2,42.93,0,3,2.97344e-06,1,0.0694926,0.00144743,35.773,2,17.8865,0,3,2.56784e-07,1
5,annealing_T=75_h=5,0.166518,0.0233814,22.6813,2,11.3407,0,3,6.07848e-09,1,0.0108451,0.0415758,9.42889,2,4.71445,0,3,1.45871e-07,1
6,annealing_T=75_h=5,0.0525693,0.000475753,295.009,2,147.504,0,3,1.36031e-08,1,0.0546757,0.000549739,170.683,2,85.3417,0,3,1.44583e-07,1
7,annealing_T=75_h=5,0.0533387,0.000574596,222.965,2,111.482,0,3,5.16868e-08,1,0.0558869,0.000848877,39.0206,2,19.5103,0,3,2.77781e-07,1
8,annealing_T=75_h=5,0.106632,0.0051768,124.263,2,62.1315,0,3,7.92752e-07,1,0.0953733,0.00703993,46.9531,2,23.4765,0,3,7.83168e-07,1
9,annealing_T=75_h=5,0.0741265,0.00122312,279.941,2,139.971,0,3,4.39716e-06,1,0.072079,0.00162311,136.858,2,68.4289,0,3,4.66214e-07,1
10,annealing_T=75_h=5,0.0697048,0.00286661,99.9941,2,49.997,0,3,4.10002e-08,1,0.0608577,0.00546232,217.292,2,108.646,0,3,5.59e-07,1
11,annealing_T=75_h=5,0.0689142,0.00134695,79.778,2,39.889,0,3,2.36169e-07,1,0.0658337,0.00169524,21.6224,2,10.8112,0,3,2.96381e-06,1
12,annealing_T=75_h=5,0.126983,0.00899709,52.7939,2,26.397,0,3,5.08467e-07,1,0.260192,0.0214132,58.7271,2,29.3636,0,3,7.30263e-07,1
13,annealing_T=75_h=5,0.060459,0.00187414,91.5677,2,45.7839,0,3,2.53528e-10,1,0.0621914,0.00243595,44.6241,2,22.312,0,3,4.1679e-07,1
14,annealing_T=75_h=5,0.0753512,0.000330793,140.322,2,70.1611,0,3,1.12505e-09,1,0.0767126,0.000414155,94.4748,2,47.2374,0,3,1.11886e-06,1
15,annealing_T=75_h=5,0.0852604,0.00334228,25.1071,2,12.5536,0,3,3.85158e-08,1,0.0586364,0.00515864,66.7219,2,33.361,0,3,1.90914e-06,1
16,annealing_T=75_h=5,0.0808697,0.00581859,10.8739,2,5.43693,0,3,5.83767e-09,1,0.175258,0.0111806,29.4975,2,14.7487,0,3,6.62155e-07,1
