spot,x,y,phase,A,A_stat_error,lambda,lambda_stat_error,deltaLambda,chi2,ndf,chi2ndf,prob,fit_status,covmatrix_status,edm,converged
0,67.95,811.65,annealing_T=75_h=5,164.397,3.01775,0.0754613,0.0008638,0.00243438,3353.85,2,1676.92,0,0,3,9.49687e-09,1
1,81.28,98.44,annealing_T=75_h=5,21.3394,2.03427,0.0586837,0.00458765,0.00806881,7.99616,2,3.99808,0.0183509,0,3,1.31017e-09,1
2,140.08,259.98,annealing_T=75_h=5,25.3093,2.43892,0.0478998,0.00465836,0.00508363,209.263,2,104.632,3.62283e-46,0,3,2.90609e-10,1
3,183.49,174.31,annealing_T=75_h=5,1943.73,6.09226,0.046485,0.000153137,6.85438e-05,53.8164,2,26.9082,2.06025e-12,0,3,4.94906e-09,1
4,194.28,522.37,annealing_T=75_h=5,77.5471,1.99096,0.0649287,0.00125188,0.0045639,49.8502,2,24.9251,1.49685e-11,0,3,8.55977e-06,1
5,231.71,758.49,annealing_T=75_h=5,8.02014,4.56414,0.0297314,0.0279258,0.136787,39.5882,2,19.7941,2.53236e-09,0,3,1.06783e-05,1
6,237.92,246.4,annealing_T=75_h=5,309.142,3.23703,0.0527212,0.000515436,0.00195454,228.952,2,114.476,1.92192e-50,0,3,1.64394e-07,1
7,254.32,353.69,annealing_T=75_h=5,142.84,2.07757,0.0554297,0.000702902,0.00209097,43.4659,2,21.733,3.64332e-10,0,3,4.97527e-06,1
8,336.98,290.39,annealing_T=75_h=5,6.51141,0.865303,0.108661,0.0062001,0.0132879,57.8323,2,28.9161,2.76621e-13,0,3,7.10547e-08,1
9,357.19,849.46,annealing_T=75_h=5,50.1762,1.53656,0.0746206,0.001444,0.00254162,179.25,2,89.6249,1.19232e-39,0,3,3.0418e-07,1
10,375.7,372.18,annealing_T=75_h=5,13.1521,1.1526,0.0699873,0.00424184,0.00912956,57.2492,2,28.6246,3.70245e-13,0,3,3.83724e-06,1
11,415.81,950.72,annealing_T=75_h=5,53.0922,1.65127,0.0705483,0.00148992,0.00471464,30.1849,2,15.0925,2.78887e-07,0,3,1.26165e-10,1
12,418.03,552.17,annealing_T=75_h=5,0.476765,0.155682,0.202718,0.0150652,0.0757354,51.9242,2,25.9621,5.30654e-12,0,3,6.56435e-09,1
13,426.27,75.43,annealing_T=75_h=5,42.1239,1.82147,0.0659608,0.00208684,0.00550179,59.576,2,29.788,1.15676e-13,0,3,1.42778e-09,1
14,430.19,489.36,annealing_T=75_h=5,190.301,1.47239,0.076099,0.000372648,0.00074782,89.8614,2,44.9307,3.06789e-20,0,3,6.52573e-09,1
15,502.95,1000.88,annealing_T=75_h=5,23.7082,1.9526,0.0609183,0.00396719,0.0243421,35.6926,2,17.8463,1.77602e-08,0,3,9.26709e-08,1
16,596.32,529.42,annealing_T=75_h=5,5.76085,0.881458,0.106675,0.00716865,0.0685827,27.9203,2,13.9602,8.65324e-07,0,3,6.04798e-10,1
17,610.89,338.89,annealing_T=75_h=5,8.99034,1.67108,0.0669977,0.00886213,0.0267837,45.8862,2,22.9431,1.08628e-10,0,3,4.99296e-09,1
18,650.21,442.97,annealing_T=75_h=5,31.0979,1.31632,0.0770947,0.0020336,0.00720212,79.7517,2,39.8758,4.81e-18,0,3,5.0497e-06,1
19,650.39,576.61,annealing_T=75_h=5,500.046,2.75285,0.0594636,0.000271885,0.000375957,6.89996,2,3.44998,0.0317462,0,3,2.9293e-07,1
20,660.96,690.96,annealing_T=75_h=5,5.26911,0.587674,0.114522,0.00526563,0.0122175,22.886,2,11.443,1.07245e-05,0,3,6.1572e-07,1
