spot,x,y,luminosity,error,T,v,phase,detection,status,integration_radius,integration_area,run_number,match_distance,geometry_source_phase,geometry_source_run,geometry_mode,deltaL1,deltaL2,deltaL,lambda,lambda_stat_error,deltaLambda,A,A_stat_error,fit_chi2,fit_ndf,fit_chi2ndf,fit_status,covmatrix_status,edm,fit_converged
0,67.95,811.65,1475.27,16.2388,17.0,56.13,annealing_T=75_h=5,present,present,20.0,1256.6370614359173,20260521-080451,1.2894960255851422,annealing_T=75_h=5,20260521-080451,phase_detection,8.71,17.98,17.98,0.0754613,0.0008638,0.00243438,164.397,3.01775,3353.85,2,1676.92,0,3,9.49687e-09,1
0,67.95,811.65,663.288,1.7931,19.0,56.24,annealing_T=75_h=5,present,present,20.0,1256.6370614359173,20260521-080451,1.2894960255851422,annealing_T=75_h=5,20260521-080451,phase_detection,8.824,3.173,8.824,0.0754613,0.0008638,0.00243438,164.397,3.01775,3353.85,2,1676.92,0,3,9.49687e-09,1
0,67.95,811.65,827.999,1.9844,21.0,56.35,annealing_T=75_h=5,present,present,20.0,1256.6370614359173,20260521-080451,1.2894960255851422,annealing_T=75_h=5,20260521-080451,phase_detection,5.846,13.442,13.442,0.0754613,0.0008638,0.00243438,164.397,3.01775,3353.85,2,1676.92,0,3,9.49687e-09,1
0,67.95,811.65,924.69,2.09418,23.0,56.46,annealing_T=75_h=5,present,present,20.0,1256.6370614359173,20260521-080451,1.2894960255851422,annealing_T=75_h=5,20260521-080451,phase_detection,5.687,9.909,9.909,0.0754613,0.0008638,0.00243438,164.397,3.01775,3353.85,2,1676.92,0,3,9.49687e-09,1
1,81.28,98.44,57.8859,1.46805,17.0,56.13,annealing_T=75_h=5,present,present,20.0,1256.6370614359173,20260521-080451,1.011335750381645,annealing_T=75_h=5,20260521-080451,phase_detection,5.7037,3.144,5.7037,0.0586837,0.00458765,0.00806881,21.3394,2.03427,7.99616,2,3.99808,0,3,1.31017e-09,1
1,81.28,98.44,63.3074,1.37206,19.0,56.24,annealing_T=75_h=5,present,present,20.0,1256.6370614359173,20260521-080451,1.011335750381645,annealing_T=75_h=5,20260521-080451,phase_detection,3.2183,7.4354,7.4354,0.0586837,0.00458765,0.00806881,21.3394,2.03427,7.99616,2,3.99808,0,3,1.31017e-09,1
1,81.28,98.44,76.4161,1.40005,21.0,56.35,annealing_T=75_h=5,present,present,20.0,1256.6370614359173,20260521-080451,1.011335750381645,annealing_T=75_h=5,20260521-080451,phase_detection,9.5394,3.4851,9.5394,0.0586837,0.00458765,0.00806881,21.3394,2.03427,7.99616,2,3.99808,0,3,1.31017e-09,1
1,81.28,98.44,80.9379,1.36087,23.0,56.46,annealing_T=75_h=5,present,present,20.0,1256.6370614359173,20260521-080451,1.011335750381645,annealing_T=75_h=5,20260521-080451,phase_detection,4.3632,2.8372,4.3632,0.0586837,0.00458765,0.00806881,21.3394,2.03427,7.99616,2,3.99808,0,3,1.31017e-09,1
2,140.08,259.98,67.6171,1.34676,17.0,56.13,annealing_T=75_h=5,present,present,20.0,1256.6370614359173,20260521-080451,1.0960383204979776,annealing_T=75_h=5,20260521-080451,phase_detection,1.6918,4.1988,4.1988,0.0478998,0.00465836,0.00508363,25.3093,2.43892,209.263,2,104.632,0,3,2.90609e-10,1
2,140.08,259.98,47.4264,1.31464,19.0,56.24,annealing_T=75_h=5,present,present,20.0,1256.6370614359173,20260521-080451,1.0960383204979776,annealing_T=75_h=5,20260521-080451,phase_detection,9.8278,8.494,9.8278,0.0478998,0.00465836,0.00508363,25.3093,2.43892,209.263,2,104.632,0,3,2.90609e-10,1
2,140.08,259.98,73.2862,1.44988,21.0,56.35,annealing_T=75_h=5,present,present,20.0,1256.6370614359173,20260521-080451,1.0960383204979776,annealing_T=75_h=5,20260521-080451,phase_detection,4.3737,4.6532,4.6532,0.0478998,0.00465836,0.00508363,25.3093,2.43892,209.263,2,104.632,0,3,2.90609e-10,1
2,140.08,259.98,78.1617,1.24733,23.0,56.46,annealing_T=75_h=5,present,present,20.0,1256.6370614359173,20260521-080451,1.0960383204979776,annealing_T=75_h=5,20260521-080451,phase_detection,2.0907,0.2808,2.0907,0.0478998,0.00465836,0.00508363,25.3093,2.43892,209.263,2,104.632,0,3,2.90609e-10,1
3,183.49,174.31,4296.24,3.18815,17.0,56.13,annealing_T=75_h=5,present,present,20.0,1256.6370614359173,20260521-080451,1.1799152511939144,annealing_T=75_h=5,20260521-080451,phase_detection,47.66,65.21,65.21,0.046485,0.000153137,6.85438e-05,1943.73,6.09226,53.8164,2,26.9082,0,3,4.94906e-09,1
3,183.49,174.31,4679.95,3.52414,19.0,56.24,annealing_T=75_h=5,present,present,20.0,1256.6370614359173,20260521-080451,1.1799152511939144,annealing_T=75_h=5,20260521-080451,phase_detection,55.78,73.21,73.21,0.046485,0.000153137,6.85438e-05,1943.73,6.09226,53.8164,2,26.9082,0,3,4.94906e-09,1
3,183.49,174.31,5160.22,3.36472,21.0,56.35,annealing_T=75_h=5,present,present,20.0,1256.6370614359173,20260521-080451,1.1799152511939144,annealing_T=75_h=5,20260521-080451,phase_detection,58.63,80.54,80.54,0.046485,0.000153137,6.85438e-05,1943.73,6.09226,53.8164,2,26.9082,0,3,4.94906e-09,1
3,183.49,174.31,5667.13,3.51437,23.0,56.46,annealing_T=75_h=5,present,present,20.0,1256.6370614359173,20260521-080451,1.1799152511939144,annealing_T=75_h=5,20260521-080451,phase_detection,66.32,87.84,87.84,0.046485,0.000153137,6.85438e-05,1943.73,6.09226,53.8164,2,26.9082,0,3,4.94906e-09,1
4,194.28,522.37,227.483,1.51701,17.0,56.13,annealing_T=75_h=5,present,present,20.0,1256.6370614359173,20260521-080451,1.0617438485811566,annealing_T=75_h=5,20260521-080451,phase_detection,4.546,2.303,4.546,0.0649287,0.00125188,0.0045639,77.5471,1.99096,49.8502,2,24.9251,0,3,8.55977e-06,1
4,194.28,522.37,274.033,1.41188,19.0,56.24,annealing_T=75_h=5,present,present,20.0,1256.6370614359173,20260521-080451,1.0617438485811566,annealing_T=75_h=5,20260521-080451,phase_detection,3.262,0.655,3.262,0.0649287,0.00125188,0.0045639,77.5471,1.99096,49.8502,2,24.9251,0,3,8.55977e-06,1
4,194.28,522.37,302.251,1.48549,21.0,56.35,annealing_T=75_h=5,present,present,20.0,1256.6370614359173,20260521-080451,1.0617438485811566,annealing_T=75_h=5,20260521-080451,phase_detection,2.39,2.684,2.684,0.0649287,0.00125188,0.0045639,77.5471,1.99096,49.8502,2,24.9251,0,3,8.55977e-06,1
4,194.28,522.37,343.041,1.71566,23.0,56.46,annealing_T=75_h=5,present,present,20.0,1256.6370614359173,20260521-080451,1.0617438485811566,annealing_T=75_h=5,20260521-080451,phase_detection,2.67,3.849,3.849,0.0649287,0.00125188,0.0045639,77.5471,1.99096,49.8502,2,24.9251,0,3,8.55977e-06,1
5,231.71,758.49,18.4927,1.50628,17.0,56.13,annealing_T=75_h=5,absent,disappeared,20.0,1256.6370614359173,20260521-080451,0.0,before_annealing,20260514-062228,previous_detection,3.8077,6.8557,6.8557,0.0297314,0.0279258,0.136787,8.02014,4.56414,39.5882,2,19.7941,0,3,1.06783e-05,1
5,231.71,758.49,10.582,1.36252,19.0,56.24,annealing_T=75_h=5,absent,disappeared,20.0,1256.6370614359173,20260521-080451,0.0,before_annealing,20260514-062228,previous_detection,3.51695,0.60112,3.51695,0.0297314,0.0279258,0.136787,8.02014,4.56414,39.5882,2,19.7941,0,3,1.06783e-05,1
5,231.71,758.49,10.7725,1.29143,21.0,56.35,annealing_T=75_h=5,absent,disappeared,20.0,1256.6370614359173,20260521-080451,0.0,before_annealing,20260514-062228,previous_detection,1.3604,1.2649,1.3604,0.0297314,0.0279258,0.136787,8.02014,4.56414,39.5882,2,19.7941,0,3,1.06783e-05,1
5,231.71,758.49,20.7315,1.5013,23.0,56.46,annealing_T=75_h=5,absent,disappeared,20.0,1256.6370614359173,20260521-080451,0.0,before_annealing,20260514-062228,previous_detection,7.142,2.7316,7.142,0.0297314,0.0279258,0.136787,8.02014,4.56414,39.5882,2,19.7941,0,3,1.06783e-05,1
6,237.92,246.4,750.5,1.82216,17.0,56.13,annealing_T=75_h=5,present,present,20.0,1256.6370614359173,20260521-080451,1.1896217886370426,annealing_T=75_h=5,20260521-080451,phase_detection,1.477,12.812,12.812,0.0527212,0.000515436,0.00195454,309.142,3.23703,228.952,2,114.476,0,3,1.64394e-07,1
6,237.92,246.4,840.046,2.12271,19.0,56.24,annealing_T=75_h=5,present,present,20.0,1256.6370614359173,20260521-080451,1.1896217886370426,annealing_T=75_h=5,20260521-080451,phase_detection,8.907,9.142,9.142,0.0527212,0.000515436,0.00195454,309.142,3.23703,228.952,2,114.476,0,3,1.64394e-07,1
6,237.92,246.4,961.616,2.12161,21.0,56.35,annealing_T=75_h=5,present,present,20.0,1256.6370614359173,20260521-080451,1.1896217886370426,annealing_T=75_h=5,20260521-080451,phase_detection,6.183,13.484,13.484,0.0527212,0.000515436,0.00195454,309.142,3.23703,228.952,2,114.476,0,3,1.64394e-07,1
6,237.92,246.4,1021.59,2.28983,23.0,56.46,annealing_T=75_h=5,present,present,20.0,1256.6370614359173,20260521-080451,1.1896217886370426,annealing_T=75_h=5,20260521-080451,phase_detection,14.29,17.31,17.31,0.0527212,0.000515436,0.00195454,309.142,3.23703,228.952,2,114.476,0,3,1.64394e-07,1
7,254.32,353.69,365.938,1.3453,17.0,56.13,annealing_T=75_h=5,present,present,20.0,1256.6370614359173,20260521-080451,0.998599018625569,annealing_T=75_h=5,20260521-080451,phase_detection,4.137,4.17,4.17,0.0554297,0.000702902,0.00209097,142.84,2.07757,43.4659,2,21.733,0,3,4.97527e-06,1
7,254.32,353.69,405.647,1.40312,19.0,56.24,annealing_T=75_h=5,present,present,20.0,1256.6370614359173,20260521-080451,0.998599018625569,annealing_T=75_h=5,20260521-080451,phase_detection,2.137,14.046,14.046,0.0554297,0.000702902,0.00209097,142.84,2.07757,43.4659,2,21.733,0,3,4.97527e-06,1
7,254.32,353.69,464.163,1.25372,21.0,56.35,annealing_T=75_h=5,present,present,20.0,1256.6370614359173,20260521-080451,0.998599018625569,annealing_T=75_h=5,20260521-080451,phase_detection,6.111,7.722,7.722,0.0554297,0.000702902,0.00209097,142.84,2.07757,43.4659,2,21.733,0,3,4.97527e-06,1
7,254.32,353.69,507.418,1.3556,23.0,56.46,annealing_T=75_h=5,present,present,20.0,1256.6370614359173,20260521-080451,0.998599018625569,annealing_T=75_h=5,20260521-080451,phase_detection,6.481,17.386,17.386,0.0554297,0.000702902,0.00209097,142.84,2.07757,43.4659,2,21.733,0,3,4.97527e-06,1
8,336.98,290.39,44.2767,1.65488,17.0,56.13,annealing_T=75_h=5,present,present,20.0,1256.6370614359173,20260521-080451,2.1865269264292175,annealing_T=75_h=5,20260521-080451,phase_detection,2.0229,5.303,5.303,0.108661,0.0062001,0.0132879,6.51141,0.865303,57.8323,2,28.9161,0,3,7.10547e-08,1
8,336.98,290.39,54.5378,1.50798,19.0,56.24,annealing_T=75_h=5,present,present,20.0,1256.6370614359173,20260521-080451,2.1865269264292175,annealing_T=75_h=5,20260521-080451,phase_detection,7.4136,1.7143,7.4136,0.108661,0.0062001,0.0132879,6.51141,0.865303,57.8323,2,28.9161,0,3,7.10547e-08,1
8,336.98,290.39,54.016,1.49156,21.0,56.35,annealing_T=75_h=5,present,present,20.0,1256.6370614359173,20260521-080451,2.1865269264292175,annealing_T=75_h=5,20260521-080451,phase_detection,2.4369,3.3246,3.3246,0.108661,0.0062001,0.0132879,6.51141,0.865303,57.8323,2,28.9161,0,3,7.10547e-08,1
8,336.98,290.39,82.771,1.3085,23.0,56.46,annealing_T=75_h=5,present,present,20.0,1256.6370614359173,20260521-080451,2.1865269264292175,annealing_T=75_h=5,20260521-080451,phase_detection,1.2596,5.4971,5.4971,0.108661,0.0062001,0.0132879,6.51141,0.865303,57.8323,2,28.9161,0,3,7.10547e-08,1
9,357.19,849.46,166.867,1.53559,17.0,56.13,annealing_T=75_h=5,present,present,20.0,1256.6370614359173,20260521-080451,1.3172699040060096,annealing_T=75_h=5,20260521-080451,phase_detection,4.427,4.393,4.427,0.0746206,0.001444,0.00254162,50.1762,1.53656,179.25,2,89.6249,0,3,3.0418e-07,1
9,357.19,849.46,224.826,1.62142,19.0,56.24,annealing_T=75_h=5,present,present,20.0,1256.6370614359173,20260521-080451,1.3172699040060096,annealing_T=75_h=5,20260521-080451,phase_detection,3.633,4.815,4.815,0.0746206,0.001444,0.00254162,50.1762,1.53656,179.25,2,89.6249,0,3,3.0418e-07,1
9,357.19,849.46,239.006,1.44411,21.0,56.35,annealing_T=75_h=5,present,present,20.0,1256.6370614359173,20260521-080451,1.3172699040060096,annealing_T=75_h=5,20260521-080451,phase_detection,5.813,7.316,7.316,0.0746206,0.001444,0.00254162,50.1762,1.53656,179.25,2,89.6249,0,3,3.0418e-07,1
9,357.19,849.46,277.142,1.26651,23.0,56.46,annealing_T=75_h=5,present,present,20.0,1256.6370614359173,20260521-080451,1.3172699040060096,annealing_T=75_h=5,20260521-080451,phase_detection,1.564,6.626,6.626,0.0746206,0.001444,0.00254162,50.1762,1.53656,179.25,2,89.6249,0,3,3.0418e-07,1
10,375.7,372.18,42.9294,0.974058,17.0,56.13,annealing_T=75_h=5,present,present,20.0,1256.6370614359173,20260521-080451,1.0295630140987295,annealing_T=75_h=5,20260521-080451,phase_detection,1.846,0.0853,1.846,0.0699873,0.00424184,0.00912956,13.1521,1.1526,57.2492,2,28.6246,0,3,3.83724e-06,1
10,375.7,372.18,53.0015,0.90146,19.0,56.24,annealing_T=75_h=5,present,present,20.0,1256.6370614359173,20260521-080451,1.0295630140987295,annealing_T=75_h=5,20260521-080451,phase_detection,4.5095,1.8883,4.5095,0.0699873,0.00424184,0.00912956,13.1521,1.1526,57.2492,2,28.6246,0,3,3.83724e-06,1
10,375.7,372.18,51.407,0.956066,21.0,56.35,annealing_T=75_h=5,present,present,20.0,1256.6370614359173,20260521-080451,1.0295630140987295,annealing_T=75_h=5,20260521-080451,phase_detection,9.4081,1.5639,9.4081,0.0699873,0.00424184,0.00912956,13.1521,1.1526,57.2492,2,28.6246,0,3,3.83724e-06,1
10,375.7,372.18,68.55,1.02309,23.0,56.46,annealing_T=75_h=5,present,present,20.0,1256.6370614359173,20260521-080451,1.0295630140987295,annealing_T=75_h=5,20260521-080451,phase_detection,0.103,0.0129,0.103,0.0699873,0.00424184,0.00912956,13.1521,1.1526,57.2492,2,28.6246,0,3,3.83724e-06,1
11,415.81,950.72,172.592,1.46044,17.0,56.13,annealing_T=75_h=5,present,present,20.0,1256.6370614359173,20260521-080451,0.7621679604916749,annealing_T=75_h=5,20260521-080451,phase_detection,3.083,2.341,3.083,0.0705483,0.00148992,0.00471464,53.0922,1.65127,30.1849,2,15.0925,0,3,1.26165e-10,1
11,415.81,950.72,209.387,1.4677,19.0,56.24,annealing_T=75_h=5,present,present,20.0,1256.6370614359173,20260521-080451,0.7621679604916749,annealing_T=75_h=5,20260521-080451,phase_detection,1.688,4.315,4.315,0.0705483,0.00148992,0.00471464,53.0922,1.65127,30.1849,2,15.0925,0,3,1.26165e-10,1
11,415.81,950.72,230.671,1.39555,21.0,56.35,annealing_T=75_h=5,present,present,20.0,1256.6370614359173,20260521-080451,0.7621679604916749,annealing_T=75_h=5,20260521-080451,phase_detection,4.197,9.992,9.992,0.0705483,0.00148992,0.00471464,53.0922,1.65127,30.1849,2,15.0925,0,3,1.26165e-10,1
