868.50, 1010.29, 706.86, 15.00
503.06, 1003.69, 706.86, 15.00
1821.46, 991.94, 706.86, 15.00
1617.53, 987.34, 706.86, 15.00
1048.18, 959.02, 706.86, 15.00
415.57, 953.82, 706.86, 15.00
1464.41, 945.04, 706.86, 15.00
1176.38, 931.17, 706.86, 15.00
635.48, 920.70, 706.86, 15.00
1375.45, 913.14, 706.86, 15.00
513.99, 887.38, 706.86, 15.00
1845.52, 886.57, 706.86, 15.00
1287.16, 875.24, 706.86, 15.00
1502.48, 863.54, 706.86, 15.00
356.19, 852.09, 706.86, 15.00
66.74, 816.57, 706.86, 15.00
1371.44, 812.00, 706.86, 15.00
1050.32, 805.88, 706.86, 15.00
1721.05, 805.20, 706.86, 15.00
906.67, 734.66, 706.86, 15.00
1731.32, 721.66, 706.86, 15.00
1543.71, 709.50, 706.86, 15.00
659.14, 692.09, 706.86, 15.00
1087.38, 689.43, 706.86, 15.00
1582.82, 651.54, 706.86, 15.00
1252.88, 596.68, 706.86, 15.00
805.82, 590.45, 706.86, 15.00
647.54, 578.17, 706.86, 15.00
1849.17, 556.54, 706.86, 15.00
1780.54, 554.47, 706.86, 15.00
1086.04, 524.87, 706.86, 15.00
191.23, 526.41, 706.86, 15.00
1494.45, 507.98, 706.86, 15.00
426.99, 492.06, 706.86, 15.00
1242.00, 485.07, 706.86, 15.00
1769.77, 477.15, 706.86, 15.00
646.75, 444.48, 706.86, 15.00
1146.14, 430.21, 706.86, 15.00
1533.25, 405.46, 706.86, 15.00
250.39, 357.53, 706.86, 15.00
1817.63, 355.49, 706.86, 15.00
1421.40, 352.27, 706.86, 15.00
1289.47, 321.84, 706.86, 15.00
812.99, 318.35, 706.86, 15.00
332.34, 293.52, 706.86, 15.00
1649.02, 277.85, 706.86, 15.00
135.37, 264.51, 706.86, 15.00
233.30, 250.10, 706.86, 15.00
1165.58, 241.22, 706.86, 15.00
1063.80, 236.61, 706.86, 15.00
1399.97, 206.84, 706.86, 15.00
178.34, 178.55, 706.86, 15.00
1236.90, 155.21, 706.86, 15.00
1382.62, 118.05, 706.86, 15.00
76.06, 103.25, 706.86, 15.00
1855.98, 95.10, 706.86, 15.00
420.54, 78.00, 706.86, 15.00
194.84, 63.14, 706.86, 15.00
