870.77, 1007.93, 216.00, 8.29
505.46, 1000.84, 72.00, 4.79
1619.80, 985.17, 346.00, 10.49
1823.67, 989.54, 93.00, 5.44
1050.32, 956.79, 174.00, 7.44
417.78, 951.19, 148.00, 6.86
1178.67, 928.66, 88.00, 5.29
1377.80, 911.01, 150.00, 6.91
1089.72, 909.52, 112.00, 5.97
516.16, 884.76, 374.00, 10.91
1846.87, 885.10, 243.00, 8.79
1289.32, 872.68, 59.00, 4.33
1504.29, 861.40, 133.00, 6.51
358.14, 849.88, 162.00, 7.18
68.90, 813.55, 260.00, 9.10
1373.68, 809.30, 163.00, 7.20
1586.04, 807.44, 31.00, 3.14
1052.81, 803.87, 85.00, 5.20
232.97, 761.01, 39.00, 3.52
908.95, 732.16, 254.00, 8.99
1733.69, 719.37, 705.00, 14.98
661.51, 689.89, 108.00, 5.86
1089.65, 687.12, 106.00, 5.81
1228.54, 665.73, 160.00, 7.14
1585.37, 649.05, 42.00, 3.66
1254.80, 594.44, 59.00, 4.33
808.25, 588.03, 210.00, 8.18
1180.68, 592.52, 53.00, 4.11
649.92, 575.53, 403.00, 11.33
1851.73, 554.11, 219.00, 8.35
1782.90, 552.18, 152.00, 6.96
417.93, 552.38, 33.00, 3.24
596.39, 529.79, 45.00, 3.78
193.60, 523.67, 183.00, 7.63
1496.87, 505.65, 374.00, 10.91
429.40, 489.45, 351.00, 10.57
1244.35, 482.94, 168.00, 7.31
1772.19, 474.97, 217.00, 8.31
649.04, 441.80, 126.00, 6.33
1148.49, 428.11, 77.00, 4.95
911.68, 407.01, 457.00, 12.06
1266.31, 411.79, 34.00, 3.29
1535.75, 403.12, 51.00, 4.03
699.83, 367.63, 32.00, 3.19
93.75, 359.08, 160.00, 7.14
252.74, 354.53, 158.00, 7.09
1820.09, 353.31, 222.00, 8.41
609.21, 338.00, 31.00, 3.14
1291.95, 318.97, 78.00, 4.98
815.40, 315.87, 78.00, 4.98
334.91, 291.31, 62.00, 4.44
1651.74, 275.23, 64.00, 4.51
138.25, 261.48, 64.00, 4.51
235.75, 247.53, 299.00, 9.76
1168.10, 238.79, 540.00, 13.11
1066.74, 233.99, 30.00, 3.09
1253.34, 231.35, 44.00, 3.74
1402.61, 204.47, 161.00, 7.16
180.85, 175.76, 659.00, 14.48
1239.58, 153.18, 58.00, 4.30
1005.03, 122.89, 44.00, 3.74
1385.22, 115.29, 45.00, 3.78
78.50, 100.41, 83.00, 5.14
1858.67, 92.81, 57.00, 4.26
423.28, 75.54, 109.00, 5.89
1318.19, 72.35, 45.00, 3.78
