spot,x,y,luminosity,error,T,v,phase,detection,status,integration_radius,integration_area,run_number,match_distance,geometry_source_phase,geometry_source_run,geometry_mode,deltaL1,deltaL2,deltaL,lambda,lambda_stat_error,deltaLambda,A,A_stat_error,fit_chi2,fit_ndf,fit_chi2ndf,fit_status,covmatrix_status,edm,fit_converged
12,417.19,550.12,8.6042,1.78011,19.0,56.24,annealing_T=125_h=25,absent,absent,20.0,1256.6370614359173,20260828-044900,1.5054567413246664,annealing_T=75_h=25,20260531-095134,previous_detection,2.6814,1.38373,2.6814,-0.127441,0.0575736,0.0910185,113.397,121.907,1.03571,2,0.517855,0,3,5.75443e-06,1
12,417.19,550.12,8.30318,2.12275,21.0,56.35,annealing_T=125_h=25,absent,absent,20.0,1256.6370614359173,20260828-044900,1.5054567413246664,annealing_T=75_h=25,20260531-095134,previous_detection,0.97101,0.06003,0.97101,-0.127441,0.0575736,0.0910185,113.397,121.907,1.03571,2,0.517855,0,3,5.75443e-06,1
12,417.19,550.12,6.89351,2.29294,23.0,56.46,annealing_T=125_h=25,absent,absent,20.0,1256.6370614359173,20260828-044900,1.5054567413246664,annealing_T=75_h=25,20260531-095134,previous_detection,1.38157,1.1827,1.38157,-0.127441,0.0575736,0.0910185,113.397,121.907,1.03571,2,0.517855,0,3,5.75443e-06,1
13,426.46,72.47,19.4981,2.00279,17.0,56.13,annealing_T=125_h=25,absent,disappeared,20.0,1256.6370614359173,20260828-044900,2.045336158190126,annealing_T=100_h=25,20260702-101218,previous_detection,4.2449,3.4814,4.2449,0.127131,0.0163999,0.0258114,2.18913,0.759536,1.64036,2,0.820182,0,3,4.41928e-09,1
13,426.46,72.47,23.0672,1.80502,19.0,56.24,annealing_T=125_h=25,absent,disappeared,20.0,1256.6370614359173,20260828-044900,2.045336158190126,annealing_T=100_h=25,20260702-101218,previous_detection,1.3114,1.9572,1.9572,0.127131,0.0163999,0.0258114,2.18913,0.759536,1.64036,2,0.820182,0,3,4.41928e-09,1
13,426.46,72.47,33.4242,1.9802,21.0,56.35,annealing_T=125_h=25,absent,disappeared,20.0,1256.6370614359173,20260828-044900,2.045336158190126,annealing_T=100_h=25,20260702-101218,previous_detection,2.044,0.823,2.044,0.127131,0.0163999,0.0258114,2.18913,0.759536,1.64036,2,0.820182,0,3,4.41928e-09,1
13,426.46,72.47,40.1108,2.05928,23.0,56.46,annealing_T=125_h=25,absent,disappeared,20.0,1256.6370614359173,20260828-044900,2.045336158190126,annealing_T=100_h=25,20260702-101218,previous_detection,1.4491,4.3448,4.3448,0.127131,0.0163999,0.0258114,2.18913,0.759536,1.64036,2,0.820182,0,3,4.41928e-09,1
14,430.18,488.47,117.229,2.01452,17.0,56.13,annealing_T=125_h=25,present,present,20.0,1256.6370614359173,20260828-044900,0.5474486277268652,annealing_T=125_h=25,20260828-044900,phase_detection,0.533,5.513,5.513,0.059351,0.00308766,0.00876053,43.5469,2.79195,54.2015,2,27.1007,0,3,4.41378e-06,1
14,430.18,488.47,142.876,1.84629,19.0,56.24,annealing_T=125_h=25,present,present,20.0,1256.6370614359173,20260828-044900,0.5474486277268652,annealing_T=125_h=25,20260828-044900,phase_detection,0.27,0.592,0.592,0.059351,0.00308766,0.00876053,43.5469,2.79195,54.2015,2,27.1007,0,3,4.41378e-06,1
14,430.18,488.47,142.525,1.70243,21.0,56.35,annealing_T=125_h=25,present,present,20.0,1256.6370614359173,20260828-044900,0.5474486277268652,annealing_T=125_h=25,20260828-044900,phase_detection,2.784,5.211,5.211,0.059351,0.00308766,0.00876053,43.5469,2.79195,54.2015,2,27.1007,0,3,4.41378e-06,1
14,430.18,488.47,174.733,1.89133,23.0,56.46,annealing_T=125_h=25,present,present,20.0,1256.6370614359173,20260828-044900,0.5474486277268652,annealing_T=125_h=25,20260828-044900,phase_detection,1.189,4.473,4.473,0.059351,0.00308766,0.00876053,43.5469,2.79195,54.2015,2,27.1007,0,3,4.41378e-06,1
15,502.79,999.04,0.185923,2.02624,17.0,56.13,annealing_T=125_h=25,absent,absent,20.0,1256.6370614359173,20260828-044900,1.2909686285887023,annealing_T=75_h=25,20260531-095134,previous_detection,10.093053,1.668663,10.093053,1.89821,0.00117995,1.7108,-1.2157e-18,3.30241e-20,30.2909,2,15.1455,1,2,6.48642e-07,0
15,502.79,999.04,8.65153,1.95795,19.0,56.24,annealing_T=125_h=25,absent,absent,20.0,1256.6370614359173,20260828-044900,1.2909686285887023,annealing_T=75_h=25,20260531-095134,previous_detection,6.40028,0.34128,6.40028,1.89821,0.00117995,1.7108,-1.2157e-18,3.30241e-20,30.2909,2,15.1455,1,2,6.48642e-07,0
15,502.79,999.04,-7.54827,2.2284,21.0,56.35,annealing_T=125_h=25,absent,absent,20.0,1256.6370614359173,20260828-044900,1.2909686285887023,annealing_T=75_h=25,20260531-095134,previous_detection,5.64063,3.25774,5.64063,1.89821,0.00117995,1.7108,-1.2157e-18,3.30241e-20,30.2909,2,15.1455,1,2,6.48642e-07,0
15,502.79,999.04,-10.971,2.06248,23.0,56.46,annealing_T=125_h=25,absent,absent,20.0,1256.6370614359173,20260828-044900,1.2909686285887023,annealing_T=75_h=25,20260531-095134,previous_detection,1.5102,5.05526,5.05526,1.89821,0.00117995,1.7108,-1.2157e-18,3.30241e-20,30.2909,2,15.1455,1,2,6.48642e-07,0
16,596.32,529.42,9.98829,1.9718,17.0,56.13,annealing_T=125_h=25,absent,absent,20.0,1256.6370614359173,20260828-044900,0.0,before_annealing,20260514-062228,previous_detection,3.01471,2.35841,3.01471,0.232132,0.0282087,0.0547616,0.159762,0.0985552,16.2202,2,8.11012,0,3,7.14443e-06,1
16,596.32,529.42,7.81381,1.87179,19.0,56.24,annealing_T=125_h=25,absent,absent,20.0,1256.6370614359173,20260828-044900,0.0,before_annealing,20260514-062228,previous_detection,5.73551,2.82909,5.73551,0.232132,0.0282087,0.0547616,0.159762,0.0985552,16.2202,2,8.11012,0,3,7.14443e-06,1
16,596.32,529.42,25.7624,1.86573,21.0,56.35,annealing_T=125_h=25,absent,absent,20.0,1256.6370614359173,20260828-044900,0.0,before_annealing,20260514-062228,previous_detection,0.5655,0.4486,0.5655,0.232132,0.0282087,0.0547616,0.159762,0.0985552,16.2202,2,8.11012,0,3,7.14443e-06,1
16,596.32,529.42,31.7232,2.02215,23.0,56.46,annealing_T=125_h=25,absent,absent,20.0,1256.6370614359173,20260828-044900,0.0,before_annealing,20260514-062228,previous_detection,3.9085,0.8854,3.9085,0.232132,0.0282087,0.0547616,0.159762,0.0985552,16.2202,2,8.11012,0,3,7.14443e-06,1
17,610.63,337.22,11.482,2.09537,17.0,56.13,annealing_T=125_h=25,absent,absent,20.0,1256.6370614359173,20260828-044900,0.7516648189186522,annealing_T=100_h=5,20260612-001017,previous_detection,1.99702,2.44314,2.44314,0.012442,0.0462949,0.101185,7.95286,7.5444,7.97278,2,3.98639,0,3,9.84827e-07,1
17,610.63,337.22,4.84042,2.34501,19.0,56.24,annealing_T=125_h=25,absent,absent,20.0,1256.6370614359173,20260828-044900,0.7516648189186522,annealing_T=100_h=5,20260612-001017,previous_detection,5.563747,0.94323,5.563747,0.012442,0.0462949,0.101185,7.95286,7.5444,7.97278,2,3.98639,0,3,9.84827e-07,1
17,610.63,337.22,13.1715,1.91054,21.0,56.35,annealing_T=125_h=25,absent,absent,20.0,1256.6370614359173,20260828-044900,0.7516648189186522,annealing_T=100_h=5,20260612-001017,previous_detection,5.2887,2.555,5.2887,0.012442,0.0462949,0.101185,7.95286,7.5444,7.97278,2,3.98639,0,3,9.84827e-07,1
17,610.63,337.22,9.84389,1.90741,23.0,56.46,annealing_T=125_h=25,absent,absent,20.0,1256.6370614359173,20260828-044900,0.7516648189186522,annealing_T=100_h=5,20260612-001017,previous_detection,7.40342,5.02121,7.40342,0.012442,0.0462949,0.101185,7.95286,7.5444,7.97278,2,3.98639,0,3,9.84827e-07,1
18,650.29,441.56,62.7597,2.1509,17.0,56.13,annealing_T=125_h=25,present,present,20.0,1256.6370614359173,20260828-044900,0.7725283166330282,annealing_T=125_h=25,20260828-044900,phase_detection,1.6616,0.1576,1.6616,0.0765277,0.00531843,0.0043911,18.7677,2.087,19.0155,2,9.50773,0,3,1.5529e-08,1
18,650.29,441.56,85.9598,1.97633,19.0,56.24,annealing_T=125_h=25,present,present,20.0,1256.6370614359173,20260828-044900,0.7725283166330282,annealing_T=125_h=25,20260828-044900,phase_detection,0.2968,3.9712,3.9712,0.0765277,0.00531843,0.0043911,18.7677,2.087,19.0155,2,9.50773,0,3,1.5529e-08,1
18,650.29,441.56,95.924,2.20665,21.0,56.35,annealing_T=125_h=25,present,present,20.0,1256.6370614359173,20260828-044900,0.7725283166330282,annealing_T=125_h=25,20260828-044900,phase_detection,1.3931,0.9957,1.3931,0.0765277,0.00531843,0.0043911,18.7677,2.087,19.0155,2,9.50773,0,3,1.5529e-08,1
18,650.29,441.56,106.571,2.01238,23.0,56.46,annealing_T=125_h=25,present,present,20.0,1256.6370614359173,20260828-044900,0.7725283166330282,annealing_T=125_h=25,20260828-044900,phase_detection,0.376,4.6,4.6,0.0765277,0.00531843,0.0043911,18.7677,2.087,19.0155,2,9.50773,0,3,1.5529e-08,1
19,650.24,575.75,434.645,1.72806,17.0,56.13,annealing_T=125_h=25,present,present,20.0,1256.6370614359173,20260828-044900,0.494772675074138,annealing_T=125_h=25,20260828-044900,phase_detection,4.703,13.641,13.641,0.0664748,0.000800428,0.000622084,138.877,2.30107,42.1866,2,21.0933,0,3,4.86731e-06,1
19,650.24,575.75,478.637,2.20621,19.0,56.24,annealing_T=125_h=25,present,present,20.0,1256.6370614359173,20260828-044900,0.494772675074138,annealing_T=125_h=25,20260828-044900,phase_detection,7.208,10.851,10.851,0.0664748,0.000800428,0.000622084,138.877,2.30107,42.1866,2,21.0933,0,3,4.86731e-06,1
19,650.24,575.75,564.264,1.97253,21.0,56.35,annealing_T=125_h=25,present,present,20.0,1256.6370614359173,20260828-044900,0.494772675074138,annealing_T=125_h=25,20260828-044900,phase_detection,6.354,8.474,8.474,0.0664748,0.000800428,0.000622084,138.877,2.30107,42.1866,2,21.0933,0,3,4.86731e-06,1
