spot,x,y,phase,A,A_stat_error,lambda,lambda_stat_error,deltaLambda,chi2,ndf,chi2ndf,prob,fit_status,covmatrix_status,edm,converged
0,68.61,811.3,annealing_T=125_h=25,51.3498,2.30729,0.0728254,0.00215683,0.00559259,0.677915,2,0.338958,0.712513,0,3,5.55639e-08,1
1,81.52,96,annealing_T=125_h=25,5.18245,2.87891,0.0552748,0.0271207,0.018807,35.4672,2,17.7336,1.98785e-08,0,3,5.96081e-06,1
2,140.2,258.36,annealing_T=125_h=25,-226.721,258.409,-0.173459,0.0613557,0.121954,49.6914,2,24.8457,1.62048e-11,0,3,1.00402e-05,1
3,183.25,173.55,annealing_T=125_h=25,2111.37,7.78854,0.035094,0.000181821,0.000152223,64.0382,2,32.0191,1.24247e-14,0,3,1.15292e-06,1
4,194.41,521.73,annealing_T=125_h=25,15.6163,1.76844,0.0823619,0.00542009,0.0140675,18.8923,2,9.44616,7.89926e-05,0,3,3.37959e-07,1
5,232.24,758.05,annealing_T=125_h=25,4.07812,4.33809,0.0387563,0.0516381,0.146656,5.11353,2,2.55676,0.0775553,0,3,7.18534e-06,1
6,237.92,245.4,annealing_T=125_h=25,37.9405,1.48651,0.0898487,0.00184486,0.00852874,20.3801,2,10.19,3.75423e-05,0,3,9.88462e-09,1
7,254.25,352.65,annealing_T=125_h=25,84.9425,2.57713,0.066216,0.00145794,0.00308407,3.6954,2,1.8477,0.157599,0,3,4.51513e-06,1
8,337.59,287.86,annealing_T=125_h=25,1.36709,0.476396,0.14787,0.0162395,0.0333565,25.3545,2,12.6772,3.12138e-06,0,3,1.44682e-07,1
9,357.87,846.42,annealing_T=125_h=25,0.629354,0.306075,0.178168,0.0225256,0.0657311,15.6142,2,7.80712,0.000406827,0,3,1.56403e-08,1
10,375.98,370.27,annealing_T=125_h=25,0.039423,0.0631854,0.249151,0.073162,0.470581,1.00185,2,0.500924,0.605971,0,3,1.48545e-05,1
11,416.33,949.61,annealing_T=125_h=25,112.615,18.5732,-0.0330984,0.00833115,0.00915416,48.8024,2,24.4012,2.52752e-11,0,3,1.33361e-08,1
12,417.19,550.12,annealing_T=125_h=25,113.397,121.907,-0.127441,0.0575736,0.0910185,1.03571,2,0.517855,0.595797,0,3,5.75443e-06,1
13,426.46,72.47,annealing_T=125_h=25,2.18913,0.759536,0.127131,0.0163999,0.0258114,1.64036,2,0.820182,0.440352,0,3,4.41928e-09,1
14,430.18,488.47,annealing_T=125_h=25,43.5469,2.79195,0.059351,0.00308766,0.00876053,54.2015,2,27.1007,1.6994e-12,0,3,4.41378e-06,1
