spot,phase,lambda_R16,lambdaerr_R16,chi2_R16,ndf_R16,chi2ndf_R16,fit_status_R16,covmatrix_status_R16,edm_R16,converged_R16,lambda_R24,lambdaerr_R24,chi2_R24,ndf_R24,chi2ndf_R24,fit_status_R24,covmatrix_status_R24,edm_R24,converged_R24
0,annealing_T=125_h=25,0.074278,0.0018038,6.65,2,3.325,0,3,1.83965e-09,1,0.0672328,0.00249777,15.6047,2,7.80237,0,3,2.80874e-08,1
1,annealing_T=125_h=25,0.0388905,0.0178398,26.7708,2,13.3854,0,3,6.73422e-09,1,0.0364678,0.0406547,36.4646,2,18.2323,0,3,5.70858e-07,1
2,annealing_T=125_h=25,-0.0515047,0.0812455,74.5149,2,37.2574,0,3,1.25859e-05,1,-0.201252,0.0504205,93.843,2,46.9215,0,3,1.45496e-05,1
3,annealing_T=125_h=25,0.0350703,0.00016987,53.5688,2,26.7844,0,3,2.73413e-08,1,0.0352462,0.000194158,82.9622,2,41.4811,0,3,5.76202e-07,1
4,annealing_T=125_h=25,0.081165,0.00398385,15.1528,2,7.57639,0,3,3.07865e-07,1,0.0964294,0.00704197,40.8476,2,20.4238,0,3,2.01356e-07,1
5,annealing_T=125_h=25,-0.1079,0.0356766,8.35357,2,4.17678,0,3,4.32663e-06,1,0.0913009,0.0590071,11.6652,2,5.83259,0,3,7.68377e-06,1
6,annealing_T=125_h=25,0.0858443,0.00139298,11.0428,2,5.5214,0,3,4.82676e-08,1,0.08132,0.00218359,28.5699,2,14.285,0,3,8.44029e-09,1
7,annealing_T=125_h=25,0.0648573,0.00107485,12.6013,2,6.30064,0,3,7.33937e-06,1,0.0631319,0.0016564,1.3557,2,0.677848,0,3,4.38521e-07,1
8,annealing_T=125_h=25,0.114513,0.0124371,17.4408,2,8.72041,0,3,5.71557e-06,1,0.145391,0.0180774,38.0997,2,19.0498,0,3,1.09514e-07,1
9,annealing_T=125_h=25,0.159152,0.0214301,14.0356,2,7.0178,0,3,1.62621e-06,1,0.112437,0.0307886,14.4347,2,7.21735,0,3,3.7843e-07,1
10,annealing_T=125_h=25,0.0758707,0.0411699,9.04658,2,4.52329,0,3,9.12779e-08,1,-0.22143,0.241965,7.83106,2,3.91553,0,3,1.69279e-06,1
11,annealing_T=125_h=25,-0.0247097,0.00761092,43.1521,2,21.5761,0,3,1.61339e-08,1,-0.0422526,0.0096182,96.5557,2,48.2779,0,3,1.01512e-08,1
12,annealing_T=125_h=25,-0.0903661,0.0521358,3.48791,2,1.74396,0,3,1.66168e-07,1,-0.218459,0.0602826,0.578234,2,0.289117,0,3,1.34566e-06,1
13,annealing_T=125_h=25,0.131025,0.013367,13.7166,2,6.85829,0,3,1.88686e-06,1,0.10132,0.019639,6.19462,2,3.09731,0,3,5.84777e-08,1
14,annealing_T=125_h=25,0.0681115,0.00242785,84.6129,2,42.3064,0,3,1.44297e-07,1,0.0600309,0.00366872,28.9674,2,14.4837,0,3,2.49041e-08,1
15,annealing_T=125_h=25,0.927075,0.5274,31.3783,2,15.6891,0,3,9.3935e-06,1,0.187405,0.087591,21.2336,2,10.6168,0,3,6.09768e-07,1
16,annealing_T=125_h=25,0.184771,0.0210707,14.5235,2,7.26177,0,3,6.20534e-06,1,0.286894,0.0401455,30.2546,2,15.1273,0,3,2.55257e-08,1
17,annealing_T=125_h=25,0.113627,0.0363029,8.76144,2,4.38072,0,3,3.506e-08,1,-0.0177305,0.0671063,34.5372,2,17.2686,0,3,2.30798e-07,1
18,annealing_T=125_h=25,0.0809188,0.00445115,39.8669,2,19.9334,0,3,1.05226e-07,1,0.0794724,0.00623611,18.9093,2,9.45463,0,3,1.36472e-08,1
19,annealing_T=125_h=25,0.06666,0.000697381,66.861,2,33.4305,0,3,2.19532e-06,1,0.0670969,0.000950471,26.6018,2,13.3009,0,3,6.96457e-07,1
20,annealing_T=125_h=25,0.0533955,0.00728733,26.2131,2,13.1066,0,3,8.16916e-07,1,0.058643,0.0106558,6.89723,2,3.44862,0,3,7.25359e-08,1
21,annealing_T=125_h=25,0.0994152,0.00266118,75.4273,2,37.7137,0,3,7.37346e-07,1,0.0997962,0.00368149,99.3439,2,49.6719,0,3,3.01609e-06,1
22,annealing_T=125_h=25,0.0607811,0.0418748,5.06625,2,2.53313,0,3,7.75319e-10,1,-0.0385505,0.0492421,26.8191,2,13.4095,0,3,6.9328e-07,1
23,annealing_T=125_h=25,0.0111925,0.00654269,26.0914,2,13.0457,0,3,2.72388e-07,1,-0.0210237,0.0108737,51.6719,2,25.836,0,3,1.12152e-05,1
24,annealing_T=125_h=25,-0.204792,0.0670305,77.6739,2,38.837,0,3,8.41685e-06,1,2.09606,0.119806,42.6598,2,21.3299,4,1,0.000609623,0
25,annealing_T=125_h=25,0.12038,0.0106799,10.6785,2,5.33927,0,3,3.36196e-08,1,0.117433,0.0175818,2.55784,2,1.27892,0,3,1.63687e-06,1
26,annealing_T=125_h=25,-0.0480835,0.0440153,21.7375,2,10.8688,0,3,2.74712e-08,1,-0.123659,0.131429,34.2573,2,17.1287,0,3,6.09598e-06,1
27,annealing_T=125_h=25,-0.206045,0.13937,14.0363,2,7.01816,0,3,5.40556e-07,1,-0.034613,0.117565,1.59788,2,0.798938,0,3,2.58728e-06,1
28,annealing_T=125_h=25,0.775575,1,13.8544,2,6.9272,3,1,0.823942,0,0.191733,0.158852,16.987,2,8.49352,0,3,1.31544e-05,1
29,annealing_T=125_h=25,0.0863949,0.00326213,17.0483,2,8.52414,0,3,5.70855e-07,1,0.109632,0.00485515,6.89071,2,3.44535,0,3,1.34734e-08,1
30,annealing_T=125_h=25,0.0340216,0.00700989,63.9547,2,31.9774,0,3,2.00871e-08,1,0.0513511,0.0100551,27.9011,2,13.9505,0,3,2.29376e-08,1
31,annealing_T=125_h=25,0.0461744,0.000497575,37.7172,2,18.8586,0,3,1.92091e-07,1,0.0446302,0.000708745,47.6907,2,23.8453,0,3,1.40331e-08,1
32,annealing_T=125_h=25,0.117917,0.0292493,50.7986,2,25.3993,0,3,3.40449e-07,1,0.449099,0.172996,7.12186,2,3.56093,0,3,1.48268e-06,1
33,annealing_T=125_h=25,0.155131,0.0577183,9.42153,2,4.71076,0,3,2.50581e-06,1,-0.637751,0.798429,8.93993,2,4.46996,0,3,6.12253e-06,1
34,annealing_T=125_h=25,0.0942096,0.0180109,37.7286,2,18.8643,0,3,3.10422e-08,1,0.222112,0.0575712,32.8338,2,16.4169,0,3,1.1764e-06,1
35,annealing_T=125_h=25,0.0917886,0.0104104,86.5363,2,43.2681,0,3,1.63732e-07,1,0.119698,0.0242222,136.149,2,68.0745,0,3,8.08846e-08,1
36,annealing_T=125_h=25,-0.327029,0.0894076,44.3644,2,22.1822,0,3,6.97787e-06,1,0.847658,0.0309452,17.2445,2,8.62227,4,1,0.00669447,0
37,annealing_T=125_h=25,-0.229624,0.0973119,14.4636,2,7.23182,0,3,2.55073e-07,1,0.30113,0.681381,0.688613,2,0.344307,0,3,1.91583e-06,1
38,annealing_T=125_h=25,0.118898,0.0124545,14.4209,2,7.21044,0,3,3.85746e-06,1,0.0900401,0.0220306,59.5158,2,29.7579,0,3,7.2192e-06,1
39,annealing_T=125_h=25,0.163128,0.0424378,14.1103,2,7.05516,0,3,2.17115e-06,1,0.282531,0.0677319,51.5513,2,25.7757,0,3,2.23389e-06,1
