spot,x,y,luminosity,error,T,v,phase,detection,status,integration_radius,integration_area,run_number,match_distance,geometry_source_phase,geometry_source_run,geometry_mode,deltaL1,deltaL2,deltaL,lambda,lambda_stat_error,deltaLambda,A,A_stat_error,fit_chi2,fit_ndf,fit_chi2ndf,fit_status,covmatrix_status,edm,fit_converged
0,68.69,809.26,98.4082,1.29953,17.0,56.13,annealing_T=100_h=25,present,present,20.0,1256.6370614359173,20260702-101218,1.746911560440329,annealing_T=100_h=25,20260702-101218,phase_detection,4.0104,3.3398,4.0104,0.0815639,0.00256762,0.00339248,22.6962,1.21641,82.3332,2,41.1666,0,3,3.14195e-08,1
0,68.69,809.26,98.9635,1.2408,19.0,56.24,annealing_T=100_h=25,present,present,20.0,1256.6370614359173,20260702-101218,1.746911560440329,annealing_T=100_h=25,20260702-101218,phase_detection,4.9099,4.3115,4.9099,0.0815639,0.00256762,0.00339248,22.6962,1.21641,82.3332,2,41.1666,0,3,3.14195e-08,1
0,68.69,809.26,123.915,1.40465,21.0,56.35,annealing_T=100_h=25,present,present,20.0,1256.6370614359173,20260702-101218,1.746911560440329,annealing_T=100_h=25,20260702-101218,phase_detection,1.344,3.921,3.921,0.0815639,0.00256762,0.00339248,22.6962,1.21641,82.3332,2,41.1666,0,3,3.14195e-08,1
0,68.69,809.26,151.119,1.2883,23.0,56.46,annealing_T=100_h=25,present,present,20.0,1256.6370614359173,20260702-101218,1.746911560440329,annealing_T=100_h=25,20260702-101218,phase_detection,8.202,4.56,8.202,0.0815639,0.00256762,0.00339248,22.6962,1.21641,82.3332,2,41.1666,0,3,3.14195e-08,1
1,81.52,96.0,79.2111,1.39234,17.0,56.13,annealing_T=100_h=25,present,present,20.0,1256.6370614359173,20260702-101218,1.6571059109181836,annealing_T=100_h=25,20260702-101218,phase_detection,3.2372,0.6975,3.2372,0.0517672,0.00298245,0.00750911,35.6501,2.19755,60.9249,2,30.4624,0,3,8.19684e-08,1
1,81.52,96.0,102.791,1.29841,19.0,56.24,annealing_T=100_h=25,present,present,20.0,1256.6370614359173,20260702-101218,1.6571059109181836,annealing_T=100_h=25,20260702-101218,phase_detection,2.21,1.955,2.21,0.0517672,0.00298245,0.00750911,35.6501,2.19755,60.9249,2,30.4624,0,3,8.19684e-08,1
1,81.52,96.0,106.869,1.51167,21.0,56.35,annealing_T=100_h=25,present,present,20.0,1256.6370614359173,20260702-101218,1.6571059109181836,annealing_T=100_h=25,20260702-101218,phase_detection,5.976,2.3,5.976,0.0517672,0.00298245,0.00750911,35.6501,2.19755,60.9249,2,30.4624,0,3,8.19684e-08,1
1,81.52,96.0,114.674,1.31322,23.0,56.46,annealing_T=100_h=25,present,present,20.0,1256.6370614359173,20260702-101218,1.6571059109181836,annealing_T=100_h=25,20260702-101218,phase_detection,3.482,4.061,4.061,0.0517672,0.00298245,0.00750911,35.6501,2.19755,60.9249,2,30.4624,0,3,8.19684e-08,1
2,140.2,258.36,3.85016,1.55761,17.0,56.13,annealing_T=100_h=25,absent,disappeared,20.0,1256.6370614359173,20260702-101218,0.9829038610159088,annealing_T=100_h=5,20260612-001017,previous_detection,1.77248,0.30796,1.77248,0.165762,0.0441888,0,0.365486,0.348409,78.6483,2,39.3241,0,3,3.3985e-07,1
2,140.2,258.36,17.7278,1.54788,19.0,56.24,annealing_T=100_h=25,absent,disappeared,20.0,1256.6370614359173,20260702-101218,0.9829038610159088,annealing_T=100_h=5,20260612-001017,previous_detection,1.0368,3.1698,3.1698,0.165762,0.0441888,0,0.365486,0.348409,78.6483,2,39.3241,0,3,3.3985e-07,1
