spot,phase,lambda_R16,lambdaerr_R16,chi2_R16,ndf_R16,chi2ndf_R16,fit_status_R16,covmatrix_status_R16,edm_R16,converged_R16,lambda_R24,lambdaerr_R24,chi2_R24,ndf_R24,chi2ndf_R24,fit_status_R24,covmatrix_status_R24,edm_R24,converged_R24
69,annealing_T=100_h=25,0.0569586,0.000304207,686.291,2,343.146,0,3,6.69643e-09,1,0.0570129,0.000379302,611.603,2,305.801,0,3,7.98387e-08,1
70,annealing_T=100_h=25,-0.039992,0.00685961,192.144,2,96.0721,0,3,2.1352e-07,1,-0.0624834,0.008471,359.936,2,179.968,0,3,1.40593e-07,1
71,annealing_T=100_h=25,0.0375225,0.00457479,19.0634,2,9.5317,0,3,1.24132e-07,1,0.0180111,0.00630145,1.47252,2,0.736259,0,3,5.72551e-07,1
72,annealing_T=100_h=25,0.0553872,0.00492546,79.7556,2,39.8778,0,3,4.04064e-08,1,0.0321976,0.00665907,28.9991,2,14.4996,0,3,2.11261e-07,1
73,annealing_T=100_h=25,0.105709,0.00316662,227.761,2,113.88,0,3,1.02821e-08,1,0.106495,0.00470401,100.026,2,50.0132,0,3,3.83916e-08,1
74,annealing_T=100_h=25,0.0890817,0.00320258,46.1936,2,23.0968,0,3,2.08946e-10,1,0.107821,0.00568587,161.102,2,80.5509,0,3,1.31136e-08,1
75,annealing_T=100_h=25,0.0561086,0.0018496,14.8621,2,7.43107,0,3,3.4172e-09,1,0.0662406,0.00302164,0.841842,2,0.420921,0,3,2.893e-07,1
76,annealing_T=100_h=25,0.0877867,0.00907501,33.5171,2,16.7585,0,3,5.23852e-07,1,0.100306,0.0196586,101.561,2,50.7803,0,3,1.21922e-08,1
77,annealing_T=100_h=25,0.0578712,0.00530151,5.81355,2,2.90678,0,3,2.33923e-09,1,0.00303985,0.00796156,7.66033,2,3.83017,0,3,3.61714e-07,1
78,annealing_T=100_h=25,0.095512,0.00543552,7.65631,2,3.82816,0,3,8.55353e-09,1,0.0585927,0.00934893,3.72349,2,1.86174,0,3,7.43498e-08,1
79,annealing_T=100_h=25,0.146382,0.0139464,103.819,2,51.9094,0,3,1.5093e-06,1,0.185603,0.0159442,19.3939,2,9.69695,0,3,9.23137e-06,1
80,annealing_T=100_h=25,0.0522486,0.000320816,570.914,2,285.457,0,3,2.47122e-06,1,0.0530845,0.000365093,650.982,2,325.491,0,3,5.9005e-07,1
81,annealing_T=100_h=25,0.0829144,0.00040932,0.417236,2,0.208618,0,3,7.87985e-07,1,0.0814767,0.000566823,81.1728,2,40.5864,0,3,1.69819e-07,1
82,annealing_T=100_h=25,0.105526,0.00535262,2.73833,2,1.36916,0,3,2.02899e-08,1,0.155938,0.00851261,45.705,2,22.8525,0,3,4.38174e-09,1
83,annealing_T=100_h=25,0.0608585,0.00311438,170.857,2,85.4284,0,3,2.12671e-06,1,0.0572114,0.00480172,107.022,2,53.5108,0,3,2.32466e-08,1
84,annealing_T=100_h=25,-1.55524,0.0573605,13.8655,2,6.93273,4,1,0.00282787,0,0.0529727,0.0519786,21.3311,2,10.6655,0,3,3.35935e-06,1
85,annealing_T=100_h=25,0.0845356,0.00139648,83.9907,2,41.9953,0,3,4.82112e-07,1,0.0837735,0.00164798,48.4512,2,24.2256,0,3,4.2803e-07,1
86,annealing_T=100_h=25,0.0299752,0.000768701,567.909,2,283.955,0,3,9.14854e-06,1,0.0296702,0.000987105,340.757,2,170.378,0,3,4.53163e-06,1
87,annealing_T=100_h=25,0.139701,0.0063043,42.8873,2,21.4437,0,3,2.01487e-08,1,0.129834,0.00815843,82.1481,2,41.074,0,3,5.93754e-06,1
88,annealing_T=100_h=25,-0.0534261,0.0140582,124.133,2,62.0667,0,3,2.55492e-07,1,-0.0793047,0.0253139,43.5839,2,21.7919,0,3,1.0209e-08,1
