spot,x,y,phase,A,A_stat_error,lambda,lambda_stat_error,deltaLambda,chi2,ndf,chi2ndf,prob,fit_status,covmatrix_status,edm,converged
0,68.69,809.26,annealing_T=100_h=25,22.6962,1.21641,0.0815639,0.00256762,0.00339248,82.3332,2,41.1666,1.32302e-18,0,3,3.14195e-08,1
1,81.52,96,annealing_T=100_h=25,35.6501,2.19755,0.0517672,0.00298245,0.00750911,60.9249,2,30.4624,5.89287e-14,0,3,8.19684e-08,1
2,140.2,258.36,annealing_T=100_h=25,0.365486,0.348409,0.165762,0.0441888,0,78.6483,2,39.3241,8.35103e-18,0,3,3.3985e-07,1
3,183.63,171.8,annealing_T=100_h=25,1587.07,6.10534,0.0427355,0.000187558,0.000440429,123.577,2,61.7885,1.46411e-27,0,3,3.62485e-09,1
4,194.68,519.88,annealing_T=100_h=25,48.4867,1.85551,0.0631758,0.00185692,0.00337268,6.33616,2,3.16808,0.0420843,0,3,5.93118e-06,1
5,232.24,758.05,annealing_T=100_h=25,0.0836883,0.207941,0.182776,0.114429,0,27.1678,2,13.5839,1.2606e-06,0,3,1.59544e-07,1
6,238.19,243.73,annealing_T=100_h=25,240.405,3.38728,0.0316408,0.000694926,0.00205922,251.833,2,125.917,2.06573e-55,0,3,2.35193e-08,1
7,254.7,351.14,annealing_T=100_h=25,230.386,9.50071,0.0515306,0.00207783,0.000762867,2698.4,2,1349.2,0,0,3,8.76428e-06,1
8,337.59,287.86,annealing_T=100_h=25,3.75171,0.495221,0.134886,0.00623999,0.0351159,15.4242,2,7.71212,0.000447371,0,3,5.58268e-06,1
9,357.87,846.42,annealing_T=100_h=25,2.22675,0.387127,0.150559,0.00805366,0.0152357,40.2054,2,20.1027,1.85995e-09,0,3,2.58526e-07,1
10,375.98,370.27,annealing_T=100_h=25,-4.07618,4.55215,-0.000204983,0.055177,0.0529261,59.9881,2,29.994,9.41355e-14,0,3,6.17084e-08,1
11,416.79,947.98,annealing_T=100_h=25,48.5996,3.73496,0.0328885,0.00380003,0.00869163,20.2432,2,10.1216,4.02022e-05,0,3,2.74626e-09,1
12,417.19,550.12,annealing_T=100_h=25,0.0855063,0.105133,0.235396,0.0560925,0.112888,23.4153,2,11.7077,8.23049e-06,0,3,3.96882e-06,1
13,426.46,72.47,annealing_T=100_h=25,18.4805,2.29809,0.0533656,0.00596666,0.00490785,126.68,2,63.3402,3.10237e-28,0,3,1.99376e-06,1
14,430.64,486.64,annealing_T=100_h=25,86.9963,1.28153,0.0778139,0.000705414,0.00208896,177.942,2,88.9709,2.2931e-39,0,3,4.36608e-07,1
