x,y,luminosity,error,T,v
574.81,851.94,467.987,3.23598,22.0,58.4
502.15,811.53,195.807,3.21588,22.0,58.4
1141.22,646.88,30.6242,2.65371,22.0,58.4
369.73,506.07,100.165,3.14001,22.0,58.4
1405.28,475.68,47.7379,3.11816,22.0,58.4
298.03,457.88,27.632,2.93634,22.0,58.4
1330.59,313.09,24.4911,2.94417,22.0,58.4
1498.72,262.79,19.3939,2.89943,22.0,58.4
1076.92,182.71,96.9338,3.67751,22.0,58.4
1811.47,172.1,54.2973,3.07866,22.0,58.4
681.68,69.42,60.2022,2.95823,22.0,58.4
845.61,69.6,14.5511,3.21807,22.0,58.4
