58.49, 1068.94, 213.00, 8.23
1865.00, 1078.21, 31.00, 3.14
1020.02, 1071.15, 90.00, 5.35
1263.48, 1072.83, 43.00, 3.70
1781.05, 1059.03, 178.00, 7.53
65.87, 1052.92, 84.00, 5.17
1900.38, 1044.35, 63.00, 4.48
611.86, 1035.24, 60.00, 4.37
1688.48, 1025.61, 44.00, 3.74
1445.83, 1002.52, 681.00, 14.72
870.62, 1007.52, 466.00, 12.18
505.52, 1001.14, 80.00, 5.05
1619.85, 985.50, 515.00, 12.80
1823.56, 989.91, 147.00, 6.84
1050.77, 957.10, 199.00, 7.96
176.75, 948.55, 286.00, 9.54
418.06, 951.26, 155.00, 7.02
1178.43, 928.75, 108.00, 5.86
1582.33, 923.47, 430.00, 11.70
1619.70, 909.74, 550.00, 13.23
153.24, 916.46, 222.00, 8.41
637.89, 918.27, 70.00, 4.72
1377.83, 911.08, 180.00, 7.57
1090.05, 909.82, 125.00, 6.31
1173.13, 912.63, 31.00, 3.14
671.01, 907.02, 91.00, 5.38
515.87, 884.89, 481.00, 12.37
1846.89, 885.12, 286.00, 9.54
1645.92, 877.87, 366.00, 10.79
1289.36, 873.11, 71.00, 4.75
1683.86, 870.79, 132.00, 6.48
1504.09, 861.84, 141.00, 6.70
358.16, 850.01, 193.00, 7.84
513.14, 851.12, 39.00, 3.52
969.71, 831.43, 37.00, 3.43
831.88, 826.60, 58.00, 4.30
1769.42, 826.04, 85.00, 5.20
69.26, 813.73, 452.00, 11.99
941.58, 808.12, 438.00, 11.81
1374.04, 809.34, 173.00, 7.42
990.12, 804.43, 262.00, 9.13
1586.24, 806.93, 35.00, 3.34
1052.63, 803.62, 114.00, 6.02
1268.91, 788.02, 767.00, 15.63
1723.57, 803.17, 100.00, 5.64
1223.48, 784.39, 100.00, 5.64
1282.36, 770.60, 36.00, 3.39
456.79, 770.30, 72.00, 4.79
1533.11, 762.11, 111.00, 5.94
412.21, 761.79, 95.00, 5.50
233.48, 761.22, 60.00, 4.37
950.33, 761.48, 44.00, 3.74
1.84, 737.68, 57.00, 4.26
908.93, 732.02, 320.00, 10.09
1760.26, 720.54, 78.00, 4.98
1546.07, 707.67, 273.00, 9.32
1618.39, 702.60, 40.00, 3.57
661.63, 689.99, 129.00, 6.41
1090.01, 687.57, 148.00, 6.86
1572.76, 680.31, 39.00, 3.52
786.38, 676.79, 65.00, 4.55
830.81, 669.15, 171.00, 7.38
1228.29, 666.95, 178.00, 7.53
1584.98, 648.59, 84.00, 5.17
1337.72, 625.12, 354.00, 10.62
1370.89, 628.09, 97.00, 5.56
1653.79, 627.35, 43.00, 3.70
808.78, 588.94, 245.00, 8.83
1255.02, 594.45, 83.00, 5.14
1181.42, 592.65, 85.00, 5.20
650.89, 575.06, 637.00, 14.24
873.89, 567.53, 32.00, 3.19
1851.49, 554.49, 262.00, 9.13
1782.42, 552.43, 171.00, 7.38
417.60, 553.28, 48.00, 3.91
1088.93, 522.72, 680.00, 14.71
1124.72, 533.50, 46.00, 3.83
596.07, 529.58, 59.00, 4.33
193.78, 524.04, 248.00, 8.88
1321.84, 528.71, 31.00, 3.14
1496.78, 506.18, 508.00, 12.72
429.34, 489.61, 476.00, 12.31
1046.30, 493.49, 112.00, 5.97
1244.63, 483.05, 170.00, 7.36
1772.36, 475.15, 235.00, 8.65
3.09, 449.91, 34.00, 3.29
649.24, 441.78, 138.00, 6.63
1148.15, 428.01, 74.00, 4.85
911.53, 407.07, 862.00, 16.56
