spot,phase,B_R16,Berr_R16,chi2_R16,ndf_R16,chi2ndf_R16,fit_status_R16,covmatrix_status_R16,edm_R16,converged_R16,B_R24,Berr_R24,chi2_R24,ndf_R24,chi2ndf_R24,fit_status_R24,covmatrix_status_R24,edm_R24,converged_R24
0,annealing_T=100_h=25,1.54061,0.0178537,7254.39,4,1813.6,0,3,8.20002e-06,1,1.28971,0.0301971,7125.37,4,1781.34,0,3,1.08652e-05,1
1,annealing_T=100_h=25,2.31562,0.02343,136.529,4,34.1322,0,3,8.96251e-06,1,2.32266,0.0328238,147.756,4,36.9389,0,3,3.01398e-06,1
2,annealing_T=100_h=25,2.53948,0.0619181,67.1931,4,16.7983,0,3,9.5316e-09,1,2.30031,0.0832726,144.537,4,36.1342,0,3,2.69202e-06,1
3,annealing_T=100_h=25,-0.139932,0.275178,32.7375,4,8.18437,0,3,2.29779e-07,1,-0.133741,0.152333,85.8972,4,21.4743,0,3,1.28124e-06,1
4,annealing_T=100_h=25,2.26383,0.00105784,16637.8,4,4159.45,0,3,1.2155e-08,1,2.33641,0.00125176,12742.3,4,3185.58,0,3,5.4618e-07,1
5,annealing_T=100_h=25,2.25054,0.0115478,41.2995,4,10.3249,0,3,4.34354e-07,1,2.32372,0.0168592,19.2003,4,4.80007,0,3,3.13929e-07,1
6,annealing_T=100_h=25,2.31671,0.166924,42.5722,4,10.643,0,3,1.37373e-07,1,-18.7258,580.162,109.422,4,27.3556,0,3,3.63183e-06,1
7,annealing_T=100_h=25,1.83469,0.00541613,145.907,4,36.4768,0,3,5.62201e-08,1,1.91067,0.0070185,154.969,4,38.7424,0,3,3.4447e-08,1
8,annealing_T=100_h=25,2.67851,0.0098361,1101.61,4,275.402,0,3,8.74438e-11,1,2.80642,0.0120561,673.685,4,168.421,0,3,4.94853e-09,1
9,annealing_T=100_h=25,1.6646,0.0350363,179.573,4,44.8931,0,3,3.47937e-07,1,1.88713,0.0511115,263.077,4,65.7692,0,3,1.44929e-07,1
10,annealing_T=100_h=25,2.02452,0.0345831,178.229,4,44.5572,0,3,1.33592e-05,1,2.52319,0.0691916,185.828,4,46.4571,0,3,9.31013e-06,1
11,annealing_T=100_h=25,2.68871,0.602088,162.248,4,40.5619,0,3,2.18524e-06,1,-0.498538,0.0998287,250.613,4,62.6534,0,3,2.61865e-08,1
12,annealing_T=100_h=25,1.49102,0.0184611,153.102,4,38.2756,0,3,9.54664e-08,1,1.47354,0.028003,358.37,4,89.5925,0,3,9.7674e-07,1
13,annealing_T=100_h=25,1.06688,0.131443,159.408,4,39.8521,0,3,3.24559e-07,1,15.1783,0.455646,98.3517,4,24.5879,4,1,0.00577199,0
14,annealing_T=100_h=25,2.21043,0.0400623,69.9489,4,17.4872,0,3,3.45116e-08,1,2.50768,0.0593501,142.815,4,35.7038,0,3,9.014e-06,1
15,annealing_T=100_h=25,2.05399,0.00430466,975.049,4,243.762,0,3,9.36328e-06,1,2.16003,0.00606312,827.629,4,206.907,0,3,6.11849e-08,1
16,annealing_T=100_h=25,1.535,0.117848,217.539,4,54.3847,0,3,7.5574e-06,1,-0.150021,0.087837,117.641,4,29.4102,0,3,4.00553e-07,1
17,annealing_T=100_h=25,2.63558,0.15327,297.301,4,74.3252,0,3,1.46994e-07,1,3.32526,0.269738,110.215,4,27.5538,0,3,7.61987e-07,1
18,annealing_T=100_h=25,1.91259,0.10097,47.6863,4,11.9216,0,3,1.66154e-07,1,1.63121,0.116119,40.1098,4,10.0274,0,3,3.98363e-07,1
19,annealing_T=100_h=25,1.67798,0.0261085,75.2572,4,18.8143,0,3,2.57691e-06,1,1.42763,0.0391253,107.194,4,26.7985,0,3,1.00621e-07,1
20,annealing_T=100_h=25,2.0833,0.00460417,212.997,4,53.2491,0,3,4.43366e-08,1,2.14104,0.00646418,338.385,4,84.5962,0,3,4.3185e-09,1
21,annealing_T=100_h=25,1.82419,0.0370776,114.429,4,28.6074,0,3,2.98848e-06,1,1.86379,0.0756139,74.7057,4,18.6764,0,3,5.07178e-08,1
22,annealing_T=100_h=25,15.0024,0.787507,44.8678,4,11.217,4,1,0.00468275,0,0.26437,0.277001,209.54,4,52.385,0,3,7.79333e-07,1
23,annealing_T=100_h=25,1.64831,0.0130731,35.282,4,8.82051,0,3,4.84203e-07,1,1.67568,0.0196402,45.5882,4,11.397,0,3,2.4939e-06,1
24,annealing_T=100_h=25,2.07959,0.0134713,101.152,4,25.288,0,3,3.91032e-06,1,2.24041,0.0207181,74.0361,4,18.509,0,3,1.57059e-06,1
25,annealing_T=100_h=25,1.70481,0.0219791,26.8478,4,6.71195,0,3,6.375e-07,1,1.66999,0.0316377,178.445,4,44.6112,0,3,6.46762e-07,1
26,annealing_T=100_h=25,1.88567,0.0495598,127.776,4,31.9441,0,3,1.67723e-08,1,2.44484,0.0877079,128.205,4,32.0513,0,3,3.49941e-08,1
27,annealing_T=100_h=25,1.48632,0.0304861,110.86,4,27.715,0,3,3.95034e-08,1,1.04898,0.0400676,136.98,4,34.2449,0,3,8.15768e-07,1
28,annealing_T=100_h=25,2.21957,0.0130031,200.114,4,50.0285,0,3,1.00682e-06,1,2.31502,0.0218248,336.954,4,84.2384,0,3,1.06908e-05,1
29,annealing_T=100_h=25,2.2185,0.0332892,185.88,4,46.4701,0,3,2.13152e-06,1,2.2784,0.0663618,460.06,4,115.015,0,3,1.58436e-06,1
30,annealing_T=100_h=25,0.115133,0.300507,170.68,4,42.6699,0,3,3.01862e-07,1,2.14105,0.251591,95.9927,4,23.9982,0,3,4.65226e-07,1
31,annealing_T=100_h=25,1.96231,0.0218135,89.4854,4,22.3714,0,3,7.12601e-07,1,2.12222,0.0280188,128.874,4,32.2186,0,3,3.47816e-07,1
