spot,x,y,luminosity,error,T,v,phase,detection,status,integration_radius,integration_area,run_number,match_distance,geometry_source_phase,geometry_source_run,geometry_mode,v_fin,deltaL1,deltaL2,deltaL,B,B_stat_error,deltaB,A,A_stat_error,fit_chi2,fit_ndf,fit_chi2ndf,fit_status,covmatrix_status,edm,fit_converged
0,67.49,808.27,22.7054,1.12926,20.0,52.3,annealing_T=100_h=25,present,present,20.0,1256.6370614359173,20260625-095817,1.1130588483993336,annealing_T=100_h=25,20260625-095817,phase_detection,1.0,3.3491,3.1543,3.3491,1.31224,0.0241647,0.228372,17.1428,0.682056,6947.68,4,1736.92,0,3,1.25981e-07,1
0,67.49,808.27,424.344,4.78838,20.0,53.3,annealing_T=100_h=25,present,present,20.0,1256.6370614359173,20260625-095817,1.1130588483993336,annealing_T=100_h=25,20260625-095817,phase_detection,2.0,7.25,3.534,7.25,1.31224,0.0241647,0.228372,17.1428,0.682056,6947.68,4,1736.92,0,3,1.25981e-07,1
0,67.49,808.27,63.3312,1.5237,20.0,54.3,annealing_T=100_h=25,present,present,20.0,1256.6370614359173,20260625-095817,1.1130588483993336,annealing_T=100_h=25,20260625-095817,phase_detection,3.0,2.4004,1.2342,2.4004,1.31224,0.0241647,0.228372,17.1428,0.682056,6947.68,4,1736.92,0,3,1.25981e-07,1
0,67.49,808.27,95.0996,1.38262,20.0,55.3,annealing_T=100_h=25,present,present,20.0,1256.6370614359173,20260625-095817,1.1130588483993336,annealing_T=100_h=25,20260625-095817,phase_detection,4.0,8.0735,2.1516,8.0735,1.31224,0.0241647,0.228372,17.1428,0.682056,6947.68,4,1736.92,0,3,1.25981e-07,1
0,67.49,808.27,115.619,1.6375,20.0,56.3,annealing_T=100_h=25,present,present,20.0,1256.6370614359173,20260625-095817,1.1130588483993336,annealing_T=100_h=25,20260625-095817,phase_detection,5.0,7.421,2.566,7.421,1.31224,0.0241647,0.228372,17.1428,0.682056,6947.68,4,1736.92,0,3,1.25981e-07,1
0,67.49,808.27,253.173,2.2225,20.0,58.3,annealing_T=100_h=25,present,present,20.0,1256.6370614359173,20260625-095817,1.1130588483993336,annealing_T=100_h=25,20260625-095817,phase_detection,7.0,3.803,3.144,3.803,1.31224,0.0241647,0.228372,17.1428,0.682056,6947.68,4,1736.92,0,3,1.25981e-07,1
1,80.35,95.15,8.34287,1.18749,20.0,52.3,annealing_T=100_h=25,present,present,20.0,1256.6370614359173,20260625-095817,1.2233151678941747,annealing_T=100_h=25,20260625-095817,phase_detection,1.0,5.26052,2.81603,5.26052,2.37396,0.0286321,0.0583445,2.32024,0.122065,116.495,4,29.1238,0,3,6.55138e-09,1
1,80.35,95.15,4.81445,1.22599,20.0,53.3,annealing_T=100_h=25,present,present,20.0,1256.6370614359173,20260625-095817,1.2233151678941747,annealing_T=100_h=25,20260625-095817,phase_detection,2.0,8.70115,10.47955,10.47955,2.37396,0.0286321,0.0583445,2.32024,0.122065,116.495,4,29.1238,0,3,6.55138e-09,1
1,80.35,95.15,24.2206,1.37969,20.0,54.3,annealing_T=100_h=25,present,present,20.0,1256.6370614359173,20260625-095817,1.2233151678941747,annealing_T=100_h=25,20260625-095817,phase_detection,3.0,7.4558,0.2857,7.4558,2.37396,0.0286321,0.0583445,2.32024,0.122065,116.495,4,29.1238,0,3,6.55138e-09,1
1,80.35,95.15,66.911,1.51604,20.0,55.3,annealing_T=100_h=25,present,present,20.0,1256.6370614359173,20260625-095817,1.2233151678941747,annealing_T=100_h=25,20260625-095817,phase_detection,4.0,0.622,2.5992,2.5992,2.37396,0.0286321,0.0583445,2.32024,0.122065,116.495,4,29.1238,0,3,6.55138e-09,1
1,80.35,95.15,112.826,1.69842,20.0,56.3,annealing_T=100_h=25,present,present,20.0,1256.6370614359173,20260625-095817,1.2233151678941747,annealing_T=100_h=25,20260625-095817,phase_detection,5.0,1.086,5.927,5.927,2.37396,0.0286321,0.0583445,2.32024,0.122065,116.495,4,29.1238,0,3,6.55138e-09,1
1,80.35,95.15,232.418,1.82031,20.0,58.3,annealing_T=100_h=25,present,present,20.0,1256.6370614359173,20260625-095817,1.2233151678941747,annealing_T=100_h=25,20260625-095817,phase_detection,7.0,5.927,5.21,5.927,2.37396,0.0286321,0.0583445,2.32024,0.122065,116.495,4,29.1238,0,3,6.55138e-09,1
2,93.48,353.17,-0.281203,1.11661,20.0,52.3,annealing_T=100_h=25,absent,absent,20.0,1256.6370614359173,20260625-095817,2.250377746068396,annealing_T=75_h=25,20260530-001924,previous_detection,1.0,5.385247,3.825823,5.385247,2.22065,0.071661,0.318832,1.13111,0.146517,107.194,4,26.7986,0,3,7.37101e-06,1
2,93.48,353.17,0.492186,1.14771,20.0,53.3,annealing_T=100_h=25,absent,absent,20.0,1256.6370614359173,20260625-095817,2.250377746068396,annealing_T=75_h=25,20260530-001924,previous_detection,2.0,0.139123,0.37151,0.37151,2.22065,0.071661,0.318832,1.13111,0.146517,107.194,4,26.7986,0,3,7.37101e-06,1
2,93.48,353.17,23.7198,1.34303,20.0,54.3,annealing_T=100_h=25,absent,absent,20.0,1256.6370614359173,20260625-095817,2.250377746068396,annealing_T=75_h=25,20260530-001924,previous_detection,3.0,5.2886,9.1614,9.1614,2.22065,0.071661,0.318832,1.13111,0.146517,107.194,4,26.7986,0,3,7.37101e-06,1
2,93.48,353.17,17.2659,1.49743,20.0,55.3,annealing_T=100_h=25,absent,absent,20.0,1256.6370614359173,20260625-095817,2.250377746068396,annealing_T=75_h=25,20260530-001924,previous_detection,4.0,7.7822,1.0016,7.7822,2.22065,0.071661,0.318832,1.13111,0.146517,107.194,4,26.7986,0,3,7.37101e-06,1
2,93.48,353.17,41.2213,1.43873,20.0,56.3,annealing_T=100_h=25,absent,absent,20.0,1256.6370614359173,20260625-095817,2.250377746068396,annealing_T=75_h=25,20260530-001924,previous_detection,5.0,4.2113,2.0451,4.2113,2.22065,0.071661,0.318832,1.13111,0.146517,107.194,4,26.7986,0,3,7.37101e-06,1
