spot,x,y,phase,A,A_stat_error,B,B_stat_error,deltaB,chi2,ndf,chi2ndf,prob,fit_status,covmatrix_status,edm,converged
0,67.49,808.27,annealing_T=100_h=25,17.1428,0.682056,1.31224,0.0241647,0.228372,6947.68,4,1736.92,0,0,3,1.25981e-07,1
1,80.35,95.15,annealing_T=100_h=25,2.32024,0.122065,2.37396,0.0286321,0.0583445,116.495,4,29.1238,2.99268e-24,0,3,6.55138e-09,1
2,93.48,353.17,annealing_T=100_h=25,1.13111,0.146517,2.22065,0.071661,0.318832,107.194,4,26.7986,2.88526e-22,0,3,7.37101e-06,1
3,138.96,256.94,annealing_T=100_h=25,-3.59815,0.86137,0.175445,0.192539,0.315377,53.3697,4,13.3424,7.13102e-11,0,3,6.34686e-06,1
4,182.47,171,annealing_T=100_h=25,96.7613,0.176688,2.30727,0.00117926,0.0434447,13882.1,4,3470.52,0,0,3,1.30325e-09,1
5,193.65,519.05,annealing_T=100_h=25,4.84945,0.121352,2.24641,0.0138235,0.0773099,2.56356,4,0.64089,0.633292,0,3,5.99593e-09,1
6,232.19,756.59,annealing_T=100_h=25,0.611563,0.31098,1.63259,0.300117,20.3584,134.925,4,33.7313,3.4421e-28,0,3,2.13256e-06,1
7,237.05,242.92,annealing_T=100_h=25,22.8629,0.236171,1.85986,0.00611678,0.050812,168.39,4,42.0976,2.31679e-35,0,3,5.96135e-07,1
8,253.63,350.34,annealing_T=100_h=25,7.79444,0.134178,2.7494,0.0109548,0.0708915,898.538,4,224.634,3.4554e-193,0,3,5.56644e-09,1
9,336.23,286.93,annealing_T=100_h=25,2.54346,0.206214,1.89424,0.0465626,0.229642,248.242,4,62.0606,1.55668e-52,0,3,2.46359e-07,1
10,356.62,845.52,annealing_T=100_h=25,1.10417,0.10688,2.3475,0.0533593,0.322985,160.182,4,40.0455,1.33634e-33,0,3,6.9335e-10,1
11,374.33,368.39,annealing_T=100_h=25,-6.17206,0.734752,-0.923804,0.187884,3.61251,292.354,4,73.0884,4.83094e-62,0,3,5.06205e-08,1
12,415.52,947.56,annealing_T=100_h=25,10.1558,0.385652,1.48762,0.0232907,0.0140841,280.623,4,70.1557,1.63586e-59,0,3,1.01068e-06,1
13,416.35,548.47,annealing_T=100_h=25,0.77029,0.341653,0.874928,0.245329,0,171.799,4,42.9496,4.2996e-36,0,3,4.56194e-08,1
14,425.02,71.36,annealing_T=100_h=25,1.64527,0.13275,2.23896,0.0452394,0.268722,132.908,4,33.2269,9.29994e-28,0,3,5.20107e-08,1
15,429.41,485.73,annealing_T=100_h=25,14.3652,0.12361,2.10712,0.00503347,0.053134,1089,4,272.25,1.83362e-234,0,3,5.55656e-07,1
16,502.6,998.15,annealing_T=100_h=25,6.79018,1.33976,0.659458,0.139218,0.875542,158.39,4,39.5975,3.23731e-33,0,3,4.66356e-10,1
17,596.16,526.59,annealing_T=100_h=25,0.110929,0.0372106,3.12554,0.181075,0.489958,208.749,4,52.1874,4.93594e-44,0,3,1.58561e-08,1
18,609.71,336.02,annealing_T=100_h=25,1.04771,0.221894,1.78712,0.120786,0.155911,55.4279,4,13.857,2.64293e-11,0,3,4.35261e-06,1
19,649.53,438.93,annealing_T=100_h=25,5.00421,0.255883,1.52295,0.0303168,0.155026,61.218,4,15.3045,1.60873e-12,0,3,7.04033e-07,1
20,649.51,573,annealing_T=100_h=25,14.9695,0.133747,2.12716,0.00523559,0.043855,458.24,4,114.56,7.18353e-98,0,3,1.91347e-08,1
21,660.72,687.03,annealing_T=100_h=25,1.58792,0.157581,1.88137,0.0571919,0.0571796,48.86,4,12.215,6.24499e-10,0,3,5.93775e-06,1
22,700.01,365.51,annealing_T=100_h=25,3.07698,0.694848,0.0951956,0.163504,0,114.082,4,28.5204,9.80013e-24,0,3,1.12974e-10,1
23,807.79,585.98,annealing_T=100_h=25,9.8326,0.271426,1.66551,0.0162039,0.0172046,39.5008,4,9.87521,5.48945e-08,0,3,8.71429e-08,1
24,816.29,314.14,annealing_T=100_h=25,4.9417,0.154359,2.19095,0.0175176,0.111363,114.5,4,28.625,7.97881e-24,0,3,6.29261e-06,1
25,868.35,1006.79,annealing_T=100_h=25,5.83231,0.261693,1.70421,0.0263996,0.0342162,49.0258,4,12.2565,5.76685e-10,0,3,2.27969e-07,1
26,1006.42,121.5,annealing_T=100_h=25,0.964311,0.122298,2.23044,0.0708925,0.34477,219.628,4,54.907,2.25397e-46,0,3,2.81656e-08,1
27,1048.46,956.01,annealing_T=100_h=25,6.9867,0.45076,1.3609,0.0386577,0.311924,156.349,4,39.0871,8.87013e-33,0,3,2.6972e-07,1
28,1051.09,802.87,annealing_T=100_h=25,4.02079,0.120747,2.24307,0.016738,0.0719488,240.481,4,60.1203,7.30794e-51,0,3,2.17624e-08,1
