spot,phase,B_R16,Berr_R16,chi2_R16,ndf_R16,chi2ndf_R16,fit_status_R16,covmatrix_status_R16,edm_R16,converged_R16,B_R24,Berr_R24,chi2_R24,ndf_R24,chi2ndf_R24,fit_status_R24,covmatrix_status_R24,edm_R24,converged_R24
0,annealing_T=125_h=25,2.8582,0.00345544,64670.6,4,16167.6,0,3,7.69023e-06,1,2.71468,0.004039,41261.4,4,10315.3,0,3,2.28633e-09,1
1,annealing_T=125_h=25,3.08533,0.193881,161.586,4,40.3965,0,3,3.32453e-07,1,6.99848,0.831591,222.032,4,55.5079,1,2,9.56163e-07,0
2,annealing_T=125_h=25,2.81164,0.190556,11.9651,4,2.99128,0,3,7.05353e-07,1,3.8137,0.364252,8.68652,4,2.17163,0,3,4.49023e-09,1
3,annealing_T=125_h=25,7.89851,1,3.70682,4,0.926705,3,1,0.00212274,0,14.4176,1.17109,28.1432,4,7.0358,4,1,0.00155865,0
4,annealing_T=125_h=25,2.28999,0.00109127,15180.7,4,3795.18,0,3,2.33301e-10,1,2.36198,0.00136782,11082,4,2770.49,0,3,2.08945e-10,1
5,annealing_T=125_h=25,2.58843,0.0308752,52.4048,4,13.1012,0,3,1.10476e-08,1,2.62038,0.0474691,150.5,4,37.6249,0,3,2.2512e-07,1
6,annealing_T=125_h=25,5.75483,4.54976,39.8472,4,9.96181,0,3,6.76275e-07,1,-24.38,2,47.4452,4,11.8613,0,3,6.01649e-12,1
7,annealing_T=125_h=25,1.91974,0.00971668,572.108,4,143.027,0,3,2.06071e-07,1,1.9929,0.0129214,239.527,4,59.8817,0,3,2.98376e-06,1
8,annealing_T=125_h=25,2.54573,0.00744579,830.748,4,207.687,0,3,7.86237e-08,1,2.65369,0.0115729,525.735,4,131.434,0,3,2.89855e-09,1
9,annealing_T=125_h=25,1.88044,0.051285,7.89752,4,1.97438,0,3,3.04316e-09,1,2.05291,0.0671261,28.6518,4,7.16295,0,3,6.86443e-06,1
10,annealing_T=125_h=25,2.8957,0.141652,67.7914,4,16.9478,0,3,3.05939e-06,1,3.73566,0.308162,131.696,4,32.924,0,3,6.68331e-06,1
11,annealing_T=125_h=25,2.50111,0.234259,33.9744,4,8.49361,0,3,2.23279e-09,1,3.26668,0.328633,107.561,4,26.8902,0,3,1.4639e-06,1
12,annealing_T=125_h=25,1.37924,0.0247071,243.883,4,60.9708,0,3,2.68223e-06,1,1.098,0.0434697,512.435,4,128.109,0,3,1.03402e-06,1
13,annealing_T=125_h=25,0.869616,0.168088,23.8298,4,5.95746,0,3,9.00349e-10,1,0.60053,0.22499,56.1496,4,14.0374,0,3,5.17973e-06,1
14,annealing_T=125_h=25,2.92329,0.0575187,99.4221,4,24.8555,0,3,4.39026e-06,1,3.08759,0.106637,35.0904,4,8.77261,0,3,5.57814e-08,1
15,annealing_T=125_h=25,1.72492,0.0118197,49.6709,4,12.4177,0,3,9.07263e-07,1,1.72132,0.017824,44.5921,4,11.148,0,3,6.09035e-07,1
16,annealing_T=125_h=25,0.681248,0.0894664,235.402,4,58.8504,0,3,9.2846e-06,1,0.875923,0.0689956,241.052,4,60.2631,0,3,8.83659e-09,1
17,annealing_T=125_h=25,2.93163,0.112613,179.689,4,44.9223,0,3,5.72578e-09,1,3.19807,0.198205,65.7184,4,16.4296,0,3,4.08454e-11,1
18,annealing_T=125_h=25,1.38691,0.0849009,88.8584,4,22.2146,0,3,1.26396e-07,1,1.74164,0.13951,44.9487,4,11.2372,0,3,7.85568e-06,1
19,annealing_T=125_h=25,1.37879,0.0194104,17.7934,4,4.44834,0,3,9.1293e-06,1,1.44035,0.029776,47.791,4,11.9477,0,3,1.81954e-06,1
20,annealing_T=125_h=25,2.31626,0.00533862,348.493,4,87.1232,0,3,3.52089e-08,1,2.42698,0.0067582,166.064,4,41.5161,0,3,1.05011e-06,1
21,annealing_T=125_h=25,2.17319,0.0434773,62.3319,4,15.583,0,3,5.5671e-08,1,1.92336,0.0680166,111.956,4,27.9891,0,3,3.45038e-08,1
22,annealing_T=125_h=25,3.56494,0.462905,73.8013,4,18.4503,0,3,1.98558e-08,1,3.34229,0.429343,121.226,4,30.3064,0,3,1.11778e-07,1
23,annealing_T=125_h=25,1.56474,0.0135162,101.677,4,25.4192,0,3,5.81956e-06,1,1.65602,0.0188951,13.8754,4,3.46886,0,3,1.50155e-06,1
24,annealing_T=125_h=25,1.71565,0.26405,45.0596,4,11.2649,0,3,9.77638e-07,1,3.43542,0.664282,180.241,4,45.0601,0,3,3.12043e-07,1
25,annealing_T=125_h=25,1.6452,0.0347141,33.7902,4,8.44755,0,3,3.42626e-08,1,1.86961,0.059444,38.3644,4,9.59111,0,3,3.38355e-07,1
26,annealing_T=125_h=25,2.00466,0.285212,60.8919,4,15.223,0,3,3.1161e-07,1,5.14455,3.49175,22.0065,4,5.50162,0,3,1.63655e-05,1
27,annealing_T=125_h=25,7.05944,0.15098,730.365,4,182.591,0,3,1.72737e-07,1,8.12259,4.77945,470.221,4,117.555,0,3,6.85574e-06,1
28,annealing_T=125_h=25,3.17635,0.395664,32.4425,4,8.11062,0,3,7.26716e-08,1,-21.5904,576.536,55.1358,4,13.784,0,3,4.69173e-06,1
29,annealing_T=125_h=25,-0.440731,0.562195,71.7983,4,17.9496,0,3,5.4112e-08,1,-0.171794,0.144038,33.1907,4,8.29767,0,3,5.43168e-07,1
30,annealing_T=125_h=25,3.52601,1.06402,123.424,4,30.856,0,3,3.9635e-10,1,5.19611,1.62081,205.362,4,51.3406,0,3,2.11629e-06,1
31,annealing_T=125_h=25,2.15932,0.0214205,130.152,4,32.5381,0,3,2.17968e-07,1,2.27722,0.0323134,199.326,4,49.8316,0,3,6.10132e-07,1
32,annealing_T=125_h=25,1.66604,0.0554298,342.119,4,85.5298,0,3,3.54585e-06,1,1.6667,0.207557,642.83,4,160.708,0,3,1.52822e-07,1
33,annealing_T=125_h=25,1.52446,0.00241172,518.125,4,129.531,0,3,4.05532e-08,1,1.56893,0.00332849,738.344,4,184.586,0,3,6.16894e-06,1
34,annealing_T=125_h=25,1.96409,0.075164,125.259,4,31.3148,0,3,2.32264e-06,1,2.93927,0.138698,137.623,4,34.4058,0,3,1.82792e-06,1
