spot,x,y,luminosity,error,T,v,phase,detection,status,integration_radius,integration_area,run_number,match_distance,geometry_source_phase,geometry_source_run,geometry_mode,v_fin,deltaL1,deltaL2,deltaL,B,B_stat_error,deltaB,A,A_stat_error,fit_chi2,fit_ndf,fit_chi2ndf,fit_status,covmatrix_status,edm,fit_converged
0,67.93,806.18,21.5614,1.08141,20.0,52.3,annealing_T=125_h=25,present,present,20.0,1256.6370614359173,20260827-053720,3.201405941145289,annealing_T=125_h=25,20260827-053720,phase_detection,1.0,2.3252,1.3371,2.3252,2.7957,0.00365089,0.0810212,13.7077,0.0912483,56435.9,4,14109,0,3,4.53695e-09,1
0,67.93,806.18,45.8716,1.3005,20.0,53.3,annealing_T=125_h=25,present,present,20.0,1256.6370614359173,20260827-053720,3.201405941145289,annealing_T=125_h=25,20260827-053720,phase_detection,2.0,5.0465,5.421,5.421,2.7957,0.00365089,0.0810212,13.7077,0.0912483,56435.9,4,14109,0,3,4.53695e-09,1
0,67.93,806.18,98.4556,1.31293,20.0,54.3,annealing_T=125_h=25,present,present,20.0,1256.6370614359173,20260827-053720,3.201405941145289,annealing_T=125_h=25,20260827-053720,phase_detection,3.0,6.1094,1.3083,6.1094,2.7957,0.00365089,0.0810212,13.7077,0.0912483,56435.9,4,14109,0,3,4.53695e-09,1
0,67.93,806.18,918.711,6.47148,20.0,55.3,annealing_T=125_h=25,present,present,20.0,1256.6370614359173,20260827-053720,3.201405941145289,annealing_T=125_h=25,20260827-053720,phase_detection,4.0,1.894,12.02,12.02,2.7957,0.00365089,0.0810212,13.7077,0.0912483,56435.9,4,14109,0,3,4.53695e-09,1
0,67.93,806.18,1603.9,2.27588,20.0,56.3,annealing_T=125_h=25,present,present,20.0,1256.6370614359173,20260827-053720,3.201405941145289,annealing_T=125_h=25,20260827-053720,phase_detection,5.0,15.64,27.83,27.83,2.7957,0.00365089,0.0810212,13.7077,0.0912483,56435.9,4,14109,0,3,4.53695e-09,1
0,67.93,806.18,2917.29,3.703,20.0,58.3,annealing_T=125_h=25,present,present,20.0,1256.6370614359173,20260827-053720,3.201405941145289,annealing_T=125_h=25,20260827-053720,phase_detection,7.0,41.66,74.2,74.2,2.7957,0.00365089,0.0810212,13.7077,0.0912483,56435.9,4,14109,0,3,4.53695e-09,1
1,79.17,93.67,-4.15468,1.20738,20.0,52.3,annealing_T=125_h=25,absent,disappeared,20.0,1256.6370614359173,20260827-053720,3.0142494919963054,annealing_T=125_h=5,20260723-075232,previous_detection,1.0,1.78483,3.453674,3.453674,3.34824,0.314951,0,0.0492704,0.0291524,234.212,4,58.5529,0,3,1.5155e-06,1
1,79.17,93.67,10.8698,1.21722,20.0,53.3,annealing_T=125_h=25,absent,disappeared,20.0,1256.6370614359173,20260827-053720,3.0142494919963054,annealing_T=125_h=5,20260723-075232,previous_detection,2.0,4.46741,3.76232,4.46741,3.34824,0.314951,0,0.0492704,0.0291524,234.212,4,58.5529,0,3,1.5155e-06,1
1,79.17,93.67,-12.5262,1.24893,20.0,54.3,annealing_T=125_h=25,absent,disappeared,20.0,1256.6370614359173,20260827-053720,3.0142494919963054,annealing_T=125_h=5,20260723-075232,previous_detection,3.0,6.4678,4.91348,6.4678,3.34824,0.314951,0,0.0492704,0.0291524,234.212,4,58.5529,0,3,1.5155e-06,1
1,79.17,93.67,9.85236,1.40608,20.0,55.3,annealing_T=125_h=25,absent,disappeared,20.0,1256.6370614359173,20260827-053720,3.0142494919963054,annealing_T=125_h=5,20260723-075232,previous_detection,4.0,11.82033,2.22704,11.82033,3.34824,0.314951,0,0.0492704,0.0291524,234.212,4,58.5529,0,3,1.5155e-06,1
1,79.17,93.67,13.6276,1.53827,20.0,56.3,annealing_T=125_h=25,absent,disappeared,20.0,1256.6370614359173,20260827-053720,3.0142494919963054,annealing_T=125_h=5,20260723-075232,previous_detection,5.0,8.58204,1.1973,8.58204,3.34824,0.314951,0,0.0492704,0.0291524,234.212,4,58.5529,0,3,1.5155e-06,1
1,79.17,93.67,32.0182,2.00379,20.0,58.3,annealing_T=125_h=25,absent,disappeared,20.0,1256.6370614359173,20260827-053720,3.0142494919963054,annealing_T=125_h=5,20260723-075232,previous_detection,7.0,10.2911,6.1788,10.2911,3.34824,0.314951,0,0.0492704,0.0291524,234.212,4,58.5529,0,3,1.5155e-06,1
2,93.48,353.17,-0.680776,1.16159,20.0,52.3,annealing_T=125_h=25,absent,absent,20.0,1256.6370614359173,20260827-053720,2.250377746068396,annealing_T=75_h=25,20260530-001924,previous_detection,1.0,1.159354,0.684964,1.159354,3.53318,0.282232,0.721538,0.0472582,0.0252038,32.1299,4,8.03246,0,3,2.68716e-06,1
2,93.48,353.17,-4.2744,1.26998,20.0,53.3,annealing_T=125_h=25,absent,absent,20.0,1256.6370614359173,20260827-053720,2.250377746068396,annealing_T=75_h=25,20260530-001924,previous_detection,2.0,5.69371,5.58414,5.69371,3.53318,0.282232,0.721538,0.0472582,0.0252038,32.1299,4,8.03246,0,3,2.68716e-06,1
2,93.48,353.17,5.72783,1.42564,20.0,54.3,annealing_T=125_h=25,absent,absent,20.0,1256.6370614359173,20260827-053720,2.250377746068396,annealing_T=75_h=25,20260530-001924,previous_detection,3.0,0.92071,0.5272,0.92071,3.53318,0.282232,0.721538,0.0472582,0.0252038,32.1299,4,8.03246,0,3,2.68716e-06,1
