spot,x,y,phase,A,A_stat_error,B,B_stat_error,deltaB,chi2,ndf,chi2ndf,prob,fit_status,covmatrix_status,edm,converged
0,67.93,806.18,annealing_T=125_h=25,13.7077,0.0912483,2.7957,0.00365089,0.0810212,56435.9,4,14109,0,0,3,4.53695e-09,1
1,79.17,93.67,annealing_T=125_h=25,0.0492704,0.0291524,3.34824,0.314951,0,234.212,4,58.5529,1.63638e-49,0,3,1.5155e-06,1
2,93.48,353.17,annealing_T=125_h=25,0.0472582,0.0252038,3.53318,0.282232,0.721538,32.1299,4,8.03246,1.79968e-06,0,3,2.68716e-06,1
3,138.96,256.94,annealing_T=125_h=25,3.9472e-08,0,9.8391,0,0,35.4643,4,8.86607,3.72923e-07,4,0,8.76252e-06,0
4,183.17,168.72,annealing_T=125_h=25,103.655,0.199994,2.32603,0.00122962,0.0360395,13667.1,4,3416.77,0,0,3,6.30611e-09,1
5,193.75,516.56,annealing_T=125_h=25,1.35432,0.0924205,2.59751,0.0370278,0.022875,115.296,4,28.8241,5.39502e-24,0,3,1.88968e-08,1
6,232.19,756.59,annealing_T=125_h=25,8.2873e-11,8.10044e-11,13.379,0.52775,37.759,102.232,4,25.5581,3.29234e-21,4,1,0.0058267,0
7,237.8,240.49,annealing_T=125_h=25,11.0704,0.210735,1.90482,0.011045,0.0880828,439.357,4,109.839,8.68062e-94,0,3,1.58369e-06,1
8,253.87,348.03,annealing_T=125_h=25,4.89267,0.0900387,2.62688,0.0100563,0.0811521,652.696,4,163.174,6.07976e-140,0,3,6.33036e-08,1
9,335.34,285.55,annealing_T=125_h=25,1.37504,0.149807,2.01664,0.0616671,0.136205,3.39055,4,0.847637,0.494715,0,3,6.20684e-07,1
10,354.9,844.27,annealing_T=125_h=25,0.0767949,0.0332365,3.36432,0.228185,0.46862,110.061,4,27.5151,7.06448e-23,0,3,1.56685e-05,1
11,374.33,368.39,annealing_T=125_h=25,0.0287979,0.0214473,3.07455,0.399438,0.573435,100.545,4,25.1362,7.53149e-21,0,3,1.77885e-07,1
12,415.54,945.59,annealing_T=125_h=25,6.93362,0.385634,1.34186,0.033527,0.243861,450.098,4,112.525,4.13674e-96,0,3,1.54101e-08,1
13,416.35,548.47,annealing_T=125_h=25,5.7616,1.05504,0.256825,0.150364,0.612791,35.3583,4,8.83958,3.92098e-07,0,3,7.04311e-08,1
14,424.55,70.4,annealing_T=125_h=25,0.245189,0.0365946,3.06189,0.079601,0.138602,54.892,4,13.723,3.42282e-11,0,3,9.00904e-10,1
