spot,x,y,phase,A,A_stat_error,B,B_stat_error,deltaB,chi2,ndf,chi2ndf,prob,fit_status,covmatrix_status,edm,converged
0,67.22,808.62,annealing_T=100_h=5,38.9009,0.418149,1.70098,0.00751336,0.0159482,3602.12,4,900.529,0,0,3,4.59133e-10,1
1,80.54,95.42,annealing_T=100_h=5,3.13739,0.104672,2.3561,0.0187149,0.0457735,87.4839,4,21.871,4.50647e-18,0,3,1.05465e-07,1
2,93.48,353.17,annealing_T=100_h=5,0.314082,0.0667088,2.87342,0.115037,0.51638,45.9055,4,11.4764,2.57688e-09,0,3,1.60642e-06,1
3,138.96,256.94,annealing_T=100_h=5,8.70718,0.256673,1.6405,0.0174204,0.0550391,65.3098,4,16.3274,2.21418e-13,0,3,6.74605e-07,1
4,182.36,171.23,annealing_T=100_h=5,68.5537,0.170639,2.45333,0.00153133,0.0369177,7674.16,4,1918.54,0,0,3,4.02835e-06,1
5,193.35,519.21,annealing_T=100_h=5,3.89315,0.0917805,2.5361,0.0130876,0.0281924,106.615,4,26.6538,3.83415e-22,0,3,2.03961e-07,1
6,232.19,756.59,annealing_T=100_h=5,0.216342,0.0488703,3.04704,0.122619,0.642533,64.0183,4,16.0046,4.14231e-13,0,3,7.31946e-10,1
7,236.92,243.1,annealing_T=100_h=5,26.2521,0.271971,1.69822,0.00609731,0.0375649,214.184,4,53.5461,3.34376e-45,0,3,1.28597e-05,1
8,253.46,350.66,annealing_T=100_h=5,5.66261,0.119,2.62587,0.0120272,0.125123,684.161,4,171.04,9.36815e-147,0,3,2.29527e-06,1
9,336.09,286.89,annealing_T=100_h=5,6.69061,0.320547,1.31573,0.0290553,0.0245939,11.6427,4,2.91067,0.020216,0,3,7.57784e-07,1
10,356.47,845.67,annealing_T=100_h=5,1.35765,0.124693,2.36974,0.0502278,0.36535,260.585,4,65.1461,3.41206e-55,0,3,2.05336e-06,1
11,374.33,368.39,annealing_T=100_h=5,-4.40785e-08,1.25832e-07,9.78637,1.46734,0,416.089,4,104.022,9.28141e-89,1,2,9.84797e-07,0
12,415.3,947.76,annealing_T=100_h=5,11.2867,0.257773,1.87457,0.0131735,0.0513147,59.1933,4,14.7983,4.28559e-12,0,3,1.72083e-08,1
13,416.35,548.47,annealing_T=100_h=5,3.60696,1.02406,0.766257,0.195932,0.514253,17.8009,4,4.45024,0.00134968,0,3,1.58418e-08,1
14,425.07,72.12,annealing_T=100_h=5,3.36228,0.132963,2.26365,0.0218336,0.0181333,178.263,4,44.5658,1.76004e-37,0,3,2.50686e-06,1
15,429.25,486.11,annealing_T=100_h=5,20.3273,0.177345,2.00496,0.00512911,0.0318768,91.3504,4,22.8376,6.80132e-19,0,3,1.96187e-08,1
16,502.6,998.15,annealing_T=100_h=5,4.26994,0.204507,1.88946,0.0277641,0.0846201,270.906,4,67.7265,2.03478e-57,0,3,2.89038e-08,1
17,596.16,526.59,annealing_T=100_h=5,0.234142,0.0606389,2.87352,0.139127,0.357725,74.0413,4,18.5103,3.17796e-15,0,3,4.91622e-10,1
18,609.71,336.02,annealing_T=100_h=5,2.5987,0.448253,1.42933,0.103675,0.126915,92.8617,4,23.2154,3.24639e-19,0,3,3.96411e-07,1
19,649.29,439.88,annealing_T=100_h=5,4.59344,0.290719,1.54056,0.037615,0.0913598,96.1789,4,24.0447,6.39745e-20,0,3,6.53281e-06,1
20,649.37,573.38,annealing_T=100_h=5,18.3182,0.117977,2.31362,0.00382535,0.0433871,45.224,4,11.306,3.57165e-09,0,3,9.01676e-09,1
21,660.26,687.43,annealing_T=100_h=5,1.09356,0.0893364,2.44879,0.044409,0.182035,11.0639,4,2.76599,0.0258547,0,3,3.26103e-06,1
22,700.01,365.51,annealing_T=100_h=5,-0.34542,0.131682,2.01565,0.211491,0.150779,142.455,4,35.6137,8.41486e-30,0,3,4.8677e-09,1
23,807.66,586.66,annealing_T=100_h=5,12.9308,0.296011,1.64404,0.0134945,0.0449889,228.933,4,57.2332,2.24052e-48,0,3,1.19891e-09,1
24,816.32,314.58,annealing_T=100_h=5,2.74414,0.145686,2.20417,0.0294465,0.013789,20.3532,4,5.0883,0.000425271,0,3,6.68886e-06,1
25,867.88,1006.79,annealing_T=100_h=5,8.08638,0.142261,2.16402,0.00999024,0.0725071,171.236,4,42.8091,5.67678e-36,0,3,2.32661e-06,1
26,1006.17,122.33,annealing_T=100_h=5,4.77948,0.373883,1.34588,0.0467656,0.11006,104.138,4,26.0345,1.2929e-21,0,3,4.21954e-08,1
27,1047.89,956.52,annealing_T=100_h=5,14.3092,0.217182,1.90124,0.00895195,0.0337894,76.5914,4,19.1478,9.17777e-16,0,3,4.42468e-07,1
28,1050.78,803.41,annealing_T=100_h=5,1.25542,0.0787833,2.45087,0.0343176,0.17455,116.903,4,29.2258,2.44877e-24,0,3,6.70365e-08,1
