spot,phase,B_R16,Berr_R16,chi2_R16,ndf_R16,chi2ndf_R16,fit_status_R16,covmatrix_status_R16,edm_R16,converged_R16,B_R24,Berr_R24,chi2_R24,ndf_R24,chi2ndf_R24,fit_status_R24,covmatrix_status_R24,edm_R24,converged_R24
0,annealing_T=100_h=5,1.68503,0.00571671,3284.4,4,821.099,0,3,6.43948e-09,1,1.68923,0.00903258,3861.75,4,965.438,0,3,7.82965e-07,1
1,annealing_T=100_h=5,2.38295,0.0148533,100.768,4,25.1919,0,3,7.15747e-06,1,2.31033,0.0212148,45.468,4,11.367,0,3,1.10367e-07,1
2,annealing_T=100_h=5,2.79442,0.0988051,41.4072,4,10.3518,0,3,3.32839e-06,1,3.3898,0.189726,90.7862,4,22.6966,0,3,1.53633e-07,1
3,annealing_T=100_h=5,1.65957,0.0151042,21.0355,4,5.25886,0,3,4.76473e-06,1,1.58546,0.0195272,88.1486,4,22.0372,0,3,1.32793e-06,1
4,annealing_T=100_h=5,2.41641,0.00138119,9097.78,4,2274.45,0,3,1.55861e-07,1,2.48131,0.00163267,6813.39,4,1703.35,0,3,9.55732e-08,1
5,annealing_T=100_h=5,2.52256,0.0114726,279.486,4,69.8715,0,3,2.08151e-08,1,2.56429,0.0154939,59.1135,4,14.7784,0,3,1.65928e-05,1
6,annealing_T=100_h=5,2.87859,0.0924981,20.6917,4,5.17292,0,3,3.85372e-07,1,3.68957,0.215105,47.4646,4,11.8661,0,3,2.34413e-06,1
7,annealing_T=100_h=5,1.73578,0.00520973,324.936,4,81.2339,0,3,5.46333e-08,1,1.727,0.00683135,136.557,4,34.1392,0,3,1.02396e-05,1
8,annealing_T=100_h=5,2.50075,0.0104536,1272.76,4,318.189,0,3,3.99289e-08,1,2.66057,0.0135272,552.581,4,138.145,0,3,1.30004e-05,1
9,annealing_T=100_h=5,1.34032,0.0251711,66.5902,4,16.6476,0,3,1.06858e-05,1,1.29356,0.0329292,40.9325,4,10.2331,0,3,1.11587e-05,1
10,annealing_T=100_h=5,2.00439,0.0327008,457.072,4,114.268,0,3,9.96913e-09,1,2.56213,0.0573809,124.67,4,31.1675,0,3,6.8362e-07,1
11,annealing_T=100_h=5,-0.00227446,0.353797,466.731,4,116.683,0,3,1.20209e-08,1,8.09544,1.46467,326.825,4,81.7063,1,2,5.20392e-08,0
12,annealing_T=100_h=5,1.82326,0.0107068,59.9606,4,14.9901,0,3,3.04036e-06,1,1.90952,0.0149289,81.842,4,20.4605,0,3,2.44007e-06,1
13,annealing_T=100_h=5,0.97245,0.123433,1.85792,4,0.46448,0,3,5.51708e-08,1,1.28051,0.328674,32.3301,4,8.08253,0,3,2.82376e-09,1
14,annealing_T=100_h=5,2.28178,0.0198809,200.338,4,50.0845,0,3,7.03203e-09,1,2.27293,0.0256769,159.085,4,39.7711,0,3,1.31528e-06,1
15,annealing_T=100_h=5,1.97308,0.00445509,177.067,4,44.2668,0,3,2.74874e-07,1,2.02321,0.0060726,159.969,4,39.9923,0,3,4.02007e-08,1
16,annealing_T=100_h=5,1.86516,0.0201997,368.1,4,92.0249,0,3,3.37298e-08,1,1.97408,0.0337005,123.682,4,30.9206,0,3,2.27111e-07,1
17,annealing_T=100_h=5,2.5158,0.105496,37.4245,4,9.35613,0,3,4.12561e-09,1,3.18811,0.174167,153.792,4,38.4481,0,3,2.3122e-07,1
18,annealing_T=100_h=5,1.36896,0.0787402,74.0391,4,18.5098,0,3,7.34376e-08,1,1.55624,0.108426,33.01,4,8.2525,0,3,8.4576e-06,1
19,annealing_T=100_h=5,1.55141,0.0333569,111.118,4,27.7796,0,3,1.01954e-06,1,1.63192,0.0514252,156.23,4,39.0575,0,3,3.2529e-06,1
20,annealing_T=100_h=5,2.27023,0.00348264,76.8738,4,19.2184,0,3,7.72298e-06,1,2.35159,0.00453248,31.7437,4,7.93592,0,3,9.77044e-10,1
21,annealing_T=100_h=5,2.63082,0.0322312,124.528,4,31.1319,0,3,8.9064e-08,1,2.45561,0.06242,17.6395,4,4.40988,0,3,2.60619e-09,1
22,annealing_T=100_h=5,1.86487,0.269237,80.5003,4,20.1251,0,3,1.31833e-10,1,1.99503,0.206106,163.775,4,40.9437,0,3,7.67555e-07,1
23,annealing_T=100_h=5,1.59905,0.0113087,228.612,4,57.1529,0,3,7.61526e-06,1,1.6548,0.0169018,266.312,4,66.578,0,3,1.078e-07,1
24,annealing_T=100_h=5,2.20255,0.0238521,29.7408,4,7.4352,0,3,1.87374e-07,1,2.19038,0.039271,45.8642,4,11.466,0,3,1.3851e-09,1
25,annealing_T=100_h=5,2.09518,0.00867193,221.73,4,55.4324,0,3,2.97054e-09,1,2.23653,0.0116165,230.894,4,57.7235,0,3,2.56456e-08,1
26,annealing_T=100_h=5,1.3137,0.0386952,168.512,4,42.128,0,3,1.2024e-07,1,1.45594,0.0526045,74.8364,4,18.7091,0,3,3.29558e-07,1
27,annealing_T=100_h=5,1.87604,0.00738822,83.1832,4,20.7958,0,3,1.71332e-06,1,1.93503,0.0101837,62.281,4,15.5703,0,3,6.57991e-08,1
28,annealing_T=100_h=5,2.27632,0.0241021,179.969,4,44.9922,0,3,2.95787e-06,1,2.46669,0.0480132,90.7419,4,22.6855,0,3,6.35263e-06,1
29,annealing_T=100_h=5,1.99116,0.0333342,21.7857,4,5.44642,0,3,8.97925e-09,1,1.60875,0.0548244,18.7303,4,4.68259,0,3,2.65325e-08,1
30,annealing_T=100_h=5,1.7685,0.085556,1943.4,4,485.85,0,3,1.10038e-06,1,1.1812,0.128682,1092.25,4,273.062,0,3,7.17833e-09,1
31,annealing_T=100_h=5,2.32846,0.0190472,81.0074,4,20.2518,0,3,1.2411e-06,1,2.61326,0.0293903,132.002,4,33.0004,0,3,6.72722e-08,1
32,annealing_T=100_h=5,1.15229,0.0281893,135.064,4,33.766,0,3,4.45985e-09,1,0.832667,0.0366727,125.272,4,31.3179,0,3,1.92476e-06,1
33,annealing_T=100_h=5,1.61749,0.000952598,1010.87,4,252.717,0,3,2.43318e-09,1,1.64402,0.00119918,1507.7,4,376.924,0,3,9.06779e-11,1
34,annealing_T=100_h=5,2.35256,0.0640499,196.826,4,49.2066,0,3,1.36666e-06,1,2.92324,0.108591,249.216,4,62.304,0,3,2.35542e-07,1
35,annealing_T=100_h=5,-0.675897,0.0968032,198.012,4,49.5031,0,3,2.4957e-07,1,1.01671,0.131071,51.6447,4,12.9112,0,3,1.23078e-08,1
36,annealing_T=100_h=5,1.88934,0.00680615,3863.7,4,965.925,0,3,6.74174e-06,1,1.97422,0.00880189,2721.52,4,680.379,0,3,4.99632e-08,1
37,annealing_T=100_h=5,2.1921,0.0451774,136.099,4,34.0247,0,3,9.57129e-07,1,2.22379,0.0692134,69.25,4,17.3125,0,3,2.18324e-09,1
38,annealing_T=100_h=5,1.23304,0.00423821,5362.86,4,1340.71,0,3,3.02747e-10,1,1.19562,0.00672585,2938,4,734.501,0,3,6.01229e-06,1
39,annealing_T=100_h=5,2.61246,0.0392787,109.288,4,27.3219,0,3,2.4336e-09,1,2.84745,0.0681978,125.253,4,31.3132,0,3,7.0646e-07,1
40,annealing_T=100_h=5,0.430952,0.0990437,278.33,4,69.5824,0,3,2.68375e-06,1,14.5218,0.344687,150.326,4,37.5816,4,1,0.0443352,0
41,annealing_T=100_h=5,0.715836,0.0563351,36.8785,4,9.21964,0,3,4.15613e-09,1,-0.0269141,0.0839888,51.2706,4,12.8177,0,3,1.44541e-08,1
42,annealing_T=100_h=5,1.73689,0.0366369,35.7866,4,8.94664,0,3,1.2886e-05,1,2.04838,0.0620017,49.9883,4,12.4971,0,3,1.94333e-08,1
43,annealing_T=100_h=5,2.31649,0.027057,22.2108,4,5.55271,0,3,2.55574e-06,1,2.23993,0.0385543,6.417,4,1.60425,0,3,1.15134e-06,1
44,annealing_T=100_h=5,2.34374,0.0829524,105.556,4,26.389,0,3,1.90884e-07,1,2.36067,0.0972434,66.9074,4,16.7269,0,3,7.70363e-06,1
45,annealing_T=100_h=5,1.86124,0.0121243,124.952,4,31.2379,0,3,2.09374e-06,1,1.87478,0.018492,143.233,4,35.8083,0,3,1.03148e-06,1
46,annealing_T=100_h=5,2.18212,0.0132973,194.108,4,48.527,0,3,1.05836e-07,1,2.34366,0.0200259,322.342,4,80.5856,0,3,3.14679e-09,1
47,annealing_T=100_h=5,3.22174,0.0344187,369.938,4,92.4846,0,3,6.5015e-10,1,3.62173,0.0569191,254.311,4,63.5779,0,3,7.3113e-07,1
48,annealing_T=100_h=5,2.17987,0.00973073,222.674,4,55.6686,0,3,1.71452e-06,1,2.13091,0.0136551,156.508,4,39.1271,0,3,4.93746e-07,1
49,annealing_T=100_h=5,3.0005,0.00502326,229.358,4,57.3396,0,3,2.21316e-08,1,3.03965,0.00642206,372.696,4,93.1739,0,3,2.24112e-08,1
50,annealing_T=100_h=5,1.68138,0.0292305,41.3159,4,10.329,0,3,4.68366e-10,1,1.87632,0.0453303,75.5503,4,18.8876,0,3,7.20048e-08,1
51,annealing_T=100_h=5,2.02797,0.0455888,63.9033,4,15.9758,0,3,1.12511e-05,1,1.68268,0.0607685,110.475,4,27.6188,0,3,2.06776e-08,1
52,annealing_T=100_h=5,2.62932,0.0385336,194.494,4,48.6236,0,3,8.3622e-11,1,2.83984,0.0669051,215.209,4,53.8023,0,3,4.28658e-09,1
53,annealing_T=100_h=5,2.3835,0.06171,20.117,4,5.02926,0,3,5.27422e-07,1,3.36134,0.133032,6.23533,4,1.55883,0,3,2.92439e-08,1
54,annealing_T=100_h=5,2.04854,0.00134198,3097.24,4,774.31,0,3,3.50794e-07,1,2.08449,0.00159834,3043.05,4,760.764,0,3,6.84153e-07,1
