spot,x,y,luminosity,error,T,v,phase,detection,status,integration_radius,integration_area,run_number,match_distance,geometry_source_phase,geometry_source_run,geometry_mode,v_fin,deltaL1,deltaL2,deltaL,B,B_stat_error,deltaB,A,A_stat_error,fit_chi2,fit_ndf,fit_chi2ndf,fit_status,covmatrix_status,edm,fit_converged
0,67.22,808.62,52.1196,1.0426,20.0,52.3,annealing_T=100_h=5,present,present,20.0,1256.6370614359173,20260610-203538,0.8695401083331338,annealing_T=100_h=5,20260610-203538,phase_detection,1.0,5.8342,6.8889,6.8889,1.70098,0.00751336,0.0159482,38.9009,0.418149,3602.12,4,900.529,0,3,4.59133e-10,1
0,67.22,808.62,124.88,1.08695,20.0,53.3,annealing_T=100_h=5,present,present,20.0,1256.6370614359173,20260610-203538,0.8695401083331338,annealing_T=100_h=5,20260610-203538,phase_detection,2.0,1.193,4.191,4.191,1.70098,0.00751336,0.0159482,38.9009,0.418149,3602.12,4,900.529,0,3,4.59133e-10,1
0,67.22,808.62,254.036,1.21919,20.0,54.3,annealing_T=100_h=5,present,present,20.0,1256.6370614359173,20260610-203538,0.8695401083331338,annealing_T=100_h=5,20260610-203538,phase_detection,3.0,0.861,5.172,5.172,1.70098,0.00751336,0.0159482,38.9009,0.418149,3602.12,4,900.529,0,3,4.59133e-10,1
0,67.22,808.62,408.598,1.54,20.0,55.3,annealing_T=100_h=5,present,present,20.0,1256.6370614359173,20260610-203538,0.8695401083331338,annealing_T=100_h=5,20260610-203538,phase_detection,4.0,1.543,2.87,2.87,1.70098,0.00751336,0.0159482,38.9009,0.418149,3602.12,4,900.529,0,3,4.59133e-10,1
0,67.22,808.62,590.549,1.69685,20.0,56.3,annealing_T=100_h=5,present,present,20.0,1256.6370614359173,20260610-203538,0.8695401083331338,annealing_T=100_h=5,20260610-203538,phase_detection,5.0,7.291,3.759,7.291,1.70098,0.00751336,0.0159482,38.9009,0.418149,3602.12,4,900.529,0,3,4.59133e-10,1
0,67.22,808.62,2871.05,30.9889,20.0,58.3,annealing_T=100_h=5,present,present,20.0,1256.6370614359173,20260610-203538,0.8695401083331338,annealing_T=100_h=5,20260610-203538,phase_detection,7.0,34.82,74.53,74.53,1.70098,0.00751336,0.0159482,38.9009,0.418149,3602.12,4,900.529,0,3,4.59133e-10,1
1,80.54,95.42,-5.54264,1.03845,20.0,52.3,annealing_T=100_h=5,present,present,20.0,1256.6370614359173,20260610-203538,0.9400531899844796,annealing_T=100_h=5,20260610-203538,phase_detection,1.0,3.97954,2.0395,3.97954,2.3561,0.0187149,0.0457735,3.13739,0.104672,87.4839,4,21.871,0,3,1.05465e-07,1
1,80.54,95.42,18.3777,1.04753,20.0,53.3,annealing_T=100_h=5,present,present,20.0,1256.6370614359173,20260610-203538,0.9400531899844796,annealing_T=100_h=5,20260610-203538,phase_detection,2.0,0.6218,2.6329,2.6329,2.3561,0.0187149,0.0457735,3.13739,0.104672,87.4839,4,21.871,0,3,1.05465e-07,1
1,80.54,95.42,38.8518,1.06334,20.0,54.3,annealing_T=100_h=5,present,present,20.0,1256.6370614359173,20260610-203538,0.9400531899844796,annealing_T=100_h=5,20260610-203538,phase_detection,3.0,1.3887,3.5784,3.5784,2.3561,0.0187149,0.0457735,3.13739,0.104672,87.4839,4,21.871,0,3,1.05465e-07,1
1,80.54,95.42,83.1093,1.21212,20.0,55.3,annealing_T=100_h=5,present,present,20.0,1256.6370614359173,20260610-203538,0.9400531899844796,annealing_T=100_h=5,20260610-203538,phase_detection,4.0,0.2237,2.507,2.507,2.3561,0.0187149,0.0457735,3.13739,0.104672,87.4839,4,21.871,0,3,1.05465e-07,1
1,80.54,95.42,141.663,1.29887,20.0,56.3,annealing_T=100_h=5,present,present,20.0,1256.6370614359173,20260610-203538,0.9400531899844796,annealing_T=100_h=5,20260610-203538,phase_detection,5.0,0.024,1.767,1.767,2.3561,0.0187149,0.0457735,3.13739,0.104672,87.4839,4,21.871,0,3,1.05465e-07,1
1,80.54,95.42,305.56,1.8872,20.0,58.3,annealing_T=100_h=5,present,present,20.0,1256.6370614359173,20260610-203538,0.9400531899844796,annealing_T=100_h=5,20260610-203538,phase_detection,7.0,10.212,8.943,10.212,2.3561,0.0187149,0.0457735,3.13739,0.104672,87.4839,4,21.871,0,3,1.05465e-07,1
