2294.69, 750.55
1865.23, 752.46
682.34, 742.20
1970.84, 738.08
1717.25, 691.07
1204.78, 675.11
1915.17, 648.40
1345.11, 624.31
409.07, 619.16
2586.73, 617.83
2017.63, 617.38
1517.92, 593.29
511.60, 582.58
1119.18, 557.17
1431.69, 530.12
401.10, 533.60
2667.09, 529.18
1535.99, 514.53
586.42, 504.15
1516.40, 498.42
554.68, 474.69
1736.00, 470.28
1341.08, 432.28
1482.12, 420.72
1542.52, 417.48
596.16, 399.37
763.61, 387.61
1470.07, 377.04
2581.07, 369.39
1907.84, 369.67
1834.59, 356.73
569.09, 360.60
1244.09, 348.03
2192.44, 351.01
2103.59, 333.29
434.16, 298.53
1557.54, 279.68
1968.77, 274.11
2486.54, 261.74
2178.59, 225.14
824.26, 201.97
1545.58, 157.96
2023.35, 154.13
2089.94, 152.88
2705.09, 147.67
1587.89, 135.02
624.17, 99.12
2346.40, 92.17
389.28, 78.64
2049.38, 75.73
1436.50, 40.49
2010.95, 35.99
2389.28, 24.17
2185.35, 19.06
1616.49, -10.43
742.90, -21.06
2148.28, -42.62
719.58, -52.62
2185.72, -56.86
2306.58, -56.67
1943.81, -55.82
1399.17, -81.89
1082.77, -83.35
2411.94, -80.22
2211.45, -88.73
925.14, -118.28
2495.34, -128.17
636.09, -155.13
1507.71, -159.01
1939.67, -156.87
1556.79, -163.10
2690.37, -163.61
1836.16, -179.60
1475.73, -234.69
2299.93, -246.11
2112.80, -258.78
2575.79, -262.94
1429.17, -298.03
1397.20, -298.66
1795.35, -301.36
1438.76, -313.35
355.62, -315.10
2541.72, -341.34
1904.67, -341.87
367.07, -374.20
1374.84, -379.24
625.49, -391.05
1216.47, -391.66
2417.71, -410.66
630.68, -413.31
2349.38, -413.31
2532.17, -420.41
624.75, -433.84
1655.48, -444.22
761.14, -444.71
2062.70, -461.08
996.90, -478.40
1811.51, -483.56
2339.17, -490.54
1425.95, -492.61
450.95, -528.92
1215.95, -525.36
1479.13, -559.77
2697.46, -562.76
2386.86, -612.05
661.46, -610.79
820.80, -613.79
2458.15, -676.98
514.11, -686.88
371.84, -707.54
2455.33, -712.18
2544.60, -719.70
804.16, -720.38
1735.79, -727.26
2123.45, -759.19
2334.73, -759.22
1372.45, -773.13
749.21, -792.07
398.14, -792.59
1076.63, -825.54
2101.98, -829.90
1056.37, -866.67
1636.55, -878.92
1612.96, -892.98
1198.23, -910.19
1319.42, -928.74
1614.50, -932.29
2621.74, -949.36
470.82, -951.56
404.09, -955.67
1570.91, -958.47
560.10, -958.87
1231.25, -987.62
1833.99, -1002.65
835.62, -1022.82
906.67, -1027.00
1371.57, -1049.80
2058.08, -1052.72
1579.51, -1070.30
463.09, -1078.09
660.21, -1076.18
796.34, -1079.59
939.96, -1079.43
1693.40, -1085.96
1826.23, -1091.45
1529.62, -1104.52
857.23, -1149.07
2043.01, -1149.50
642.09, -1202.11
2028.97, -1206.16
2003.29, -1245.07
1930.23, -1250.83
1213.29, -1274.37
672.18, -1273.62
1100.57, -1277.22
619.52, -1304.56
2204.05, -1310.82
1345.25, -1322.58
1929.30, -1328.69
1388.10, -1350.54
1058.81, -1351.31
1357.79, -1359.22
1589.64, -1389.44
595.08, -1394.37
961.82, -1396.03
1119.68, -1424.17
2414.11, -1424.28
1895.12, -1442.67
1774.67, -1437.34
618.81, -1441.17
1985.94, -1443.12
823.96, -1444.92
1653.83, -1460.11
1100.54, -1462.51
355.44, -1468.00
1253.89, -1468.68
2403.31, -1544.35
1356.25, -1555.84
1224.42, -1546.51
1824.31, -1563.84
343.65, -1576.25
1385.83, -1589.02
2699.41, -1599.67
1817.10, -1604.73
