spot,phase,B_R16,Berr_R16,chi2_R16,ndf_R16,chi2ndf_R16,fit_status_R16,covmatrix_status_R16,edm_R16,converged_R16,B_R24,Berr_R24,chi2_R24,ndf_R24,chi2ndf_R24,fit_status_R24,covmatrix_status_R24,edm_R24,converged_R24
0,annealing_T=150_h=5,1.46259,0.0223153,267.608,4,66.9021,0,3,4.31814e-08,1,1.20988,0.0351945,388.212,4,97.0529,0,3,1.10786e-08,1
1,annealing_T=150_h=5,2.39879,0.0472918,186.766,4,46.6916,0,3,4.01996e-07,1,2.81432,0.082261,114.241,4,28.5602,0,3,5.99227e-07,1
2,annealing_T=150_h=5,3.25096,0.174775,97.9762,4,24.4941,0,3,5.40256e-06,1,3.84461,0.247259,240.061,4,60.0152,0,3,1.3736e-07,1
3,annealing_T=150_h=5,5.92642,1.63988,79.846,4,19.9615,0,3,5.97392e-07,1,5.86443,1.82531,14.8536,4,3.7134,0,3,1.88712e-05,1
4,annealing_T=150_h=5,2.30247,0.00140333,8239.45,4,2059.86,0,3,1.16489e-09,1,2.36492,0.00169073,5204.98,4,1301.25,0,3,1.33406e-08,1
5,annealing_T=150_h=5,2.34496,0.0286405,73.803,4,18.4508,0,3,9.90956e-08,1,2.70203,0.0542503,152.798,4,38.1994,0,3,2.17835e-06,1
6,annealing_T=150_h=5,2.5773,0.127207,95.6534,4,23.9134,0,3,2.71268e-06,1,3.45074,0.294812,23.6756,4,5.9189,0,3,7.0616e-06,1
7,annealing_T=150_h=5,2.12415,0.00992657,1228.83,4,307.207,0,3,9.26228e-07,1,2.26703,0.0132605,467.647,4,116.912,0,3,6.15869e-07,1
8,annealing_T=150_h=5,2.16002,0.0894606,97.5963,4,24.3991,0,3,1.26856e-06,1,2.07182,0.128267,110.315,4,27.5788,0,3,7.2472e-09,1
9,annealing_T=150_h=5,1.47919,0.0620879,19.3285,4,4.83214,0,3,1.2457e-08,1,1.42779,0.0783749,95.4706,4,23.8677,0,3,8.03155e-08,1
10,annealing_T=150_h=5,2.65257,0.174253,75.7423,4,18.9356,0,3,3.31549e-09,1,1.78443,0.175043,69.1433,4,17.2858,0,3,4.59398e-07,1
11,annealing_T=150_h=5,0.665242,0.218656,74.1121,4,18.528,0,3,2.81124e-07,1,-1.15094,0.667185,141.154,4,35.2885,0,3,2.66687e-10,1
12,annealing_T=150_h=5,0.322001,0.0880324,201.413,4,50.3533,0,3,3.95505e-09,1,0.480679,0.110858,110.238,4,27.5595,0,3,1.69163e-06,1
