spot,x,y,phase,A,A_stat_error,B,B_stat_error,deltaB,chi2,ndf,chi2ndf,prob,fit_status,covmatrix_status,edm,converged
0,67.12,807.19,annealing_T=150_h=5,7.12925,0.367664,1.56019,0.0301345,0.350307,281.013,4,70.2533,1.34745e-59,0,3,4.02934e-08,1
1,81.02,93.93,annealing_T=150_h=5,0.825821,0.1015,2.58818,0.0672808,0.226135,134.244,4,33.561,4.81506e-28,0,3,7.39143e-08,1
2,93.48,353.17,annealing_T=150_h=5,0.050932,0.0213199,3.52888,0.220612,0.315734,225.536,4,56.384,1.20636e-47,0,3,1.726e-07,1
3,138.96,256.94,annealing_T=150_h=5,-4.05146e-09,9.19347e-09,11.3433,1.07106,5.47892,76.2293,4,19.0573,1.09483e-15,4,1,0.0094224,0
4,182.74,170.02,annealing_T=150_h=5,65.9172,0.159754,2.33206,0.00152602,0.0328565,7135.17,4,1783.79,0,0,3,2.53869e-07,1
5,193.42,518.02,annealing_T=150_h=5,1.68275,0.113113,2.39632,0.0368949,0.305706,101.614,4,25.4036,4.45742e-21,0,3,2.82976e-08,1
6,232.19,756.59,annealing_T=150_h=5,0.198341,0.072407,2.93358,0.196308,0.517161,88.2261,4,22.0565,3.13508e-18,0,3,7.16702e-06,1
7,237.12,241.57,annealing_T=150_h=5,7.93776,0.158266,2.19816,0.0113638,0.0740079,742.346,4,185.587,2.35669e-159,0,3,2.57254e-06,1
8,253.87,348.03,annealing_T=150_h=5,0.834749,0.172641,2.08822,0.117567,0.0717964,66.0335,4,16.5084,1.5585e-13,0,3,6.19586e-09,1
9,335.34,285.55,annealing_T=150_h=5,2.59039,0.315971,1.53486,0.0709585,0.107073,42.7766,4,10.6942,1.15131e-08,0,3,1.5453e-08,1
10,354.9,844.27,annealing_T=150_h=5,0.435662,0.152315,2.23671,0.19095,0.452278,31.5922,4,7.89804,2.31771e-06,0,3,1.48014e-07,1
11,374.33,368.39,annealing_T=150_h=5,0.609965,0.353285,0.968489,0.362656,2.11943,217.711,4,54.4277,5.82761e-46,0,3,1.33193e-09,1
12,415.54,945.59,annealing_T=150_h=5,6.77432,1.01829,0.500041,0.11282,0.17804,149.161,4,37.2903,3.07915e-31,0,3,5.45922e-08,1
13,416.35,548.47,annealing_T=150_h=5,5.80377e-05,0.000196927,6.19118,1.74975,0,33.2409,4,8.31021,1.06625e-06,1,2,2.09623e-06,0
14,424.55,70.4,annealing_T=150_h=5,0.272914,0.0301054,3.36991,0.0586959,0.175986,101.294,4,25.3236,5.21487e-21,0,3,6.66762e-07,1
15,429.32,484.98,annealing_T=150_h=5,3.71526,0.182728,1.87891,0.0280119,0.0527429,333.999,4,83.4997,4.99295e-71,0,3,7.901e-06,1
16,502.6,998.15,annealing_T=150_h=5,-0.242182,0.128242,2.19294,0.297227,1.05269,139.798,4,34.9495,3.11817e-29,0,3,4.77243e-06,1
17,596.16,526.59,annealing_T=150_h=5,0.0210376,0.0271942,3.34555,0.686568,0.44396,103.073,4,25.7683,2.1799e-21,0,3,1.69527e-07,1
18,609.71,336.02,annealing_T=150_h=5,0.90876,0.324879,1.22148,0.21067,1.26419,150.429,4,37.6072,1.64744e-31,0,3,1.36104e-06,1
19,649.39,438.53,annealing_T=150_h=5,9.73166,0.299035,1.49514,0.0179307,0.0465063,129.043,4,32.2608,6.23708e-27,0,3,8.6049e-07,1
20,649.33,572.61,annealing_T=150_h=5,12.5878,0.121466,2.32651,0.00552201,0.0568755,157.507,4,39.3767,5.007e-33,0,3,7.12894e-10,1
21,660.56,686.78,annealing_T=150_h=5,3.66113,0.133885,2.06716,0.0208604,0.110937,114.03,4,28.5076,1.00502e-23,0,3,2.49878e-06,1
22,700.01,365.51,annealing_T=150_h=5,-0.902516,0.366798,1.40784,0.239095,0.393371,23.2528,4,5.81321,0.000112717,0,3,2.07717e-07,1
23,807.5,585.75,annealing_T=150_h=5,4.50617,0.226464,1.74282,0.0278577,0.0732035,36.7685,4,9.19211,2.01039e-07,0,3,1.7034e-08,1
24,814.95,313.48,annealing_T=150_h=5,-0.0883952,0.0467605,3.08196,0.281789,0.757533,37.141,4,9.28526,1.68473e-07,0,3,3.3582e-07,1
25,867.57,1005.93,annealing_T=150_h=5,0.00313097,1.00001,8.11554,1,0,18697.3,4,4674.32,0,3,1,15531.7,0
26,1006.42,121.5,annealing_T=150_h=5,0.0296775,0.0765366,2.70053,1.37608,2.06718,18.402,4,4.6005,0.00102967,0,3,4.4749e-06,1
27,1047.54,956.09,annealing_T=150_h=5,0.0630795,0.00468445,4.89236,0.0383797,0.126088,544.381,4,136.095,1.68139e-116,0,3,3.22553e-08,1
28,1049.48,802.35,annealing_T=150_h=5,-0.0270316,0.0196944,3.34477,0.383349,0.272908,81.5401,4,20.385,8.21579e-17,0,3,1.63378e-08,1
29,1067.72,233.48,annealing_T=150_h=5,-0.0830174,0.0422412,3.02283,0.269225,0.8503,36.3395,4,9.08488,2.4637e-07,0,3,7.31633e-06,1
30,1087.11,909.07,annealing_T=150_h=5,-1.38729e-12,2.50123e-12,15.2575,0.837214,0,310.711,4,77.6777,5.29846e-66,4,1,0.00468126,0
31,1088.56,686.37,annealing_T=150_h=5,3.04564,0.163243,1.91795,0.0304116,0.178434,539.267,4,134.817,2.14785e-115,0,3,1.31914e-07,1
32,1149.56,427.75,annealing_T=150_h=5,1.28737,0.136463,2.00463,0.0595337,0.102001,15.8436,4,3.9609,0.00323635,0,3,5.06966e-09,1
33,1169.61,238.76,annealing_T=150_h=5,262.752,0.431689,1.63076,0.00108628,0.014725,1195.4,4,298.85,1.58137e-257,0,3,7.25975e-06,1
34,1174.87,928.02,annealing_T=150_h=5,0.667107,0.130071,2.24612,0.107178,0.400001,73.9495,4,18.4874,3.3232e-15,0,3,1.97392e-08,1
35,1179.85,592.88,annealing_T=150_h=5,0.186289,0.0648359,2.71234,0.187442,0.15514,57.1109,4,14.2777,1.17262e-11,0,3,5.26389e-09,1
36,1227.31,669.2,annealing_T=150_h=5,-4.90452,0.962232,-1.03647,0.369313,0,67.3728,4,16.8432,8.13465e-14,0,3,7.4242e-09,1
37,1241.31,152.69,annealing_T=150_h=5,0.435388,0.0920331,2.33774,0.115967,0.374286,396.076,4,99.019,1.95942e-84,0,3,3.6322e-07,1
38,1243.96,481.74,annealing_T=150_h=5,2.64935,0.311456,1.20968,0.0692379,0.0934269,92.9138,4,23.2284,3.16465e-19,0,3,1.66082e-06,1
39,1254.37,594.48,annealing_T=150_h=5,0.00433272,0.00944925,4.03283,1.14024,3.09679,34.819,4,8.70475,5.06049e-07,0,3,1.56097e-06,1
40,1254.77,232.77,annealing_T=150_h=5,-0.00472336,0.00523074,4.60017,0.576196,3.34156,195.321,4,48.8303,3.80771e-41,0,3,1.72533e-07,1
41,1266.74,410.95,annealing_T=150_h=5,1.3823,0.198205,1.68923,0.0826615,0.109748,278.693,4,69.6733,4.26369e-59,0,3,1.05789e-08,1
42,1287.25,874.13,annealing_T=150_h=5,0.035893,0.0189553,3.10576,0.279144,0.303335,434.235,4,108.559,1.11091e-92,0,3,4.13921e-08,1
43,1292.81,319.82,annealing_T=150_h=5,1.3956,0.0850794,2.47697,0.0334033,0.0802229,41.9773,4,10.4943,1.68637e-08,0,3,2.38993e-07,1
44,1320.24,72.75,annealing_T=150_h=5,0.000419913,0.00275514,4.72222,3.38676,0,135.725,4,33.9312,2.32117e-28,0,3,4.10918e-07,1
45,1371.63,811.01,annealing_T=150_h=5,0.311588,0.0331581,3.24215,0.0573036,0.215441,130.682,4,32.6705,2.78339e-27,0,3,5.67376e-06,1
46,1375.81,910.86,annealing_T=150_h=5,0.469931,0.117506,2.32694,0.138322,0.159812,96.2337,4,24.0584,6.22803e-20,0,3,1.3866e-07,1
47,1385.85,116.4,annealing_T=150_h=5,0.0178248,0.0316436,2.93214,0.940509,0.760025,87.3052,4,21.8263,4.91763e-18,0,3,6.26367e-06,1
48,1402.56,205.42,annealing_T=150_h=5,-1.7742,1.38822,0.82341,0.530899,1.86349,175.253,4,43.8132,7.79678e-37,0,3,2.86393e-07,1
49,1496,506.49,annealing_T=150_h=5,0.656759,0.0620826,2.676,0.0502775,0.0304085,97.3063,4,24.3266,3.68251e-20,0,3,2.04209e-06,1
50,1499.79,863.07,annealing_T=150_h=5,2.59639,0.422397,1.02791,0.104248,0.186395,245.083,4,61.2706,7.46141e-52,0,3,3.45323e-09,1
