spot,x,y,luminosity,error,T,v,v_fin,phase,detected
12,138.04,265.3,165.01,11.3923,20.0,58.3,7.0,annealing_T=75_h=25,True
12,141.17,264.27,66.7726,6.53899,20.0,58.3,7.0,annealing_T=75_h=5,True
12,138.27,261.67,69.4547,7.65103,20.0,58.3,7.0,before_annealing,True
13,150.07,919.05,278.992,4.05023,20.0,58.3,7.0,annealing_T=100_h=25,True
13,150.87,919.03,365.704,18.112,20.0,58.3,7.0,annealing_T=100_h=5,True
13,158.17,919.94,323.72,20.1055,20.0,58.3,7.0,annealing_T=75_h=25,True
13,157.63,918.9,417.068,20.52,20.0,58.3,7.0,annealing_T=75_h=5,True
13,153.16,916.5,663.043,25.7515,20.0,58.3,7.0,before_annealing,True
14,173.68,951.13,1864.59,8.28563,20.0,58.3,7.0,annealing_T=100_h=25,True
14,174.46,951.29,1119.04,32.2151,20.0,58.3,7.0,annealing_T=100_h=5,True
14,182.3,951.9,1098.25,33.9418,20.0,58.3,7.0,annealing_T=75_h=25,True
14,181.38,951.05,1108.67,31.4177,20.0,58.3,7.0,annealing_T=75_h=5,True
14,176.72,948.55,1082.4,31.8256,20.0,58.3,7.0,before_annealing,True
15,178.08,178.42,8982.79,13.3635,20.0,58.3,7.0,annealing_T=100_h=25,True
15,178.59,178.65,8276.9,108.761,20.0,58.3,7.0,annealing_T=100_h=5,True
15,180.08,179.16,8095.57,111.501,20.0,58.3,7.0,annealing_T=75_h=25,True
15,183.74,178.36,11563.4,147.609,20.0,58.3,7.0,annealing_T=75_h=5,True
15,180.96,175.94,11889.7,144.628,20.0,58.3,7.0,before_annealing,True
16,190.81,526.35,332.256,4.3676,20.0,58.3,7.0,annealing_T=100_h=25,True
16,191.44,526.69,465.595,22.3902,20.0,58.3,7.0,annealing_T=100_h=5,True
16,195.72,527.12,496.266,22.9775,20.0,58.3,7.0,annealing_T=75_h=25,True
16,197.26,526.43,592.088,25.0564,20.0,58.3,7.0,annealing_T=75_h=5,True
16,193.72,523.96,663.368,25.6781,20.0,58.3,7.0,before_annealing,True
17,194.89,62.99,54.3741,2.02636,20.0,58.3,7.0,annealing_T=100_h=25,True
17,194.85,63.16,250.957,14.07,20.0,58.3,7.0,annealing_T=100_h=5,True
17,195.45,63.59,240.746,14.8784,20.0,58.3,7.0,annealing_T=75_h=25,True
17,199.86,62.67,219.27,13.9198,20.0,58.3,7.0,annealing_T=75_h=5,True
17,197.47,60.58,191.909,11.6849,20.0,58.3,7.0,before_annealing,True
18,215.17,926.25,0.0,0.0,20.0,58.3,7.0,annealing_T=100_h=25,False
18,215.17,926.25,21.9775,3.50514,20.0,58.3,7.0,annealing_T=100_h=5,True
18,222.18,926.46,24.3013,3.40896,20.0,58.3,7.0,annealing_T=75_h=25,True
18,221.28,926.12,20.6502,2.84804,20.0,58.3,7.0,annealing_T=75_h=5,True
18,216.56,923.85,19.8966,3.07004,20.0,58.3,7.0,before_annealing,True
19,227.69,91.3,0.0,0.0,20.0,58.3,7.0,annealing_T=100_h=25,False
19,227.69,91.3,42.792,5.09356,20.0,58.3,7.0,annealing_T=100_h=5,True
19,229.17,91.39,70.8422,5.96764,20.0,58.3,7.0,annealing_T=75_h=25,True
19,233.28,91.24,32.6247,3.6352,20.0,58.3,7.0,annealing_T=75_h=5,True
19,230.77,88.87,137.151,9.58745,20.0,58.3,7.0,before_annealing,True
20,231.0,763.67,0.0,0.0,20.0,58.3,7.0,annealing_T=100_h=25,False
20,231.0,763.67,46.5435,5.26714,20.0,58.3,7.0,annealing_T=100_h=5,True
20,237.19,763.56,91.2791,8.56603,20.0,58.3,7.0,annealing_T=75_h=25,True
20,233.43,761.06,0.0,0.0,20.0,58.3,7.0,annealing_T=75_h=5,False
20,233.43,761.06,62.5783,6.23121,20.0,58.3,7.0,before_annealing,True
21,232.61,250.2,747.308,5.93005,20.0,58.3,7.0,annealing_T=100_h=25,True
21,233.19,250.35,628.993,25.2804,20.0,58.3,7.0,annealing_T=100_h=5,True
21,235.14,250.7,1716.32,97.0216,20.0,58.3,7.0,annealing_T=75_h=25,True
21,238.48,250.13,1542.56,45.0004,20.0,58.3,7.0,annealing_T=75_h=5,True
21,235.56,247.67,1772.78,47.7836,20.0,58.3,7.0,before_annealing,True
22,250.5,358.11,1626.02,13.5352,20.0,58.3,7.0,annealing_T=100_h=25,True
22,250.97,358.25,837.557,33.7051,20.0,58.3,7.0,annealing_T=100_h=5,True
22,253.94,358.21,1009.3,32.4676,20.0,58.3,7.0,annealing_T=75_h=25,True
22,256.59,357.74,1003.36,33.1122,20.0,58.3,7.0,annealing_T=75_h=5,True
22,253.35,355.4,449.4,20.5514,20.0,58.3,7.0,before_annealing,True
23,273.67,26.13,0.0,0.0,20.0,58.3,7.0,annealing_T=100_h=25,False
23,275.32,23.25,0.0,0.0,20.0,58.3,7.0,annealing_T=100_h=5,False
23,273.67,26.13,40.7928,4.79914,20.0,58.3,7.0,annealing_T=75_h=25,True
23,277.5,25.64,28.4531,4.34684,20.0,58.3,7.0,annealing_T=75_h=5,True
23,275.32,23.25,373.078,19.8736,20.0,58.3,7.0,before_annealing,True
24,332.16,293.42,40.654,2.60763,20.0,58.3,7.0,annealing_T=100_h=25,True
24,332.69,293.38,38.6588,6.30755,20.0,58.3,7.0,annealing_T=100_h=5,True
24,335.15,293.01,39.2335,5.49065,20.0,58.3,7.0,annealing_T=75_h=25,True
24,337.82,293.26,53.3646,6.83687,20.0,58.3,7.0,annealing_T=75_h=5,True
24,334.47,291.05,49.0824,6.15188,20.0,58.3,7.0,before_annealing,True
25,345.92,46.35,0.0,0.0,20.0,58.3,7.0,annealing_T=100_h=25,False
25,348.21,44.51,0.0,0.0,20.0,58.3,7.0,annealing_T=100_h=5,False
25,345.92,46.35,52.2333,6.34569,20.0,58.3,7.0,annealing_T=75_h=25,True
25,350.57,46.11,35.4185,4.95823,20.0,58.3,7.0,annealing_T=75_h=5,True
25,348.21,44.51,44.0412,5.7064,20.0,58.3,7.0,before_annealing,True
26,355.21,852.47,64.8609,3.23382,20.0,58.3,7.0,annealing_T=100_h=25,True
26,355.83,852.52,97.8264,9.34012,20.0,58.3,7.0,annealing_T=100_h=5,True
26,362.73,851.82,144.561,11.9631,20.0,58.3,7.0,annealing_T=75_h=25,True
26,362.61,852.03,499.19,23.9028,20.0,58.3,7.0,annealing_T=75_h=5,True
26,358.05,850.0,471.834,22.3779,20.0,58.3,7.0,before_annealing,True
27,374.99,374.58,0.0,0.0,20.0,58.3,7.0,annealing_T=100_h=25,False
27,374.64,372.91,0.0,0.0,20.0,58.3,7.0,annealing_T=100_h=5,False
27,374.99,374.58,142.292,11.6873,20.0,58.3,7.0,annealing_T=75_h=25,True
27,377.66,374.97,82.6172,9.15154,20.0,58.3,7.0,annealing_T=75_h=5,True
27,374.64,372.91,44.6435,6.07045,20.0,58.3,7.0,before_annealing,True
28,410.05,764.73,0.0,0.0,20.0,58.3,7.0,annealing_T=100_h=25,False
28,410.05,764.73,81.0824,7.90605,20.0,58.3,7.0,annealing_T=100_h=5,True
28,416.19,763.41,38.7822,3.91976,20.0,58.3,7.0,annealing_T=75_h=25,True
28,416.22,764.42,17.6827,2.371,20.0,58.3,7.0,annealing_T=75_h=5,True
28,412.24,762.07,86.6818,9.54074,20.0,58.3,7.0,before_annealing,True
29,419.47,553.6,0.0,0.0,20.0,58.3,7.0,annealing_T=100_h=25,False
29,417.57,552.86,0.0,0.0,20.0,58.3,7.0,annealing_T=100_h=5,False
29,419.47,553.6,25.1351,3.04113,20.0,58.3,7.0,annealing_T=75_h=25,True
29,421.23,554.2,27.6158,4.28758,20.0,58.3,7.0,annealing_T=75_h=5,True
29,417.57,552.86,29.9595,4.07488,20.0,58.3,7.0,before_annealing,True
