x,y,luminosity,error,T,v
574.84,853.64,1111.41,6.43734,20.0,9.0
500.82,813.15,408.807,6.29468,20.0,9.0
1138.88,649.41,75.5858,5.64909,20.0,9.0
370.72,506.72,229.217,5.59833,20.0,9.0
1402.55,474.6,119.557,6.79414,20.0,9.0
297.16,458.04,69.3564,6.45425,20.0,9.0
1328.97,313.79,71.6864,5.95325,20.0,9.0
1497.28,263.02,47.7853,5.63773,20.0,9.0
1205.53,225.4,22.5107,6.78395,20.0,9.0
1078.76,182.4,336.51,5.9635,20.0,9.0
1808.82,174.94,145.921,5.4887,20.0,9.0
683.7,69.55,156.333,5.86358,20.0,9.0
844.9,69.81,45.4654,5.93779,20.0,9.0
