spot,phase,B_R16,Berr_R16,chi2_R16,ndf_R16,chi2ndf_R16,fit_status_R16,covmatrix_status_R16,edm_R16,converged_R16,B_R24,Berr_R24,chi2_R24,ndf_R24,chi2ndf_R24,fit_status_R24,covmatrix_status_R24,edm_R24,converged_R24
0,annealing_T=125_h=5,1.79312,0.0178326,367.472,4,91.868,0,3,3.48511e-08,1,1.90818,0.0321788,351.8,4,87.95,0,3,6.56605e-07,1
1,annealing_T=125_h=5,2.34913,0.0228742,339.639,4,84.9097,0,3,7.61855e-06,1,2.5664,0.0412302,511.147,4,127.787,0,3,1.3364e-08,1
2,annealing_T=125_h=5,4.45176,0.326375,89.7923,4,22.4481,0,3,1.28245e-09,1,11.6223,0.269366,100.781,4,25.1953,4,1,0.0477143,0
3,annealing_T=125_h=5,0.256722,1.60429,35.633,4,8.90825,0,3,5.88394e-08,1,-242.649,2.17436e-15,32.5595,4,8.13987,3,2,2.50066e+15,0
4,annealing_T=125_h=5,2.44589,0.00242256,3767.81,4,941.952,0,3,9.00276e-09,1,2.52372,0.00293058,2611.79,4,652.947,0,3,8.28069e-08,1
5,annealing_T=125_h=5,2.0015,0.0584111,4.31245,4,1.07811,0,3,2.05365e-06,1,2.1004,0.0867433,79.8768,4,19.9692,0,3,3.64811e-09,1
6,annealing_T=125_h=5,2.06875,0.153335,57.372,4,14.343,0,3,1.85703e-07,1,3.12281,0.456266,42.6554,4,10.6639,0,3,6.87101e-07,1
7,annealing_T=125_h=5,2.58694,0.0167688,7853.28,4,1963.32,0,3,5.61478e-06,1,3.03644,0.0184874,4854.79,4,1213.7,0,3,2.72651e-06,1
8,annealing_T=125_h=5,2.30349,0.00709195,225.329,4,56.3322,0,3,6.93566e-07,1,2.40271,0.0104265,420.844,4,105.211,0,3,2.74287e-07,1
9,annealing_T=125_h=5,1.77395,0.0552182,85.851,4,21.4627,0,3,3.16816e-08,1,1.71864,0.0783652,98.2994,4,24.5748,0,3,8.7851e-06,1
10,annealing_T=125_h=5,2.19539,0.0332838,129.077,4,32.2692,0,3,9.71883e-06,1,2.36494,0.0491967,17.7887,4,4.44719,0,3,6.72521e-07,1
11,annealing_T=125_h=5,2.57264,0.272053,111.871,4,27.9679,0,3,1.64457e-08,1,1.06069,0.360582,170.16,4,42.5401,0,3,5.77515e-06,1
12,annealing_T=125_h=5,1.54506,0.0162521,133.704,4,33.426,0,3,3.67479e-06,1,1.54843,0.0235917,310.545,4,77.6362,0,3,7.75498e-06,1
