spot,x,y,luminosity,error,T,v,phase,detection,status,integration_radius,integration_area,run_number,match_distance,geometry_source_phase,geometry_source_run,geometry_mode,v_fin,deltaL1,deltaL2,deltaL,B,B_stat_error,deltaB,A,A_stat_error,fit_chi2,fit_ndf,fit_chi2ndf,fit_status,covmatrix_status,edm,fit_converged
0,65.58,806.96,17.496,1.03766,20.0,52.3,annealing_T=125_h=5,present,present,20.0,1256.6370614359173,20260723-075232,3.1834729463276172,annealing_T=125_h=5,20260723-075232,phase_detection,1.0,2.6068,0.6765,2.6068,1.86538,0.0259176,0.072259,5.89336,0.269268,314.746,4,78.6865,0,3,5.43621e-08,1
0,65.58,806.96,33.1385,1.23909,20.0,53.3,annealing_T=125_h=5,present,present,20.0,1256.6370614359173,20260723-075232,3.1834729463276172,annealing_T=125_h=5,20260723-075232,phase_detection,2.0,2.1567,2.4947,2.4947,1.86538,0.0259176,0.072259,5.89336,0.269268,314.746,4,78.6865,0,3,5.43621e-08,1
0,65.58,806.96,42.8519,1.49992,20.0,54.3,annealing_T=125_h=5,present,present,20.0,1256.6370614359173,20260723-075232,3.1834729463276172,annealing_T=125_h=5,20260723-075232,phase_detection,3.0,4.2648,1.9351,4.2648,1.86538,0.0259176,0.072259,5.89336,0.269268,314.746,4,78.6865,0,3,5.43621e-08,1
0,65.58,806.96,64.5663,1.44643,20.0,55.3,annealing_T=125_h=5,present,present,20.0,1256.6370614359173,20260723-075232,3.1834729463276172,annealing_T=125_h=5,20260723-075232,phase_detection,4.0,5.8318,7.5579,7.5579,1.86538,0.0259176,0.072259,5.89336,0.269268,314.746,4,78.6865,0,3,5.43621e-08,1
0,65.58,806.96,119.252,1.74412,20.0,56.3,annealing_T=125_h=5,present,present,20.0,1256.6370614359173,20260723-075232,3.1834729463276172,annealing_T=125_h=5,20260723-075232,phase_detection,5.0,0.725,0.863,0.863,1.86538,0.0259176,0.072259,5.89336,0.269268,314.746,4,78.6865,0,3,5.43621e-08,1
0,65.58,806.96,227.689,1.94958,20.0,58.3,annealing_T=125_h=5,present,present,20.0,1256.6370614359173,20260723-075232,3.1834729463276172,annealing_T=125_h=5,20260723-075232,phase_detection,7.0,2.402,2.653,2.653,1.86538,0.0259176,0.072259,5.89336,0.269268,314.746,4,78.6865,0,3,5.43621e-08,1
1,79.17,93.67,2.65323,0.986434,20.0,52.3,annealing_T=125_h=5,present,present,20.0,1256.6370614359173,20260723-075232,3.0142494919963054,annealing_T=125_h=5,20260723-075232,phase_detection,1.0,2.12026,5.9624,5.9624,2.46584,0.0315923,0.11671,1.76402,0.101946,361.306,4,90.3265,0,3,5.21147e-06,1
1,79.17,93.67,20.5124,1.02709,20.0,53.3,annealing_T=125_h=5,present,present,20.0,1256.6370614359173,20260723-075232,3.0142494919963054,annealing_T=125_h=5,20260723-075232,phase_detection,2.0,1.0649,1.0572,1.0649,2.46584,0.0315923,0.11671,1.76402,0.101946,361.306,4,90.3265,0,3,5.21147e-06,1
1,79.17,93.67,15.8314,1.25248,20.0,54.3,annealing_T=125_h=5,present,present,20.0,1256.6370614359173,20260723-075232,3.0142494919963054,annealing_T=125_h=5,20260723-075232,phase_detection,3.0,7.83508,7.4225,7.83508,2.46584,0.0315923,0.11671,1.76402,0.101946,361.306,4,90.3265,0,3,5.21147e-06,1
1,79.17,93.67,69.1396,1.45087,20.0,55.3,annealing_T=125_h=5,present,present,20.0,1256.6370614359173,20260723-075232,3.0142494919963054,annealing_T=125_h=5,20260723-075232,phase_detection,4.0,4.8252,2.3988,4.8252,2.46584,0.0315923,0.11671,1.76402,0.101946,361.306,4,90.3265,0,3,5.21147e-06,1
1,79.17,93.67,83.1948,1.28017,20.0,56.3,annealing_T=125_h=5,present,present,20.0,1256.6370614359173,20260723-075232,3.0142494919963054,annealing_T=125_h=5,20260723-075232,phase_detection,5.0,9.4473,5.1324,9.4473,2.46584,0.0315923,0.11671,1.76402,0.101946,361.306,4,90.3265,0,3,5.21147e-06,1
1,79.17,93.67,217.408,1.66199,20.0,58.3,annealing_T=125_h=5,present,present,20.0,1256.6370614359173,20260723-075232,3.0142494919963054,annealing_T=125_h=5,20260723-075232,phase_detection,7.0,3.786,0.199,3.786,2.46584,0.0315923,0.11671,1.76402,0.101946,361.306,4,90.3265,0,3,5.21147e-06,1
2,93.48,353.17,-1.06836,1.12279,20.0,52.3,annealing_T=125_h=5,absent,absent,20.0,1256.6370614359173,20260723-075232,2.250377746068396,annealing_T=75_h=25,20260530-001924,previous_detection,1.0,1.354678,2.6208,2.6208,6.72187,0.286161,0,0.000126123,7.00006e-05,113.118,4,28.2796,1,2,6.28335e-07,0
