spot,x,y,phase,A,A_stat_error,B,B_stat_error,deltaB,chi2,ndf,chi2ndf,prob,fit_status,covmatrix_status,edm,converged
0,65.58,806.96,annealing_T=125_h=5,5.89336,0.269268,1.86538,0.0259176,0.072259,314.746,4,78.6865,7.13532e-67,0,3,5.43621e-08,1
1,79.17,93.67,annealing_T=125_h=5,1.76402,0.101946,2.46584,0.0315923,0.11671,361.306,4,90.3265,6.34854e-77,0,3,5.21147e-06,1
2,93.48,353.17,annealing_T=125_h=5,0.000126123,7.00006e-05,6.72187,0.286161,0,113.118,4,28.2796,1.57324e-23,1,2,6.28335e-07,0
3,138.96,256.94,annealing_T=125_h=5,-0.474302,0.774543,1.04116,1.0051,0,50.7044,4,12.6761,2.57331e-10,0,3,1.13922e-06,1
4,181.16,169.64,annealing_T=125_h=5,30.567,0.136606,2.48536,0.00270798,0.0394707,3356.13,4,839.032,0,0,3,1.48227e-05,1
5,191.81,517.91,annealing_T=125_h=5,1.15997,0.151076,2.1678,0.0718494,0.166303,34.7251,4,8.68128,5.29014e-07,0,3,3.6218e-07,1
6,232.19,756.59,annealing_T=125_h=5,0.247813,0.113214,2.66309,0.249026,0.594339,60.4979,4,15.1245,2.27974e-12,0,3,3.02552e-07,1
7,235.69,241.32,annealing_T=125_h=5,2.56811,0.0785123,2.96455,0.0180938,0.377611,5883.45,4,1470.86,0,0,3,1.10661e-05,1
8,252.2,348.9,annealing_T=125_h=5,7.39559,0.112818,2.3571,0.00873689,0.053606,410.426,4,102.607,1.5537e-87,0,3,8.51181e-08,1
9,335.34,285.55,annealing_T=125_h=5,1.74314,0.223958,1.88124,0.0720459,0.162596,97.17,4,24.2925,3.93696e-20,0,3,1.0127e-05,1
10,354.9,844.27,annealing_T=125_h=5,1.66699,0.132628,2.3223,0.0433092,0.126913,13.7188,4,3.4297,0.00824871,0,3,6.82564e-07,1
11,374.33,368.39,annealing_T=125_h=5,0.00220451,0.010688,2.9314,2.38555,1.87071,161.457,4,40.3643,7.11846e-34,0,3,2.36534e-08,1
12,413.47,946.23,annealing_T=125_h=5,9.57348,0.332946,1.55974,0.0202313,0.0146755,214.044,4,53.5109,3.58521e-45,0,3,5.07471e-06,1
13,416.35,548.47,annealing_T=125_h=5,1.36217,0.406528,1.37039,0.174346,0.0503392,14.5861,4,3.64652,0.00564144,0,3,4.66651e-07,1
14,424.55,70.4,annealing_T=125_h=5,0.632385,0.0836203,2.52657,0.0724349,0.135622,259.942,4,64.9854,4.69433e-55,0,3,5.37301e-06,1
15,429.41,485.73,annealing_T=125_h=5,18.3451,0.14875,2.07037,0.00473435,0.047636,645.716,4,161.429,1.97183e-138,0,3,8.31624e-08,1
16,502.6,998.15,annealing_T=125_h=5,-0.226538,0.138864,2.02981,0.343678,0.798953,84.1887,4,21.0472,2.25464e-17,0,3,7.4408e-06,1
17,596.16,526.59,annealing_T=125_h=5,0.0607333,0.0208543,3.60806,0.180397,0.569086,24.2631,4,6.06578,7.07364e-05,0,3,6.19724e-07,1
18,609.71,336.02,annealing_T=125_h=5,1.95018,0.387572,1.18748,0.11965,0.214829,92.3421,4,23.0855,4.18638e-19,0,3,2.79102e-08,1
19,647.77,438.17,annealing_T=125_h=5,6.31898,0.215901,1.80595,0.0195681,0.0678765,89.1623,4,22.2906,1.98357e-18,0,3,3.9927e-11,1
20,647.97,572.13,annealing_T=125_h=5,18.4952,0.109105,2.34398,0.00343385,0.0524497,110.139,4,27.5346,6.79897e-23,0,3,7.99611e-08,1
21,660.72,687.03,annealing_T=125_h=5,0.368516,0.0896354,2.6298,0.132026,0.855292,200.406,4,50.1016,3.07253e-42,0,3,2.36321e-06,1
22,700.01,365.51,annealing_T=125_h=5,-0.00143119,0.00362771,4.7498,1.32264,0.99006,115.759,4,28.9398,4.29701e-24,0,3,1.74038e-05,1
23,806.02,585.4,annealing_T=125_h=5,13.8739,0.349938,1.42444,0.014932,0.0165634,93.4513,4,23.3628,2.43249e-19,0,3,6.80902e-08,1
24,814.95,313.48,annealing_T=125_h=5,4.32849,0.146268,2.26382,0.0187563,0.0914635,28.0138,4,7.00345,1.23929e-05,0,3,1.69628e-08,1
25,866.3,1005.94,annealing_T=125_h=5,2.24548,0.192554,2.07599,0.0486213,0.128096,261.249,4,65.3122,2.45391e-55,0,3,2.58398e-07,1
26,1006.42,121.5,annealing_T=125_h=5,0.0207467,0.0376709,3.47232,0.962671,1.05684,287.105,4,71.7763,6.54519e-61,0,3,4.08363e-06,1
27,1046,955.63,annealing_T=125_h=5,6.1867,0.518696,1.2436,0.0494748,0.175951,201.709,4,50.4273,1.61204e-42,0,3,1.47395e-08,1
28,1049.48,802.35,annealing_T=125_h=5,3.58461,0.138762,2.22725,0.0211286,0.0558828,128.029,4,32.0072,1.0277e-26,0,3,8.33174e-07,1
29,1067.72,233.48,annealing_T=125_h=5,-0.0312397,0.0192908,3.56502,0.322763,0.743492,16.2572,4,4.06429,0.0026928,0,3,5.02509e-06,1
30,1087.11,909.07,annealing_T=125_h=5,-0.0432429,0.0352669,3.22554,0.431431,0.606655,111.09,4,27.7726,4.26014e-23,0,3,2.16953e-06,1
31,1086.88,686.09,annealing_T=125_h=5,1.8416,0.0756189,2.52939,0.0225184,0.152295,147.625,4,36.9064,6.56912e-31,0,3,2.2646e-06,1
32,1147.77,427.01,annealing_T=125_h=5,5.10764,0.244962,1.59782,0.0283335,0.134859,216.249,4,54.0623,1.20225e-45,0,3,1.12794e-06,1
33,1168.05,238.3,annealing_T=125_h=5,98.0698,0.315825,1.6449,0.00202445,0.0233416,356.394,4,89.0985,7.30061e-76,0,3,3.641e-09,1
34,1174.87,928.02,annealing_T=125_h=5,1.0823,0.131136,2.26938,0.0669495,0.26159,297.56,4,74.39,3.63997e-63,0,3,1.57881e-07,1
35,1179.85,592.88,annealing_T=125_h=5,-0.503138,0.240647,1.13545,0.278749,0,482.783,4,120.696,3.5437e-103,0,3,5.43833e-06,1
36,1227.31,669.2,annealing_T=125_h=5,1.52544,0.429072,1.64775,0.163895,0.907677,89.6553,4,22.4138,1.55856e-18,0,3,2.07677e-08,1
37,1241.31,152.69,annealing_T=125_h=5,0.408871,0.0939601,2.49828,0.125511,0.327742,199.49,4,49.8725,4.83598e-42,0,3,4.39148e-09,1
38,1243,483.03,annealing_T=125_h=5,0.0021252,0.000246307,6.42968,0.0616641,0.558396,3233.47,4,808.368,0,0,3,3.47492e-06,1
39,1254.37,594.48,annealing_T=125_h=5,0.0456806,0.0173015,3.51737,0.200217,0.876645,72.5939,4,18.1485,6.42859e-15,0,3,7.37874e-06,1
40,1254.77,232.77,annealing_T=125_h=5,-2.24442e-11,3.98997e-11,13.9082,0.845017,0,381.073,4,95.2682,3.41436e-81,4,1,0.00245611,0
41,1264.56,411.58,annealing_T=125_h=5,4.99571,0.470458,1.18129,0.0570237,0.207861,148.542,4,37.1355,4.17976e-31,0,3,9.33068e-08,1
42,1287.25,874.13,annealing_T=125_h=5,0.0141809,0.0122111,3.68547,0.454956,0,343.328,4,85.8319,4.83642e-73,0,3,1.45596e-05,1
43,1291.06,319.83,annealing_T=125_h=5,2.22786,0.117334,2.17271,0.0295404,0.113508,198.788,4,49.697,6.84652e-42,0,3,3.21999e-08,1
44,1320.24,72.75,annealing_T=125_h=5,0.0529339,0.0390922,2.91849,0.394202,0.180296,295.03,4,73.7574,1.27906e-62,0,3,1.55666e-07,1
45,1370.37,810.12,annealing_T=125_h=5,5.41042,0.30027,1.50178,0.0326006,0.021273,54.7424,4,13.6856,3.67884e-11,0,3,3.19131e-08,1
46,1373.68,911.5,annealing_T=125_h=5,6.753,0.342074,1.60106,0.0296797,0.144466,341.467,4,85.3667,1.21982e-72,0,3,7.48947e-08,1
47,1385.85,116.4,annealing_T=125_h=5,0.0227026,0.00226602,4.86758,0.0525102,0.339774,808.182,4,202.045,1.2975e-173,0,3,4.19474e-06,1
48,1402.56,205.42,annealing_T=125_h=5,0.302334,0.031121,3.10739,0.0551312,0.293679,87.2723,4,21.8181,4.99732e-18,0,3,6.91238e-11,1
49,1495.29,506.97,annealing_T=125_h=5,2.74146,0.0412607,3.03751,0.00820679,0.0684428,72.4477,4,18.1119,6.90259e-15,0,3,3.84656e-06,1
50,1499.79,863.07,annealing_T=125_h=5,2.64894,0.262421,1.44759,0.0591272,0.370462,272.305,4,68.0764,1.01584e-57,0,3,7.04371e-06,1
51,1534.76,404.29,annealing_T=125_h=5,2.99247,0.141704,2.21351,0.0264863,0.0440408,19.5272,4,4.88181,0.000618975,0,3,1.55238e-08,1
52,1582.85,650.85,annealing_T=125_h=5,1.07984,0.136974,2.3018,0.0703819,0.303138,44.0017,4,11.0004,6.41071e-09,0,3,3.35543e-06,1
53,1584.36,810.43,annealing_T=125_h=5,-3.85391,0.907583,-0.284198,0.212714,0,29.5224,4,7.3806,6.12179e-06,0,3,7.84185e-07,1
54,1730.84,722.2,annealing_T=125_h=5,63.4157,0.224501,2.13729,0.00215483,0.0229884,2826.51,4,706.627,0,0,3,4.72832e-09,1
55,1772.73,478.13,annealing_T=125_h=5,10.8368,0.599464,0.384156,0.0406208,0.426313,293.205,4,73.3014,3.16482e-62,0,3,4.80057e-06,1
56,1781.22,555.08,annealing_T=125_h=5,8.55364,0.244746,1.68373,0.0166803,0.108647,126.28,4,31.57,2.43093e-26,0,3,9.24147e-07,1
57,1819.34,356.54,annealing_T=125_h=5,4.43431,0.124399,2.34138,0.0153748,0.0910233,166.158,4,41.5395,6.98131e-35,0,3,9.87485e-06,1
58,1819.76,993.02,annealing_T=125_h=5,0.0624209,0.0145,3.93606,0.12325,0.216654,450.287,4,112.572,3.76498e-96,0,3,2.0947e-07,1
59,1849.75,557.49,annealing_T=125_h=5,5.56588,0.260498,1.93153,0.0268048,0.0534017,47.6717,4,11.9179,1.10484e-09,0,3,3.65572e-11,1
60,454.56,766.05,annealing_T=125_h=5,3.77104,0.436409,1.20471,0.0732821,0.15929,38.6625,4,9.66562,8.17931e-08,0,3,6.22919e-06,1
61,512.36,880.36,annealing_T=125_h=5,8.18339,0.179901,2.00719,0.0124795,0.0393075,155.009,4,38.7522,1.71848e-32,0,3,2.83434e-06,1
62,906.06,730.29,annealing_T=125_h=5,3.9483,0.0805335,2.52772,0.0116833,0.0742504,205.47,4,51.3676,2.50398e-43,0,3,7.21626e-07,1
63,1321.97,528.25,annealing_T=125_h=5,-4.87686,1.03631,-24.9439,2,27.4681,195.339,4,48.8346,3.77536e-41,0,3,1.51218e-07,1
64,1615.5,987.16,annealing_T=125_h=5,7.41546,0.0951415,2.50329,0.00714772,0.0762606,1078.02,4,269.504,4.40843e-232,0,3,5.59073e-07,1
65,1615.65,704.21,annealing_T=125_h=5,5.37306,0.325308,1.46003,0.0348063,0.0451441,166.4,4,41.6,6.19431e-35,0,3,2.78244e-07,1
66,587.12,495.03,annealing_T=125_h=5,0.00847607,0.00513575,4.47599,0.318045,0.438344,64.298,4,16.0745,3.61699e-13,0,3,1.90915e-06,1
67,1464.22,944.78,annealing_T=125_h=5,6.27198e-14,2.89437e-13,16.415,2.10739,0,52.4242,4,13.1061,1.12457e-10,4,1,0.00106035,0
68,1652.31,628.84,annealing_T=125_h=5,-1.01075e-15,5.68537e-15,18.4977,2.69126,17.6419,26.6657,4,6.66644,2.32241e-05,4,1,0.000358453,0
69,1843.48,888.07,annealing_T=125_h=5,0.960922,0.0470583,3.1647,0.0261017,0.021668,924.077,4,231.019,1.01141e-198,0,3,4.99587e-11,1
70,634.14,914.58,annealing_T=125_h=5,6.01114,0.30178,1.54281,0.0299898,0.0375144,96.8351,4,24.2088,4.63885e-20,0,3,1.39387e-08,1
71,1423.44,351.36,annealing_T=125_h=5,3.67194,0.193835,1.8729,0.0300817,0.117781,301.025,4,75.2562,6.51185e-64,0,3,1.36475e-06,1
72,859.3,472.56,annealing_T=125_h=5,6.11535,0.320016,1.47054,0.0303286,0.143775,79.7233,4,19.9308,1.99348e-16,0,3,1.26829e-08,1
73,1086.79,521.45,annealing_T=125_h=5,34.9863,0.138059,2.48607,0.00234717,0.0437521,3139.11,4,784.777,0,0,3,8.44571e-07,1
74,1174.35,651.63,annealing_T=125_h=5,3.81265,0.175546,2.03766,0.0258967,0.0975806,141.424,4,35.356,1.39893e-29,0,3,2.80923e-06,1
75,1677.38,253.47,annealing_T=125_h=5,1.0561,0.146293,2.17061,0.0771265,0.3258,120.317,4,30.0792,4.57061e-25,0,3,4.51262e-07,1
76,1721.86,805.27,annealing_T=125_h=5,2.33308,0.409238,1.52517,0.104248,0.162048,141.08,4,35.27,1.65723e-29,0,3,2.28224e-07,1
77,805.09,191.09,annealing_T=125_h=5,3.63302,0.133394,2.26586,0.0207037,0.0905252,238.789,4,59.6972,1.69159e-50,0,3,1.80716e-06,1
