spot,x,y,luminosity,error,T,v,phase,detected
119,1593.86,38.65,19.6422,2.53893,23,5,annealing_T=75_h=25,True
119,1598.15,42.47,46.8023,5.07339,23,5,annealing_T=75_h=5,True
119,1595.79,44.08,27.7354,3.90396,23,5,before_annealing,True
120,1593.53,199.62,37.2259,4.13473,23,5,annealing_T=100_h=5,True
120,1596.45,197.85,65.7032,6.07424,23,5,annealing_T=75_h=25,True
120,1599.67,201.18,74.3722,7.86783,23,5,annealing_T=75_h=5,True
120,1596.71,203.16,74.4448,8.01256,23,5,before_annealing,True
121,1615.62,700.84,16.6523,1.83012,23,5,annealing_T=100_h=5,True
121,1621.85,698.73,15.7264,1.97161,23,5,annealing_T=75_h=25,True
121,1622.21,702.87,16.4128,2.65999,23,5,annealing_T=75_h=5,True
121,1617.95,704.22,15.756,2.54183,23,5,before_annealing,True
122,1616.95,983.9,662.132,20.2487,23,5,annealing_T=100_h=5,True
122,1625.62,981.93,795.669,21.6869,23,5,annealing_T=75_h=25,True
122,1624.23,985.56,1017.47,24.9678,23,5,annealing_T=75_h=5,True
122,1619.61,987.29,1315.34,28.2436,23,5,before_annealing,True
123,1616.95,908.1,1296.29,29.6909,23,5,annealing_T=100_h=5,True
123,1625.12,906.07,1665.84,32.8895,23,5,annealing_T=75_h=25,True
123,1624.21,909.83,1745.06,37.4114,23,5,annealing_T=75_h=5,True
123,1619.66,911.57,1535.66,35.082,23,5,before_annealing,True
124,1642.75,876.28,529.224,18.422,23,5,annealing_T=100_h=5,True
124,1650.66,874.12,613.869,20.6729,23,5,annealing_T=75_h=25,True
124,1650.04,877.92,937.415,28.0223,23,5,annealing_T=75_h=5,True
124,1645.59,879.7,1135.77,26.344,23,5,before_annealing,True
125,1648.23,274.44,50.8673,6.61883,23,5,annealing_T=100_h=5,True
125,1651.64,271.73,46.5008,5.42307,23,5,annealing_T=75_h=25,True
125,1654.2,275.78,61.6728,7.45969,23,5,annealing_T=75_h=5,True
125,1651.07,277.63,45.1796,5.23273,23,5,before_annealing,True
126,1674.5,250.2,22.1777,3.28267,23,5,annealing_T=100_h=5,True
126,1677.55,247.9,17.5337,2.30805,23,5,annealing_T=75_h=25,True
126,1680.99,252.24,16.3438,2.72937,23,5,annealing_T=75_h=5,True
126,1677.15,253.95,18.6174,2.37974,23,5,before_annealing,True
127,1680.72,869.2,147.675,8.00944,23,5,annealing_T=100_h=5,True
127,1688.54,866.63,135.677,9.51413,23,5,annealing_T=75_h=25,True
127,1687.72,870.61,141.362,10.5644,23,5,annealing_T=75_h=5,True
127,1683.45,872.43,139.435,10.0135,23,5,before_annealing,True
128,1720.47,801.57,36.9035,4.07581,23,5,annealing_T=100_h=5,True
128,1727.79,798.76,99.4656,7.11745,23,5,annealing_T=75_h=25,True
128,1727.3,803.15,74.269,7.65295,23,5,annealing_T=75_h=5,True
128,1723.2,805.24,88.6387,7.55628,23,5,before_annealing,True
129,1730.68,718.13,3670.92,45.5357,23,5,annealing_T=100_h=5,True
129,1737.45,715.06,6180.78,81.1541,23,5,annealing_T=75_h=25,True
129,1737.64,719.51,4515.89,62.217,23,5,annealing_T=75_h=5,True
129,1733.58,721.49,6336.11,72.7027,23,5,before_annealing,True
130,1738.49,242.16,77.484,7.67936,23,5,annealing_T=100_h=5,True
130,1741.6,238.99,76.8018,6.62033,23,5,annealing_T=75_h=25,True
130,1744.7,243.59,224.886,13.6394,23,5,annealing_T=75_h=5,True
130,1741.69,245.72,191.873,12.453,23,5,before_annealing,True
131,1764.81,204.42,312.848,15.7544,23,5,annealing_T=100_h=5,True
131,1767.26,201.19,1202.54,28.652,23,5,annealing_T=75_h=25,True
131,1770.51,205.71,2848.01,48.4404,23,5,annealing_T=75_h=5,True
131,1767.67,207.78,1772.42,35.7599,23,5,before_annealing,True
132,1766.56,824.67,15.9102,1.97723,23,5,annealing_T=100_h=5,True
132,1773.92,821.65,25.9285,3.01685,23,5,annealing_T=75_h=25,True
132,1773.44,825.71,87.2089,7.46593,23,5,annealing_T=75_h=5,True
132,1769.2,828.06,69.5741,6.54182,23,5,before_annealing,True
133,1769.13,473.6,493.005,18.7796,23,5,annealing_T=100_h=5,True
133,1774.0,470.31,463.248,19.1801,23,5,annealing_T=75_h=25,True
133,1775.68,474.89,483.959,19.9297,23,5,annealing_T=75_h=5,True
133,1772.03,477.1,441.001,18.3672,23,5,before_annealing,True
134,1778.17,1057.24,152.675,9.84681,23,5,annealing_T=100_h=5,True
134,1787.57,1053.83,214.2,12.2848,23,5,annealing_T=75_h=25,True
134,1785.83,1058.64,186.954,11.7948,23,5,annealing_T=75_h=5,True
134,1780.76,1060.77,242.512,14.1887,23,5,before_annealing,True
135,1779.81,550.8,154.656,9.32552,23,5,annealing_T=100_h=5,True
135,1785.05,547.53,218.311,12.6771,23,5,annealing_T=75_h=25,True
135,1786.16,552.26,279.143,15.1002,23,5,annealing_T=75_h=5,True
135,1782.56,554.48,234.691,12.9336,23,5,before_annealing,True
136,1816.95,351.96,396.841,17.7552,23,5,annealing_T=100_h=5,True
136,1820.79,348.25,369.72,15.6318,23,5,annealing_T=75_h=25,True
136,1823.13,353.22,421.745,18.0181,23,5,annealing_T=75_h=5,True
136,1820.02,355.46,393.747,18.4559,23,5,before_annealing,True
137,1821.15,987.89,24.2827,4.10914,23,5,annealing_T=100_h=5,True
137,1829.5,984.99,25.8359,3.69389,23,5,annealing_T=75_h=25,True
137,1828.34,989.9,78.3287,7.22787,23,5,annealing_T=75_h=5,True
137,1823.84,991.63,76.417,7.61856,23,5,before_annealing,True
138,1844.23,883.65,285.634,20.8745,23,5,annealing_T=100_h=5,True
138,1852.26,879.74,359.133,22.8025,23,5,annealing_T=75_h=25,True
138,1852.48,884.0,198.377,17.4552,23,5,annealing_T=75_h=5,True
138,1846.85,887.21,467.695,27.8686,23,5,before_annealing,True
139,1848.52,552.77,480.344,20.7511,23,5,annealing_T=100_h=5,True
139,1853.82,549.14,936.469,26.7897,23,5,annealing_T=75_h=25,True
139,1855.08,554.11,674.184,25.0811,23,5,annealing_T=75_h=5,True
139,1851.44,556.46,464.254,21.4926,23,5,before_annealing,True
140,1855.3,91.45,366.423,38.6878,23,5,annealing_T=100_h=5,True
140,1857.19,87.82,46.8379,5.59702,23,5,annealing_T=75_h=25,True
140,1860.97,92.75,41.152,5.73076,23,5,annealing_T=75_h=5,True
140,1859.02,94.79,39.4803,5.7174,23,5,before_annealing,True
141,1885.23,250.79,246.587,12.5981,23,5,annealing_T=100_h=5,True
141,1888.29,246.56,574.313,21.0866,23,5,annealing_T=75_h=25,True
141,1891.32,251.85,558.941,21.6848,23,5,annealing_T=75_h=5,True
141,1888.36,254.23,800.986,28.7223,23,5,before_annealing,True
142,1888.47,286.09,112.966,7.86982,23,5,annealing_T=100_h=5,True
142,1891.65,281.97,482.364,17.0098,23,5,annealing_T=75_h=25,True
142,1894.41,287.03,530.208,22.3959,23,5,annealing_T=75_h=5,True
142,1891.39,289.46,644.554,28.1366,23,5,before_annealing,True
143,1897.48,1042.75,33.1223,6.12193,23,5,annealing_T=100_h=5,True
143,1906.17,1039.11,22.9325,3.3082,23,5,annealing_T=75_h=25,True
143,1904.92,1043.9,21.1019,3.26118,23,5,annealing_T=75_h=5,True
143,1899.64,1047.11,15.7105,4.01776,23,5,before_annealing,True
