spot,phase,B_R16,Berr_R16,chi2_R16,ndf_R16,chi2ndf_R16,fit_status_R16,covmatrix_status_R16,edm_R16,converged_R16,B_R24,Berr_R24,chi2_R24,ndf_R24,chi2ndf_R24,fit_status_R24,covmatrix_status_R24,edm_R24,converged_R24
48,annealing_T=75_h=5,2.22394,0.0112146,223.74,4,55.9351,0,3,2.93219e-07,1,2.26819,0.017328,431.941,4,107.985,0,3,1.06158e-07,1
49,annealing_T=75_h=5,3.0877,0.00485634,70.5992,4,17.6498,0,3,1.38019e-05,1,3.13343,0.00605716,79.4293,4,19.8573,0,3,3.22307e-06,1
50,annealing_T=75_h=5,1.62514,0.00753365,378.333,4,94.5833,0,3,3.54348e-07,1,1.71948,0.0122195,145.726,4,36.4316,0,3,1.63157e-09,1
51,annealing_T=75_h=5,2.54209,0.0504021,13.6489,4,3.41222,0,3,3.65985e-06,1,3.26479,0.124922,29.4735,4,7.36839,0,3,2.61201e-06,1
52,annealing_T=75_h=5,2.63747,0.0565231,70.2264,4,17.5566,0,3,7.802e-08,1,3.03225,0.114434,27.1343,4,6.78356,0,3,2.65321e-06,1
53,annealing_T=75_h=5,1.40245,0.0587374,72.5129,4,18.1282,0,3,3.37927e-06,1,1.5761,0.0939629,63.9068,4,15.9767,0,3,2.82541e-08,1
54,annealing_T=75_h=5,1.98876,0.00126616,4864.87,4,1216.22,0,3,2.67196e-09,1,2.03532,0.00158181,4144.62,4,1036.16,0,3,1.42489e-08,1
55,annealing_T=75_h=5,1.48539,0.00366199,473.834,4,118.459,0,3,4.54111e-07,1,1.49235,0.00547385,188.864,4,47.2159,0,3,1.30243e-06,1
56,annealing_T=75_h=5,1.66115,0.00832063,81.7015,4,20.4254,0,3,1.4692e-07,1,1.79651,0.0127068,46.6538,4,11.6634,0,3,1.22064e-05,1
57,annealing_T=75_h=5,2.51732,0.00580111,1185,4,296.251,0,3,2.97237e-06,1,2.62248,0.00801297,916.2,4,229.05,0,3,5.84973e-07,1
58,annealing_T=75_h=5,3.64968,0.0205176,1365.31,4,341.327,0,3,7.09581e-08,1,3.65839,0.0277703,1123.87,4,280.967,0,3,1.27482e-08,1
59,annealing_T=75_h=5,1.793,0.00438192,739.321,4,184.83,0,3,1.73505e-06,1,1.82042,0.00562039,329.755,4,82.4387,0,3,5.81311e-10,1
60,annealing_T=75_h=5,1.19715,0.0216514,120.087,4,30.0218,0,3,3.61066e-08,1,1.20676,0.028424,42.1646,4,10.5412,0,3,2.13423e-07,1
61,annealing_T=75_h=5,2.0174,0.00210045,33.6174,4,8.40434,0,3,2.69883e-06,1,2.04319,0.00250465,145.436,4,36.359,0,3,1.38372e-09,1
62,annealing_T=75_h=5,2.45666,0.00606347,447.963,4,111.991,0,3,8.80635e-09,1,2.54403,0.00727987,214.72,4,53.68,0,3,4.55118e-07,1
63,annealing_T=75_h=5,2.16775,0.0688743,111.098,4,27.7745,0,3,4.66511e-08,1,2.42444,0.157044,59.285,4,14.8213,0,3,2.6266e-06,1
64,annealing_T=75_h=5,2.35763,0.00329697,2688.17,4,672.041,0,3,1.96989e-09,1,2.41793,0.0041486,1675.77,4,418.942,0,3,4.22225e-09,1
65,annealing_T=75_h=5,1.43873,0.0606687,115.575,4,28.8937,0,3,1.11971e-05,1,1.80997,0.158582,106.595,4,26.6489,0,3,1.58671e-08,1
66,annealing_T=75_h=5,12.1306,0.949712,56.3984,4,14.0996,4,1,0.000659568,0,13.1982,0.691242,64.3138,4,16.0784,4,1,0.00707449,0
67,annealing_T=75_h=5,1.66607,0.0900937,110.322,4,27.5806,0,3,4.07074e-06,1,2.69436,0.148857,18.778,4,4.69451,0,3,6.84853e-07,1
68,annealing_T=75_h=5,3.04086,0.0706135,387.206,4,96.8016,0,3,4.32786e-10,1,3.82471,0.162689,246.312,4,61.578,0,3,6.41229e-06,1
69,annealing_T=75_h=5,2.05882,0.0109781,880.178,4,220.045,0,3,1.86376e-07,1,2.08362,0.0136669,691.546,4,172.887,0,3,7.95372e-07,1
70,annealing_T=75_h=5,1.76819,0.0265194,286.582,4,71.6454,0,3,8.57581e-07,1,1.95615,0.053357,100.846,4,25.2114,0,3,6.74964e-09,1
71,annealing_T=75_h=5,1.81416,0.0314921,38.0362,4,9.50905,0,3,9.58272e-06,1,1.94105,0.0520897,269.604,4,67.401,0,3,4.50056e-08,1
72,annealing_T=75_h=5,1.58879,0.00832764,20.252,4,5.063,0,3,5.19235e-07,1,1.63182,0.0127578,96.1204,4,24.0301,0,3,5.96522e-06,1
73,annealing_T=75_h=5,2.44825,0.00237454,8426.48,4,2106.62,0,3,8.92136e-06,1,2.54605,0.00282376,5424.78,4,1356.19,0,3,1.07605e-07,1
74,annealing_T=75_h=5,12.1597,1,350.006,4,87.5015,3,1,0.0628186,0,-0.184122,0.130284,278.602,4,69.6505,0,3,8.77519e-06,1
