spot,x,y,luminosity,error,T,v,phase,detection,status,integration_radius,integration_area,run_number,match_distance,geometry_source_phase,geometry_source_run,geometry_mode,v_fin,deltaL1,deltaL2,deltaL,B,B_stat_error,deltaB,A,A_stat_error,fit_chi2,fit_ndf,fit_chi2ndf,fit_status,covmatrix_status,edm,fit_converged
0,67.27,808.25,63.0925,1.12536,20.0,52.3,annealing_T=75_h=5,present,present,20.0,1256.6370614359173,20260520-085312,1.1859595271340462,annealing_T=75_h=5,20260520-085312,phase_detection,1.0,3.5385,1.6323,3.5385,2.48667,0.00161683,0.0649272,50.0448,0.136189,234240,4,58559.9,0,3,1.43818e-06,1
0,67.27,808.25,167.842,1.10416,20.0,53.3,annealing_T=75_h=5,present,present,20.0,1256.6370614359173,20260520-085312,1.1859595271340462,annealing_T=75_h=5,20260520-085312,phase_detection,2.0,0.807,1.77,1.77,2.48667,0.00161683,0.0649272,50.0448,0.136189,234240,4,58559.9,0,3,1.43818e-06,1
0,67.27,808.25,329.94,1.42382,20.0,54.3,annealing_T=75_h=5,present,present,20.0,1256.6370614359173,20260520-085312,1.1859595271340462,annealing_T=75_h=5,20260520-085312,phase_detection,3.0,3.451,2.099,3.451,2.48667,0.00161683,0.0649272,50.0448,0.136189,234240,4,58559.9,0,3,1.43818e-06,1
0,67.27,808.25,2193.94,2.02543,20.0,55.3,annealing_T=75_h=5,present,present,20.0,1256.6370614359173,20260520-085312,1.1859595271340462,annealing_T=75_h=5,20260520-085312,phase_detection,4.0,20.53,29.84,29.84,2.48667,0.00161683,0.0649272,50.0448,0.136189,234240,4,58559.9,0,3,1.43818e-06,1
0,67.27,808.25,3100.1,2.91949,20.0,56.3,annealing_T=75_h=5,present,present,20.0,1256.6370614359173,20260520-085312,1.1859595271340462,annealing_T=75_h=5,20260520-085312,phase_detection,5.0,28.97,49.59,49.59,2.48667,0.00161683,0.0649272,50.0448,0.136189,234240,4,58559.9,0,3,1.43818e-06,1
0,67.27,808.25,5580.51,5.36635,20.0,58.3,annealing_T=75_h=5,present,present,20.0,1256.6370614359173,20260520-085312,1.1859595271340462,annealing_T=75_h=5,20260520-085312,phase_detection,7.0,81.35,144.3,144.3,2.48667,0.00161683,0.0649272,50.0448,0.136189,234240,4,58559.9,0,3,1.43818e-06,1
1,80.43,95.09,-3.7873,0.909765,20.0,52.3,annealing_T=75_h=5,present,present,20.0,1256.6370614359173,20260520-085312,1.2739309243440262,annealing_T=75_h=5,20260520-085312,phase_detection,1.0,1.1096,2.52268,2.52268,2.29512,0.0424607,0.222613,1.81327,0.137424,228.739,4,57.1848,0,3,3.08059e-07,1
1,80.43,95.09,19.1394,1.13652,20.0,53.3,annealing_T=75_h=5,present,present,20.0,1256.6370614359173,20260520-085312,1.2739309243440262,annealing_T=75_h=5,20260520-085312,phase_detection,2.0,1.4183,0.9662,1.4183,2.29512,0.0424607,0.222613,1.81327,0.137424,228.739,4,57.1848,0,3,3.08059e-07,1
1,80.43,95.09,28.8305,1.39777,20.0,54.3,annealing_T=75_h=5,present,present,20.0,1256.6370614359173,20260520-085312,1.2739309243440262,annealing_T=75_h=5,20260520-085312,phase_detection,3.0,0.5384,1.5154,1.5154,2.29512,0.0424607,0.222613,1.81327,0.137424,228.739,4,57.1848,0,3,3.08059e-07,1
1,80.43,95.09,31.0212,1.37647,20.0,55.3,annealing_T=75_h=5,present,present,20.0,1256.6370614359173,20260520-085312,1.2739309243440262,annealing_T=75_h=5,20260520-085312,phase_detection,4.0,6.7682,3.7896,6.7682,2.29512,0.0424607,0.222613,1.81327,0.137424,228.739,4,57.1848,0,3,3.08059e-07,1
1,80.43,95.09,75.9247,1.40845,20.0,56.3,annealing_T=75_h=5,present,present,20.0,1256.6370614359173,20260520-085312,1.2739309243440262,annealing_T=75_h=5,20260520-085312,phase_detection,5.0,10.0194,7.1605,10.0194,2.29512,0.0424607,0.222613,1.81327,0.137424,228.739,4,57.1848,0,3,3.08059e-07,1
1,80.43,95.09,159.092,2.03824,20.0,58.3,annealing_T=75_h=5,present,present,20.0,1256.6370614359173,20260520-085312,1.2739309243440262,annealing_T=75_h=5,20260520-085312,phase_detection,7.0,4.661,7.044,7.044,2.29512,0.0424607,0.222613,1.81327,0.137424,228.739,4,57.1848,0,3,3.08059e-07,1
2,94.44,353.89,7.50369,1.07226,20.0,52.3,annealing_T=75_h=5,present,present,20.0,1256.6370614359173,20260520-085312,1.212023102089998,annealing_T=75_h=5,20260520-085312,phase_detection,1.0,0.80012,1.15335,1.15335,2.4142,0.011217,0.142739,5.60085,0.113762,177.15,4,44.2875,0,3,3.37196e-08,1
2,94.44,353.89,26.6452,1.18285,20.0,53.3,annealing_T=75_h=5,present,present,20.0,1256.6370614359173,20260520-085312,1.212023102089998,annealing_T=75_h=5,20260520-085312,phase_detection,2.0,0.8303,1.0157,1.0157,2.4142,0.011217,0.142739,5.60085,0.113762,177.15,4,44.2875,0,3,3.37196e-08,1
2,94.44,353.89,68.0776,1.37595,20.0,54.3,annealing_T=75_h=5,present,present,20.0,1256.6370614359173,20260520-085312,1.212023102089998,annealing_T=75_h=5,20260520-085312,phase_detection,3.0,0.8861,4.1298,4.1298,2.4142,0.011217,0.142739,5.60085,0.113762,177.15,4,44.2875,0,3,3.37196e-08,1
2,94.44,353.89,172.935,1.42798,20.0,55.3,annealing_T=75_h=5,present,present,20.0,1256.6370614359173,20260520-085312,1.212023102089998,annealing_T=75_h=5,20260520-085312,phase_detection,4.0,1.904,0.663,1.904,2.4142,0.011217,0.142739,5.60085,0.113762,177.15,4,44.2875,0,3,3.37196e-08,1
2,94.44,353.89,269.524,1.4966,20.0,56.3,annealing_T=75_h=5,present,present,20.0,1256.6370614359173,20260520-085312,1.212023102089998,annealing_T=75_h=5,20260520-085312,phase_detection,5.0,0.277,2.645,2.645,2.4142,0.011217,0.142739,5.60085,0.113762,177.15,4,44.2875,0,3,3.37196e-08,1
2,94.44,353.89,613.47,1.99037,20.0,58.3,annealing_T=75_h=5,present,present,20.0,1256.6370614359173,20260520-085312,1.212023102089998,annealing_T=75_h=5,20260520-085312,phase_detection,7.0,15.122,39.903,39.903,2.4142,0.011217,0.142739,5.60085,0.113762,177.15,4,44.2875,0,3,3.37196e-08,1
3,139.16,256.43,-0.895562,0.883732,20.0,52.3,annealing_T=75_h=5,present,present,20.0,1256.6370614359173,20260520-085312,1.151564153662322,annealing_T=75_h=5,20260520-085312,phase_detection,1.0,1.410778,1.888501,1.888501,1.49633,0.0309145,0.159318,5.27503,0.277954,222.119,4,55.5298,0,3,8.20937e-08,1
3,139.16,256.43,7.95075,0.944793,20.0,53.3,annealing_T=75_h=5,present,present,20.0,1256.6370614359173,20260520-085312,1.151564153662322,annealing_T=75_h=5,20260520-085312,phase_detection,2.0,2.63355,1.15589,2.63355,1.49633,0.0309145,0.159318,5.27503,0.277954,222.119,4,55.5298,0,3,8.20937e-08,1
3,139.16,256.43,31.6551,1.18517,20.0,54.3,annealing_T=75_h=5,present,present,20.0,1256.6370614359173,20260520-085312,1.151564153662322,annealing_T=75_h=5,20260520-085312,phase_detection,3.0,3.006,1.9451,3.006,1.49633,0.0309145,0.159318,5.27503,0.277954,222.119,4,55.5298,0,3,8.20937e-08,1
3,139.16,256.43,54.6529,1.29922,20.0,55.3,annealing_T=75_h=5,present,present,20.0,1256.6370614359173,20260520-085312,1.151564153662322,annealing_T=75_h=5,20260520-085312,phase_detection,4.0,3.1175,0.0709,3.1175,1.49633,0.0309145,0.159318,5.27503,0.277954,222.119,4,55.5298,0,3,8.20937e-08,1
3,139.16,256.43,56.7592,1.28983,20.0,56.3,annealing_T=75_h=5,present,present,20.0,1256.6370614359173,20260520-085312,1.151564153662322,annealing_T=75_h=5,20260520-085312,phase_detection,5.0,4.8067,2.9318,4.8067,1.49633,0.0309145,0.159318,5.27503,0.277954,222.119,4,55.5298,0,3,8.20937e-08,1
3,139.16,256.43,92.1229,1.63653,20.0,58.3,annealing_T=75_h=5,present,present,20.0,1256.6370614359173,20260520-085312,1.151564153662322,annealing_T=75_h=5,20260520-085312,phase_detection,7.0,11.015,3.4057,11.015,1.49633,0.0309145,0.159318,5.27503,0.277954,222.119,4,55.5298,0,3,8.20937e-08,1
4,182.48,170.83,156.286,0.983127,20.0,52.3,annealing_T=75_h=5,present,present,20.0,1256.6370614359173,20260520-085312,1.323782459469828,annealing_T=75_h=5,20260520-085312,phase_detection,1.0,6.169,0.773,6.169,2.35055,0.00128971,0.0361586,114.31,0.228267,6624.42,4,1656.1,0,3,2.33105e-09,1
4,182.48,170.83,625.683,1.34307,20.0,53.3,annealing_T=75_h=5,present,present,20.0,1256.6370614359173,20260520-085312,1.323782459469828,annealing_T=75_h=5,20260520-085312,phase_detection,2.0,0.208,0.979,0.979,2.35055,0.00128971,0.0361586,114.31,0.228267,6624.42,4,1656.1,0,3,2.33105e-09,1
4,182.48,170.83,1525.62,1.56963,20.0,54.3,annealing_T=75_h=5,present,present,20.0,1256.6370614359173,20260520-085312,1.323782459469828,annealing_T=75_h=5,20260520-085312,phase_detection,3.0,4.78,11.37,11.37,2.35055,0.00128971,0.0361586,114.31,0.228267,6624.42,4,1656.1,0,3,2.33105e-09,1
4,182.48,170.83,2922.74,2.21186,20.0,55.3,annealing_T=75_h=5,present,present,20.0,1256.6370614359173,20260520-085312,1.323782459469828,annealing_T=75_h=5,20260520-085312,phase_detection,4.0,25.76,34.1,34.1,2.35055,0.00128971,0.0361586,114.31,0.228267,6624.42,4,1656.1,0,3,2.33105e-09,1
4,182.48,170.83,4903.18,3.49333,20.0,56.3,annealing_T=75_h=5,present,present,20.0,1256.6370614359173,20260520-085312,1.323782459469828,annealing_T=75_h=5,20260520-085312,phase_detection,5.0,54.45,65.33,65.33,2.35055,0.00128971,0.0361586,114.31,0.228267,6624.42,4,1656.1,0,3,2.33105e-09,1
4,182.48,170.83,11493.4,9.25778,20.0,58.3,annealing_T=75_h=5,present,present,20.0,1256.6370614359173,20260520-085312,1.323782459469828,annealing_T=75_h=5,20260520-085312,phase_detection,7.0,214.6,269.1,269.1,2.35055,0.00128971,0.0361586,114.31,0.228267,6624.42,4,1656.1,0,3,2.33105e-09,1
5,193.44,518.87,14.8042,1.10216,20.0,52.3,annealing_T=75_h=5,present,present,20.0,1256.6370614359173,20260520-085312,1.2571793825862938,annealing_T=75_h=5,20260520-085312,phase_detection,1.0,2.2229,3.7005,3.7005,2.38065,0.0111503,0.0748207,6.38222,0.124672,213.442,4,53.3604,0,3,1.56025e-09,1
5,193.44,518.87,40.2232,1.12775,20.0,53.3,annealing_T=75_h=5,present,present,20.0,1256.6370614359173,20260520-085312,1.2571793825862938,annealing_T=75_h=5,20260520-085312,phase_detection,2.0,0.5307,1.4012,1.4012,2.38065,0.0111503,0.0748207,6.38222,0.124672,213.442,4,53.3604,0,3,1.56025e-09,1
5,193.44,518.87,96.7128,1.32059,20.0,54.3,annealing_T=75_h=5,present,present,20.0,1256.6370614359173,20260520-085312,1.2571793825862938,annealing_T=75_h=5,20260520-085312,phase_detection,3.0,7.7226,0.5088,7.7226,2.38065,0.0111503,0.0748207,6.38222,0.124672,213.442,4,53.3604,0,3,1.56025e-09,1
5,193.44,518.87,165.362,1.32868,20.0,55.3,annealing_T=75_h=5,present,present,20.0,1256.6370614359173,20260520-085312,1.2571793825862938,annealing_T=75_h=5,20260520-085312,phase_detection,4.0,5.827,6.521,6.521,2.38065,0.0111503,0.0748207,6.38222,0.124672,213.442,4,53.3604,0,3,1.56025e-09,1
5,193.44,518.87,287.905,1.48828,20.0,56.3,annealing_T=75_h=5,present,present,20.0,1256.6370614359173,20260520-085312,1.2571793825862938,annealing_T=75_h=5,20260520-085312,phase_detection,5.0,10.901,4.466,10.901,2.38065,0.0111503,0.0748207,6.38222,0.124672,213.442,4,53.3604,0,3,1.56025e-09,1
5,193.44,518.87,664.774,2.50587,20.0,58.3,annealing_T=75_h=5,present,present,20.0,1256.6370614359173,20260520-085312,1.2571793825862938,annealing_T=75_h=5,20260520-085312,phase_detection,7.0,1.806,6.858,6.858,2.38065,0.0111503,0.0748207,6.38222,0.124672,213.442,4,53.3604,0,3,1.56025e-09,1
6,232.05,757.51,-6.97869,1.01785,20.0,52.3,annealing_T=75_h=5,absent,disappeared,20.0,1256.6370614359173,20260520-085312,0.0,before_annealing,20260513-032137,previous_detection,1.0,1.81827,4.36515,4.36515,2.57612,0.214755,0.240686,0.220455,0.0863797,185.77,4,46.4424,0,3,2.06033e-08,1
6,232.05,757.51,-5.14363,1.14666,20.0,53.3,annealing_T=75_h=5,absent,disappeared,20.0,1256.6370614359173,20260520-085312,0.0,before_annealing,20260513-032137,previous_detection,2.0,0.87728,0.36967,0.87728,2.57612,0.214755,0.240686,0.220455,0.0863797,185.77,4,46.4424,0,3,2.06033e-08,1
6,232.05,757.51,15.4442,1.22611,20.0,54.3,annealing_T=75_h=5,absent,disappeared,20.0,1256.6370614359173,20260520-085312,0.0,before_annealing,20260513-032137,previous_detection,3.0,2.9602,0.5064,2.9602,2.57612,0.214755,0.240686,0.220455,0.0863797,185.77,4,46.4424,0,3,2.06033e-08,1
6,232.05,757.51,3.05757,1.3689,20.0,55.3,annealing_T=75_h=5,absent,disappeared,20.0,1256.6370614359173,20260520-085312,0.0,before_annealing,20260513-032137,previous_detection,4.0,3.8985,1.72009,3.8985,2.57612,0.214755,0.240686,0.220455,0.0863797,185.77,4,46.4424,0,3,2.06033e-08,1
6,232.05,757.51,12.9101,1.4146,20.0,56.3,annealing_T=75_h=5,absent,disappeared,20.0,1256.6370614359173,20260520-085312,0.0,before_annealing,20260513-032137,previous_detection,5.0,4.13809,4.5086,4.5086,2.57612,0.214755,0.240686,0.220455,0.0863797,185.77,4,46.4424,0,3,2.06033e-08,1
6,232.05,757.51,33.7959,1.90018,20.0,58.3,annealing_T=75_h=5,absent,disappeared,20.0,1256.6370614359173,20260520-085312,0.0,before_annealing,20260513-032137,previous_detection,7.0,9.8722,10.8264,10.8264,2.57612,0.214755,0.240686,0.220455,0.0863797,185.77,4,46.4424,0,3,2.06033e-08,1
7,237.02,242.91,56.4275,1.00665,20.0,52.3,annealing_T=75_h=5,present,present,20.0,1256.6370614359173,20260520-085312,1.263210196285629,annealing_T=75_h=5,20260520-085312,phase_detection,1.0,6.3422,2.7213,6.3422,1.90829,0.00474507,0.0795287,37.2214,0.281181,14440,4,3610.01,0,3,1.4016e-06,1
7,237.02,242.91,188.202,0.884682,20.0,53.3,annealing_T=75_h=5,present,present,20.0,1256.6370614359173,20260520-085312,1.263210196285629,annealing_T=75_h=5,20260520-085312,phase_detection,2.0,1.905,2.567,2.567,1.90829,0.00474507,0.0795287,37.2214,0.281181,14440,4,3610.01,0,3,1.4016e-06,1
7,237.02,242.91,347.375,1.58049,20.0,54.3,annealing_T=75_h=5,present,present,20.0,1256.6370614359173,20260520-085312,1.263210196285629,annealing_T=75_h=5,20260520-085312,phase_detection,3.0,1.001,2.911,2.911,1.90829,0.00474507,0.0795287,37.2214,0.281181,14440,4,3610.01,0,3,1.4016e-06,1
7,237.02,242.91,381.579,1.52219,20.0,55.3,annealing_T=75_h=5,present,present,20.0,1256.6370614359173,20260520-085312,1.263210196285629,annealing_T=75_h=5,20260520-085312,phase_detection,4.0,3.166,4.282,4.282,1.90829,0.00474507,0.0795287,37.2214,0.281181,14440,4,3610.01,0,3,1.4016e-06,1
7,237.02,242.91,840.4,2.7838,20.0,56.3,annealing_T=75_h=5,present,present,20.0,1256.6370614359173,20260520-085312,1.263210196285629,annealing_T=75_h=5,20260520-085312,phase_detection,5.0,6.137,15.222,15.222,1.90829,0.00474507,0.0795287,37.2214,0.281181,14440,4,3610.01,0,3,1.4016e-06,1
7,237.02,242.91,1669.45,4.00182,20.0,58.3,annealing_T=75_h=5,present,present,20.0,1256.6370614359173,20260520-085312,1.263210196285629,annealing_T=75_h=5,20260520-085312,phase_detection,7.0,17.39,40.41,40.41,1.90829,0.00474507,0.0795287,37.2214,0.281181,14440,4,3610.01,0,3,1.4016e-06,1
8,253.34,350.16,18.0557,0.968128,20.0,52.3,annealing_T=75_h=5,present,present,20.0,1256.6370614359173,20260520-085312,1.1840608092492395,annealing_T=75_h=5,20260520-085312,phase_detection,1.0,7.2536,0.8827,7.2536,2.57562,0.00687734,0.0751682,7.38743,0.090261,1253.18,4,313.294,0,3,2.24086e-06,1
8,253.34,350.16,62.3966,0.984986,20.0,53.3,annealing_T=75_h=5,present,present,20.0,1256.6370614359173,20260520-085312,1.1840608092492395,annealing_T=75_h=5,20260520-085312,phase_detection,2.0,4.1692,3.7696,4.1692,2.57562,0.00687734,0.0751682,7.38743,0.090261,1253.18,4,313.294,0,3,2.24086e-06,1
8,253.34,350.16,145.274,1.14223,20.0,54.3,annealing_T=75_h=5,present,present,20.0,1256.6370614359173,20260520-085312,1.1840608092492395,annealing_T=75_h=5,20260520-085312,phase_detection,3.0,5.279,4.903,5.279,2.57562,0.00687734,0.0751682,7.38743,0.090261,1253.18,4,313.294,0,3,2.24086e-06,1
