spot,x,y,phase,A,A_stat_error,lambda,lambda_stat_error,deltaLambda,chi2,ndf,chi2ndf,prob,fit_status,covmatrix_status,edm,converged
62,1177.02,932.2,annealing_T=100_h=5,0.634001,0.160401,0.181335,0.0116572,0.0385994,13.9697,2,6.98485,0.000925798,0,3,9.46523e-07,1
63,1323.28,531.27,annealing_T=100_h=5,8635.02,13977.6,-0.394075,0.0921706,0.0802072,33.5457,2,16.7728,5.19575e-08,0,3,2.33103e-08,1
64,1653.44,631.8,annealing_T=100_h=5,2.90004,0.820573,0.0974357,0.0135167,0.0424033,93.5329,2,46.7665,4.8931e-21,0,3,8.92748e-06,1
65,1845.45,891.75,annealing_T=100_h=5,35.6959,1.35698,0.0985755,0.0018396,0.00429848,44.8014,2,22.4007,1.86853e-10,0,3,4.5325e-07,1
66,587.06,497.01,annealing_T=100_h=5,7.1605,1.20884,0.0757518,0.00800854,0.0288771,37.9023,2,18.9512,5.88325e-09,0,3,1.33097e-05,1
67,1464.37,947.7,annealing_T=100_h=5,10.4024,1.3685,0.0809673,0.00630772,0.0369957,35.4395,2,17.7197,2.01564e-08,0,3,8.68936e-06,1
68,1617.43,990.98,annealing_T=100_h=5,154.189,1.99482,0.0678392,0.00062625,0.00194605,125.805,2,62.9027,4.80502e-28,0,3,1.12229e-06,1
69,1088.77,525.06,annealing_T=100_h=5,697.12,3.57694,0.0519076,0.000250871,0.000281998,34.7189,2,17.3594,2.88995e-08,0,3,7.41383e-10,1
70,1387.93,120.06,annealing_T=100_h=5,7.88146,0.739624,0.0981819,0.00442453,0.0255141,30.4844,2,15.2422,2.40103e-07,0,3,6.03797e-07,1
71,1404.5,209.21,annealing_T=100_h=5,86.595,2.86283,0.0381847,0.00162707,0.00596562,16.2253,2,8.11263,0.000299729,0,3,3.47694e-06,1
72,1425.02,354.88,annealing_T=100_h=5,8.68123,1.27527,0.0864914,0.00704477,0.0190291,70.3931,2,35.1966,5.18e-16,0,3,5.48682e-08,1
