spot,x,y,luminosity,error,T,v,phase,detection,status,integration_radius,integration_area,run_number,match_distance,geometry_source_phase,geometry_source_run,geometry_mode,deltaL1,deltaL2,deltaL,lambda,lambda_stat_error,deltaLambda,A,A_stat_error,fit_chi2,fit_ndf,fit_chi2ndf,fit_status,covmatrix_status,edm,fit_converged
0,67.64,810.45,452.517,1.49031,17.0,56.13,annealing_T=100_h=5,present,present,20.0,1256.6370614359173,20260612-001017,0.2109502310972819,annealing_T=100_h=5,20260612-001017,phase_detection,3.636,2.541,3.636,0.0702317,0.000620443,0.000873372,138.521,1.78265,36.4821,2,18.2411,0,3,6.0778e-06,1
0,67.64,810.45,534.408,1.65131,19.0,56.24,annealing_T=100_h=5,present,present,20.0,1256.6370614359173,20260612-001017,0.2109502310972819,annealing_T=100_h=5,20260612-001017,phase_detection,0.581,4.866,4.866,0.0702317,0.000620443,0.000873372,138.521,1.78265,36.4821,2,18.2411,0,3,6.0778e-06,1
0,67.64,810.45,603.87,1.57049,21.0,56.35,annealing_T=100_h=5,present,present,20.0,1256.6370614359173,20260612-001017,0.2109502310972819,annealing_T=100_h=5,20260612-001017,phase_detection,9.059,11.037,11.037,0.0702317,0.000620443,0.000873372,138.521,1.78265,36.4821,2,18.2411,0,3,6.0778e-06,1
0,67.64,810.45,695.637,1.60112,23.0,56.46,annealing_T=100_h=5,present,present,20.0,1256.6370614359173,20260612-001017,0.2109502310972819,annealing_T=100_h=5,20260612-001017,phase_detection,6.931,6.434,6.931,0.0702317,0.000620443,0.000873372,138.521,1.78265,36.4821,2,18.2411,0,3,6.0778e-06,1
1,81.28,97.4,115.522,1.27871,17.0,56.13,annealing_T=100_h=5,present,present,20.0,1256.6370614359173,20260612-001017,0.4368065933568301,annealing_T=100_h=5,20260612-001017,phase_detection,1.406,6.003,6.003,0.0186013,0.00228398,0.0145064,86.5367,4.00632,37.9799,2,18.99,0,3,2.51156e-06,1
1,81.28,97.4,129.436,1.26771,19.0,56.24,annealing_T=100_h=5,present,present,20.0,1256.6370614359173,20260612-001017,0.4368065933568301,annealing_T=100_h=5,20260612-001017,phase_detection,8.608,2.053,8.608,0.0186013,0.00228398,0.0145064,86.5367,4.00632,37.9799,2,18.99,0,3,2.51156e-06,1
1,81.28,97.4,124.043,1.38925,21.0,56.35,annealing_T=100_h=5,present,present,20.0,1256.6370614359173,20260612-001017,0.4368065933568301,annealing_T=100_h=5,20260612-001017,phase_detection,4.365,7.627,7.627,0.0186013,0.00228398,0.0145064,86.5367,4.00632,37.9799,2,18.99,0,3,2.51156e-06,1
1,81.28,97.4,132.88,1.28294,23.0,56.46,annealing_T=100_h=5,present,present,20.0,1256.6370614359173,20260612-001017,0.4368065933568301,annealing_T=100_h=5,20260612-001017,phase_detection,1.913,5.543,5.543,0.0186013,0.00228398,0.0145064,86.5367,4.00632,37.9799,2,18.99,0,3,2.51156e-06,1
2,140.2,258.36,91.7094,1.74705,17.0,56.13,annealing_T=100_h=5,present,present,20.0,1256.6370614359173,20260612-001017,0.9829038610159088,annealing_T=100_h=5,20260612-001017,phase_detection,1.0923,1.1829,1.1829,0.0604738,0.00352167,0.00527385,32.6135,2.38803,19.7597,2,9.87983,0,3,1.01417e-06,1
2,140.2,258.36,105.892,1.66433,19.0,56.24,annealing_T=100_h=5,present,present,20.0,1256.6370614359173,20260612-001017,0.9829038610159088,annealing_T=100_h=5,20260612-001017,phase_detection,3.605,0.464,3.605,0.0604738,0.00352167,0.00527385,32.6135,2.38803,19.7597,2,9.87983,0,3,1.01417e-06,1
2,140.2,258.36,110.456,1.56037,21.0,56.35,annealing_T=100_h=5,present,present,20.0,1256.6370614359173,20260612-001017,0.9829038610159088,annealing_T=100_h=5,20260612-001017,phase_detection,1.97,6.283,6.283,0.0604738,0.00352167,0.00527385,32.6135,2.38803,19.7597,2,9.87983,0,3,1.01417e-06,1
2,140.2,258.36,134.004,1.64204,23.0,56.46,annealing_T=100_h=5,present,present,20.0,1256.6370614359173,20260612-001017,0.9829038610159088,annealing_T=100_h=5,20260612-001017,phase_detection,0.324,5.223,5.223,0.0604738,0.00352167,0.00527385,32.6135,2.38803,19.7597,2,9.87983,0,3,1.01417e-06,1
3,183.26,173.14,2920.97,2.48439,17.0,56.13,annealing_T=100_h=5,present,present,20.0,1256.6370614359173,20260612-001017,0.4123105625617715,annealing_T=100_h=5,20260612-001017,phase_detection,31.24,47.05,47.05,0.0484207,0.000191749,0.000217066,1291.7,4.97432,379.467,2,189.734,0,3,9.30893e-07,1
3,183.26,173.14,3257.65,2.68987,19.0,56.24,annealing_T=100_h=5,present,present,20.0,1256.6370614359173,20260612-001017,0.4123105625617715,annealing_T=100_h=5,20260612-001017,phase_detection,39.48,52.54,52.54,0.0484207,0.000191749,0.000217066,1291.7,4.97432,379.467,2,189.734,0,3,9.30893e-07,1
3,183.26,173.14,3603.3,2.73988,21.0,56.35,annealing_T=100_h=5,present,present,20.0,1256.6370614359173,20260612-001017,0.4123105625617715,annealing_T=100_h=5,20260612-001017,phase_detection,45.01,56.65,56.65,0.0484207,0.000191749,0.000217066,1291.7,4.97432,379.467,2,189.734,0,3,9.30893e-07,1
3,183.26,173.14,3893.95,3.51143,23.0,56.46,annealing_T=100_h=5,present,present,20.0,1256.6370614359173,20260612-001017,0.4123105625617715,annealing_T=100_h=5,20260612-001017,phase_detection,45.4,59.66,59.66,0.0484207,0.000191749,0.000217066,1291.7,4.97432,379.467,2,189.734,0,3,9.30893e-07,1
4,193.99,521.19,186.59,1.42864,17.0,56.13,annealing_T=100_h=5,present,present,20.0,1256.6370614359173,20260612-001017,0.3538361202590821,annealing_T=100_h=5,20260612-001017,phase_detection,0.307,6.69,6.69,0.0648687,0.00154777,0.00491731,59.908,1.91864,54.7799,2,27.3899,0,3,3.04273e-06,1
4,193.99,521.19,197.137,1.59742,19.0,56.24,annealing_T=100_h=5,present,present,20.0,1256.6370614359173,20260612-001017,0.3538361202590821,annealing_T=100_h=5,20260612-001017,phase_detection,2.039,1.204,2.039,0.0648687,0.00154777,0.00491731,59.908,1.91864,54.7799,2,27.3899,0,3,3.04273e-06,1
4,193.99,521.19,230.909,1.58732,21.0,56.35,annealing_T=100_h=5,present,present,20.0,1256.6370614359173,20260612-001017,0.3538361202590821,annealing_T=100_h=5,20260612-001017,phase_detection,7.172,6.503,7.172,0.0648687,0.00154777,0.00491731,59.908,1.91864,54.7799,2,27.3899,0,3,3.04273e-06,1
