spot,phase,lambda_R16,lambdaerr_R16,chi2_R16,ndf_R16,chi2ndf_R16,fit_status_R16,covmatrix_status_R16,edm_R16,converged_R16,lambda_R24,lambdaerr_R24,chi2_R24,ndf_R24,chi2ndf_R24,fit_status_R24,covmatrix_status_R24,edm_R24,converged_R24
0,annealing_T=100_h=5,0.0693583,0.000539026,68.5264,2,34.2632,0,3,9.23775e-06,1,0.0698259,0.000713327,81.1611,2,40.5805,0,3,2.36378e-07,1
1,annealing_T=100_h=5,0.0331077,0.0018996,92.5342,2,46.2671,0,3,1.51842e-08,1,0.0206534,0.00282279,9.80328,2,4.90164,0,3,4.087e-08,1
2,annealing_T=100_h=5,0.0567832,0.00274444,5.17667,2,2.58834,0,3,2.37849e-08,1,0.0657477,0.00404646,5.3322,2,2.6661,0,3,9.94126e-08,1
3,annealing_T=100_h=5,0.0486378,0.000186556,391.899,2,195.949,0,3,1.82646e-08,1,0.0485448,0.000198062,405.283,2,202.642,0,3,3.34625e-07,1
4,annealing_T=100_h=5,0.069786,0.00123144,45.996,2,22.998,0,3,5.24667e-09,1,0.0642091,0.00185206,67.0145,2,33.5072,0,3,7.42111e-07,1
5,annealing_T=100_h=5,0.0197238,0.00848338,40.6666,2,20.3333,0,3,2.33571e-07,1,0.0180155,0.0192044,10.1248,2,5.0624,0,3,5.38342e-08,1
6,annealing_T=100_h=5,0.0496133,0.00103154,448.795,2,224.398,0,3,3.40626e-07,1,0.0451659,0.00126094,297.494,2,148.747,0,3,1.30797e-06,1
7,annealing_T=100_h=5,0.0554217,0.000945696,487.314,2,243.657,0,3,1.04015e-06,1,0.0556645,0.00118267,374.784,2,187.392,0,3,5.20258e-09,1
8,annealing_T=100_h=5,0.092895,0.00442779,9.42576,2,4.71288,0,3,1.79717e-06,1,0.0871937,0.00703025,80.6618,2,40.3309,0,3,1.00291e-07,1
9,annealing_T=100_h=5,0.0896012,0.00439737,88.3834,2,44.1917,0,3,9.79251e-11,1,0.0668604,0.00578642,107.94,2,53.97,0,3,3.16284e-06,1
10,annealing_T=100_h=5,1.07687,1,52.1626,2,26.0813,3,1,1.30997,0,1.7655,0.0300439,100.422,2,50.2108,4,1,0.0176287,0
11,annealing_T=100_h=5,0.0587726,0.00119064,127.623,2,63.8114,0,3,3.73505e-08,1,0.0564325,0.00166044,74.5941,2,37.2971,0,3,8.4394e-09,1
12,annealing_T=100_h=5,0.162213,0.0170391,13.1025,2,6.55123,0,3,2.09244e-06,1,0.361011,0.0610303,10.2586,2,5.12929,0,3,5.24199e-07,1
13,annealing_T=100_h=5,0.045753,0.00218696,153.652,2,76.8259,0,3,4.30023e-06,1,0.047718,0.00316708,26.1118,2,13.0559,0,3,9.1248e-10,1
14,annealing_T=100_h=5,0.0748305,0.000549467,188.644,2,94.3219,0,3,5.00023e-08,1,0.0716233,0.000671246,20.787,2,10.3935,0,3,5.02041e-08,1
15,annealing_T=100_h=5,0.0829252,0.00309518,87.9213,2,43.9606,0,3,1.70158e-06,1,0.0663911,0.00492585,27.5614,2,13.7807,0,3,8.33291e-06,1
16,annealing_T=100_h=5,0.118029,0.0123881,28.1674,2,14.0837,0,3,4.08596e-09,1,0.216665,0.0246015,21.9884,2,10.9942,0,3,7.3941e-08,1
17,annealing_T=100_h=5,0.146156,0.0130774,44.8793,2,22.4397,0,3,5.48597e-08,1,0.237803,0.0181706,6.80045,2,3.40022,0,3,3.55872e-07,1
18,annealing_T=100_h=5,0.0640155,0.00553464,1.06494,2,0.532472,0,3,4.43588e-06,1,0.0579844,0.00921314,17.2024,2,8.6012,0,3,6.36473e-08,1
19,annealing_T=100_h=5,0.0670873,0.000486251,116.476,2,58.2378,0,3,4.21835e-06,1,0.0664201,0.000636115,56.1782,2,28.0891,0,3,1.88639e-09,1
20,annealing_T=100_h=5,0.0807708,0.00414965,1.72837,2,0.864185,0,3,7.34807e-11,1,0.124711,0.00774485,41.5094,2,20.7547,0,3,2.53969e-06,1
21,annealing_T=100_h=5,0.0941035,0.00177423,60.2628,2,30.1314,0,3,8.0164e-08,1,0.0931492,0.00261212,59.2921,2,29.646,0,3,1.13502e-07,1
22,annealing_T=100_h=5,0.0676035,0.00273563,55.2395,2,27.6197,0,3,1.58982e-08,1,0.049712,0.00456855,32.8772,2,16.4386,0,3,9.81135e-06,1
23,annealing_T=100_h=5,0.0429772,0.00111719,66.8691,2,33.4345,0,3,8.90943e-10,1,0.0384165,0.00158437,136.881,2,68.4405,0,3,4.51964e-06,1
24,annealing_T=100_h=5,0.0400278,0.00703818,1.6394,2,0.819699,0,3,3.22467e-08,1,0.058676,0.0104338,20.3965,2,10.1983,0,3,6.82021e-10,1
25,annealing_T=100_h=5,0.0742207,0.000858916,238.196,2,119.098,0,3,7.54883e-07,1,0.0815002,0.0012719,176.719,2,88.3597,0,3,3.23787e-06,1
26,annealing_T=100_h=5,0.062727,0.00293953,5.18305,2,2.59153,0,3,5.33381e-08,1,0.0651932,0.00490805,86.4554,2,43.2277,0,3,1.15287e-06,1
27,annealing_T=100_h=5,0.00167995,0.00476201,18.0382,2,9.01908,0,3,6.76381e-06,1,-0.0476806,0.00897943,65.1407,2,32.5704,0,3,1.16858e-06,1
28,annealing_T=100_h=5,-0.248821,0.00407279,1901.4,2,950.698,0,3,1.41794e-08,1,-0.280996,0.00625536,1390.15,2,695.075,0,3,1.22949e-06,1
29,annealing_T=100_h=5,0.0978101,0.00221986,27.2915,2,13.6458,0,3,2.23935e-07,1,0.114676,0.00438392,25.3384,2,12.6692,0,3,5.2602e-07,1
30,annealing_T=100_h=5,0.0910253,0.00419828,109.632,2,54.8162,0,3,1.6317e-07,1,0.104172,0.007137,109.197,2,54.5986,0,3,6.80516e-08,1
31,annealing_T=100_h=5,0.0670374,0.000184123,44.9066,2,22.4533,0,3,7.41615e-06,1,0.0668744,0.000198853,62.0932,2,31.0466,0,3,6.72584e-09,1
32,annealing_T=100_h=5,0.189581,0.0321708,76.6706,2,38.3353,0,3,9.61559e-07,1,0.805798,0.119008,24.8423,2,12.4211,4,1,0.00102578,0
33,annealing_T=100_h=5,0.0661584,0.000925218,351.88,2,175.94,0,3,4.49092e-06,1,0.0734433,0.00118388,104.635,2,52.3175,0,3,1.41488e-08,1
34,annealing_T=100_h=5,0.117968,0.00459821,37.624,2,18.812,0,3,2.6065e-06,1,0.129443,0.00788969,42.364,2,21.182,0,3,8.19978e-08,1
35,annealing_T=100_h=5,0.09029,0.000849577,33.3223,2,16.6612,0,3,1.93721e-07,1,0.0995539,0.00139731,24.2685,2,12.1343,0,3,1.06701e-06,1
36,annealing_T=100_h=5,0.00148287,0.00894168,5.87752,2,2.93876,0,3,7.55135e-09,1,-0.0700635,0.0177557,0.800226,2,0.400113,0,3,4.64345e-08,1
37,annealing_T=100_h=5,-0.332751,0.816547,29.3405,2,14.6702,0,3,3.15496e-06,1,0.190539,0.0519577,8.93009,2,4.46505,0,3,5.95129e-09,1
38,annealing_T=100_h=5,0.160123,0.0152733,20.3677,2,10.1838,0,3,3.95374e-09,1,0.350831,0.05472,27.5056,2,13.7528,0,3,3.58349e-06,1
39,annealing_T=100_h=5,0.00835408,0.00539967,7.42979,2,3.7149,0,3,1.40961e-07,1,0.000703348,0.00783453,6.87562,2,3.43781,0,3,1.8081e-06,1
40,annealing_T=100_h=5,0.0838431,0.0031477,51.6764,2,25.8382,0,3,7.6577e-08,1,0.130908,0.00553384,59.8011,2,29.9005,0,3,3.7789e-06,1
41,annealing_T=100_h=5,0.0883946,0.00828982,9.92107,2,4.96053,0,3,2.36037e-10,1,0.0930306,0.0106806,61.4511,2,30.7256,0,3,1.01871e-05,1
42,annealing_T=100_h=5,0.0965643,0.001889,24.5974,2,12.2987,0,3,5.38563e-06,1,0.101196,0.00256704,16.8804,2,8.44021,0,3,9.79984e-08,1
43,annealing_T=100_h=5,0.0355759,0.00138738,80.2416,2,40.1208,0,3,2.23272e-08,1,0.0326404,0.00206721,12.8597,2,6.42987,0,3,1.45498e-07,1
44,annealing_T=100_h=5,0.0605763,0.000477993,57.462,2,28.731,0,3,1.76339e-06,1,0.0586807,0.000594882,69.3349,2,34.6675,0,3,4.75102e-08,1
